Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-74.9853	1026.22	-174.434	-66.3825	1025.23	-407.416	-228.365	1064.35	-250.269	-224.472	1067.78	-344.337	-127.978	1085.69	-440.767	-134.667	1088.46	-144.788	-154.43	908.937	-114.465	10.723	541.296	-168.96	1.46819	498.042	-167.681	46.889	466.399	-217.806	-202.535	160.11	-205.324	-240.801	133.215	-252.859	-48.7168	55.4241	-233.112	-96.2396	56.5585	-170.035	-180.565	911.171	-469.807	-150.555	514.349	-413.344	-151.408	461.673	-411.804	-112.753	430.718	-363.65	-231.786	73.6065	-379.676	-275.438	39.7671	-334.599	-67.6881	39.0354	-323.368	-108.848	22.6352	-397.371
0.007	-64.6383	1025.95	-174.843	-56.8306	1024.37	-407.615	-218.103	1063.9	-250.107	-214.406	1067.31	-344.394	-118.464	1085.16	-441.231	-124.116	1088.26	-145.041	-143.49	909.024	-114.449	24.4865	542.348	-169.021	16.365	498.479	-167.928	62.7925	468.553	-217.918	-174.052	152.684	-206.29	-210.913	124.214	-254.62	-15.8496	54.2297	-231.83	-64.363	54.1805	-169.821	-171.56	910.698	-469.506	-146.841	513.87	-413.178	-148.316	461.215	-411.605	-109.807	429.974	-363.439	-231.567	73.8229	-379.128	-275.691	40.0258	-333.937	-67.4787	38.943	-323.281	-108.829	22.7054	-397.21
0.013	-54.3196	1025.75	-175.315	-46.9307	1023.51	-408.219	-207.82	1063.33	-250.232	-204.325	1066.81	-344.221	-108.331	1084.29	-441.248	-113.102	1087.62	-145.223	-133.428	909.118	-114.266	38.1365	542.999	-168.806	30.7877	498.86	-167.501	78.4463	470.533	-217.79	-145.594	145.299	-207.346	-180.599	115.122	-255.918	16.8624	53.3284	-230.711	-32.1749	51.6998	-169.133	-162.513	910.116	-469.525	-143.171	513.493	-413.059	-145.283	460.744	-411.491	-107.571	429.193	-363.073	-231.352	73.7483	-378.587	-275.57	40.2793	-333.309	-67.0985	38.8001	-323.235	-108.782	22.7611	-397.084
0.02	-43.7325	1025.16	-175.915	-36.8707	1022.51	-409.028	-197.649	1062.72	-250.299	-194.181	1066.01	-344.202	-98.4211	1083.43	-441.41	-102.614	1086.97	-145.12	-121.446	909.088	-113.902	51.4132	543.416	-168.282	45.1057	498.655	-167.508	93.6946	472.155	-217.595	-116.582	138.077	-208.016	-150.253	106.788	-256.984	49.5184	52.7186	-229.892	0.15457	49.4863	-168.496	-153.504	909.464	-469.567	-139.365	513.002	-412.913	-142.068	460.298	-411.389	-104.505	428.379	-362.92	-231.142	73.9013	-378.179	-275.452	40.619	-332.614	-66.9351	38.6964	-323.146	-108.505	22.7148	-396.917
0.027	-33.1484	1024.37	-176.171	-26.9287	1021.43	-409.108	-187.457	1061.77	-250.279	-184.078	1065.14	-344.341	-88.9174	1082.46	-441.715	-92.3735	1086.12	-145.539	-110.412	908.358	-114.054	64.3234	543.404	-168.032	59.6496	498.28	-167.303	108.499	473.531	-217.383	-87.9171	131.335	-208.681	-119.023	98.6231	-258.254	82.3714	52.4651	-229.321	32.6711	47.5912	-168.7	-144.216	908.629	-469.526	-135.461	512.516	-412.774	-138.653	459.743	-411.214	-101.617	427.426	-362.81	-230.819	74.0669	-377.761	-275.407	40.8451	-332.272	-66.751	38.5073	-322.986	-108.498	22.7751	-396.778
0.033	-23.0672	1023.49	-176.665	-16.7624	1020.22	-409.496	-177.559	1061.25	-250.28	-173.975	1064.06	-344.534	-78.6175	1081.35	-441.917	-82.1079	1085.16	-145.742	-100.971	907.557	-114.191	76.8776	543.216	-167.307	72.8293	497.794	-166.859	122.958	474.648	-216.951	-58.0519	124.686	-209.241	-87.6138	90.2862	-258.906	115.191	52.4721	-229.017	65.4233	45.7088	-168.436	-134.783	907.778	-469.243	-131.39	511.938	-412.692	-135.226	459.246	-411.17	-98.5192	426.629	-362.689	-230.631	74.3575	-377.519	-275.355	41.0073	-331.927	-66.5875	38.3291	-322.825	-108.483	22.8175	-396.622
0.04	-12.836	1022.38	-176.493	-7.44881	1018.7	-409.732	-167.26	1060.01	-250.273	-163.584	1062.87	-344.351	-68.4613	1080.1	-442.029	-71.733	1084.01	-145.78	-90.3257	906.838	-114.588	89.0335	542.493	-166.982	86.1823	496.893	-166.32	136.957	475.499	-216.425	-28.0985	118.118	-209.51	-56.0703	83.0498	-260.046	147.952	52.9546	-228.909	98.2453	44.1097	-168.62	-125.468	906.9	-469.261	-127.23	511.336	-412.686	-131.628	458.656	-411.094	-95.4876	425.662	-362.561	-230.33	74.7322	-377.226	-275.303	41.2738	-331.601	-66.32	37.9336	-322.707	-108.766	22.9239	-396.468
0.047	-2.04143	1021.25	-177.698	3.20103	1017.44	-410.196	-156.86	1058.65	-250.36	-153.331	1061.64	-344.462	-58.311	1078.83	-442.129	-61.4087	1082.76	-145.907	-79.3555	905.616	-114.422	100.879	541.716	-166.065	99.1761	495.722	-165.752	150.383	475.982	-215.829	2.11838	111.987	-210.009	-24.3045	75.9136	-260.295	180.59	53.9119	-229.007	131.262	42.7403	-168.684	-116.03	905.685	-469.509	-122.949	510.739	-412.73	-127.974	458.132	-411.029	-92.2202	424.798	-362.474	-229.678	74.773	-376.89	-275.246	41.5992	-331.215	-66.3754	37.8679	-322.545	-108.703	22.9425	-396.325
0.053	8.43497	1019.81	-177.938	13.5324	1015.92	-410.558	-146.589	1057.29	-250.553	-143.03	1060.27	-344.724	-48.171	1077.45	-442.361	-51.0956	1081.31	-146.109	-68.8916	904.254	-114.537	112.27	540.47	-165.363	111.789	494.249	-165.129	163.567	476.079	-215.103	32.5856	106.447	-210.016	7.58759	69.5098	-260.571	213.144	55.223	-229.353	164.249	42.0717	-169.248	-106.401	904.544	-469.435	-118.41	510.116	-412.717	-124.141	457.528	-411.021	-88.8632	423.898	-362.367	-229.308	75.1939	-376.446	-274.82	42.0123	-331.012	-66.2207	37.6919	-322.437	-108.766	23.0757	-396.126
0.06	18.6755	1018.13	-177.468	23.9038	1014.25	-411.29	-136.082	1055.71	-250.687	-132.437	1058.68	-344.614	-37.8687	1075.89	-442.562	-40.8254	1079.8	-146.241	-57.8109	902.819	-114.233	123.452	538.886	-164.598	123.959	492.47	-164.389	176.23	476.084	-214.319	63.3087	101.28	-210.215	39.6554	64.0499	-260.579	245.447	57.0241	-230.051	197.161	41.6878	-170.232	-96.5056	903.293	-469.236	-113.738	509.404	-412.762	-120.27	456.948	-411.007	-85.3164	422.838	-362.348	-228.864	75.5639	-375.762	-274.925	42.6082	-329.986	-65.9167	37.5749	-322.261	-108.7	23.13	-395.837
