Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT2X	R.MT2Y	R.MT2Z	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT2X	L.MT2Y	L.MT2Z
0	811.143	818.875	1340.12	804.828	823.671	1089.2	660.915	853.786	1263.13	654.971	853.299	1183.29	751.157	873.25	1073.81	760.896	867.704	1360.08	751.568	735.332	1386.98	734.127	409.369	1384.31	734.477	360.31	1393.43	769.33	334.666	1332.76	675.214	66.1088	1402.38	629.695	46.2984	1369.04	809.735	37.3324	1342.25	779.523	26.2124	1420.46	744.708	753.108	1039.52	719.2	406.504	1047.43	707.357	361.375	1040.41	756.711	341.556	1079.67	675.114	65.8429	1049.5	632.651	41.4312	1086.41	810.867	37.4422	1101.61	773.019	24.9731	1027.31	722.403	387.795	1258.93	683.452	68.872	1325.65	809.084	34.116	1371.59	726.892	391.152	1172.89	692.627	76.648	1123.53	807.73	32.9803	1076.02
0.007	811.132	818.879	1340.1	804.828	823.674	1089.19	660.904	853.772	1263.11	654.958	853.29	1183.27	751.149	873.249	1073.81	760.87	867.685	1360.08	751.557	735.334	1386.98	734.118	409.36	1384.3	734.482	360.303	1393.42	769.341	334.672	1332.75	675.218	66.1006	1402.37	629.685	46.2983	1369.04	809.736	37.3387	1342.24	779.514	26.1955	1420.48	744.711	753.1	1039.51	719.229	406.49	1047.44	707.368	361.36	1040.41	756.718	341.556	1079.66	675.099	65.8391	1049.5	632.65	41.4228	1086.42	810.871	37.4541	1101.62	773.033	24.9749	1027.31	722.41	387.78	1258.92	683.451	68.8668	1325.65	809.098	34.1209	1371.59	726.893	391.155	1172.9	692.623	76.6429	1123.53	807.736	32.9807	1076.03
0.013	811.117	818.886	1340.1	804.83	823.681	1089.18	660.889	853.759	1263.09	654.951	853.27	1183.24	751.14	873.238	1073.8	760.847	867.669	1360.08	751.552	735.311	1386.96	734.122	409.358	1384.3	734.484	360.3	1393.41	769.334	334.664	1332.75	675.222	66.1059	1402.38	629.692	46.2961	1369.06	809.73	37.3381	1342.25	779.519	26.208	1420.47	744.712	753.111	1039.5	719.244	406.49	1047.41	707.376	361.363	1040.39	756.723	341.556	1079.67	675.116	65.8384	1049.5	632.65	41.4213	1086.4	810.865	37.4511	1101.62	773.021	24.9628	1027.32	722.41	387.777	1258.91	683.448	68.8598	1325.66	809.097	34.1266	1371.59	726.918	391.15	1172.89	692.623	76.6425	1123.52	807.738	32.9871	1076.02
0.02	811.109	818.878	1340.09	804.815	823.684	1089.17	660.877	853.742	1263.07	654.937	853.255	1183.23	751.126	873.234	1073.79	760.824	867.649	1360.08	751.542	735.306	1386.94	734.117	409.362	1384.29	734.492	360.299	1393.39	769.344	334.669	1332.74	675.217	66.1054	1402.37	629.697	46.2956	1369.08	809.73	37.3351	1342.25	779.519	26.2112	1420.46	744.714	753.102	1039.49	719.264	406.481	1047.42	707.573	361.357	1040.23	756.74	341.553	1079.65	675.118	65.8362	1049.5	632.647	41.4284	1086.42	810.87	37.4538	1101.62	773.029	24.9719	1027.31	722.44	387.763	1258.91	683.446	68.8624	1325.64	809.092	34.1199	1371.6	726.92	391.141	1172.88	692.622	76.6542	1123.52	807.738	32.9839	1076.03
0.027	811.091	818.883	1340.07	804.802	823.681	1089.15	660.859	853.73	1263.06	654.925	853.249	1183.22	751.115	873.225	1073.78	760.796	867.633	1360.07	751.537	735.301	1386.93	734.126	409.364	1384.29	734.491	360.302	1393.39	769.346	334.659	1332.74	675.214	66.1094	1402.37	629.691	46.3054	1369.07	809.729	37.3402	1342.25	779.506	26.2029	1420.47	744.712	753.093	1039.49	719.271	406.484	1047.41	707.573	361.35	1040.22	756.746	341.555	1079.64	675.116	65.8373	1049.49	632.659	41.4297	1086.4	810.876	37.4462	1101.61	773.02	24.97	1027.3	722.444	387.751	1258.9	683.448	68.8652	1325.64	809.088	34.1272	1371.6	726.916	391.147	1172.88	692.622	76.647	1123.52	807.736	32.9873	1076.03
0.033	811.086	818.871	1340.06	804.804	823.689	1089.14	660.856	853.706	1263.05	654.91	853.228	1183.21	751.088	873.216	1073.76	760.77	867.617	1360.07	751.533	735.291	1386.91	734.128	409.343	1384.27	734.493	360.293	1393.38	769.355	334.658	1332.73	675.214	66.1099	1402.37	629.69	46.2917	1369.07	809.73	37.3375	1342.24	779.513	26.2162	1420.47	744.702	753.09	1039.47	719.27	406.48	1047.4	707.579	361.354	1040.23	756.75	341.547	1079.63	675.111	65.8308	1049.5	632.66	41.4271	1086.41	810.869	37.4589	1101.62	773.01	24.969	1027.31	722.452	387.75	1258.89	683.446	68.8632	1325.64	809.1	34.1305	1371.59	726.927	391.152	1172.87	692.618	76.6461	1123.52	807.727	32.9911	1076.03
0.04	811.082	818.876	1340.06	804.783	823.695	1089.13	660.838	853.697	1263.03	654.902	853.223	1183.19	751.064	873.206	1073.75	760.752	867.592	1360.06	751.537	735.292	1386.89	734.134	409.346	1384.26	734.5	360.295	1393.38	769.356	334.661	1332.72	675.222	66.0955	1402.36	629.691	46.2998	1369.06	809.73	37.334	1342.24	779.514	26.2256	1420.47	744.701	753.094	1039.46	719.281	406.468	1047.39	707.578	361.343	1040.2	756.754	341.551	1079.63	675.122	65.8322	1049.5	632.651	41.4277	1086.39	810.867	37.453	1101.62	773.017	24.9608	1027.31	722.483	387.745	1258.88	683.446	68.86	1325.64	809.099	34.1228	1371.59	726.922	391.138	1172.85	692.625	76.6436	1123.52	807.731	32.9819	1076.02
0.047	811.082	818.874	1340.04	804.783	823.7	1089.11	660.833	853.691	1263.03	654.895	853.218	1183.19	751.037	873.212	1073.74	760.737	867.576	1360.04	751.54	735.274	1386.87	734.141	409.349	1384.24	734.508	360.298	1393.37	769.366	334.652	1332.71	675.212	66.1073	1402.37	629.699	46.3075	1369.06	809.744	37.3325	1342.24	779.509	26.2209	1420.47	744.685	753.101	1039.43	719.28	406.475	1047.38	707.568	361.354	1040.19	756.75	341.552	1079.63	675.12	65.8375	1049.49	632.652	41.4339	1086.39	810.863	37.4541	1101.62	773.021	24.9713	1027.31	722.484	387.76	1258.86	683.45	68.8651	1325.63	809.087	34.131	1371.59	726.942	391.154	1172.84	692.625	76.6524	1123.52	807.736	32.9848	1076.02
0.053	811.079	818.873	1340.03	804.754	823.71	1089.11	660.824	853.677	1263.03	654.886	853.211	1183.18	751.01	873.21	1073.73	760.72	867.566	1360.04	751.545	735.272	1386.86	734.15	409.356	1384.25	734.506	360.3	1393.37	769.375	334.666	1332.71	675.221	66.1054	1402.36	629.687	46.3116	1369.03	809.736	37.3336	1342.24	779.502	26.2213	1420.48	744.67	753.103	1039.42	719.267	406.486	1047.36	707.562	361.346	1040.18	756.748	341.544	1079.63	675.118	65.8444	1049.49	632.648	41.425	1086.4	810.864	37.4572	1101.62	773.023	24.9708	1027.3	722.515	387.747	1258.86	683.455	68.8562	1325.63	809.089	34.1289	1371.6	726.948	391.158	1172.84	692.624	76.6493	1123.52	807.73	32.9852	1076.02
0.06	811.077	818.866	1340.02	804.743	823.699	1089.09	660.82	853.663	1263.01	654.877	853.206	1183.17	750.976	873.191	1073.7	760.708	867.543	1360.03	751.546	735.269	1386.84	734.159	409.338	1384.23	734.512	360.297	1393.36	769.377	334.655	1332.71	675.215	66.1105	1402.36	629.687	46.3058	1369.03	809.744	37.3301	1342.24	779.514	26.2243	1420.47	744.662	753.102	1039.41	719.254	406.485	1047.36	707.39	361.354	1040.32	756.746	341.544	1079.61	675.114	65.8292	1049.48	632.646	41.4254	1086.39	810.858	37.4587	1101.62	773.015	24.9697	1027.31	722.507	387.746	1258.85	683.447	68.8646	1325.62	809.094	34.1267	1371.6	726.956	391.164	1172.83	692.624	76.6448	1123.52	807.733	32.9779	1076.02
