Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT2X	R.MT2Y	R.MT2Z	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT2X	L.MT2Y	L.MT2Z
0	806.14	991.595	1340.68	823.329	973.952	1085.31	612.066	1024.13	1238.3	613.75	1024.86	1160.4	722.65	1041.89	1020.33	713.86	1055.38	1383.4	740.265	885.853	1408.18	708.148	498.875	1385.11	683.723	447.638	1390	745.702	413.652	1351.39	662.069	80.9421	1407.6	617.486	60.4785	1357.98	811.013	49.6663	1353	785.225	36.055	1426.74	724.295	875.972	1018.73	703.473	491.695	1047.92	685.51	435.95	1043.24	748.01	411.423	1081.94	665.956	81.6507	1035.94	622.011	53.9669	1079.84	810.498	48.7157	1106.39	791.103	34.3029	1018.08	727.374	473.711	1262.16	686.255	88.0407	1326.54	810.073	44.139	1378.99	731.585	475.3	1175.3	694.568	88.999	1118.28	814.495	44.3351	1074.56
0.007	806.147	991.609	1340.7	823.347	973.963	1085.33	612.081	1024.12	1238.31	613.757	1024.87	1160.43	722.662	1041.89	1020.34	713.843	1055.38	1383.44	740.267	885.851	1408.23	708.164	498.877	1385.11	683.737	447.642	1390.01	745.716	413.646	1351.4	662.071	80.9494	1407.6	617.491	60.4851	1357.98	811.019	49.6753	1353	785.227	36.0513	1426.75	724.337	875.986	1018.76	703.532	491.705	1047.93	685.565	435.955	1043.26	748.069	411.422	1081.94	665.967	81.663	1035.93	622.015	53.9706	1079.86	810.502	48.7259	1106.39	791.117	34.2999	1018.08	727.388	473.705	1262.18	686.248	88.0395	1326.54	810.073	44.144	1378.99	731.612	475.3	1175.3	694.573	88.9992	1118.28	814.507	44.3333	1074.57
0.013	806.155	991.612	1340.73	823.379	973.953	1085.38	612.087	1024.13	1238.32	613.774	1024.85	1160.43	722.683	1041.88	1020.37	713.832	1055.36	1383.47	740.272	885.849	1408.23	708.172	498.89	1385.13	683.732	447.655	1390.02	745.724	413.651	1351.4	662.076	80.9505	1407.61	617.493	60.4865	1357.99	811.025	49.6695	1353.01	785.228	36.0495	1426.75	724.382	875.983	1018.79	703.577	491.694	1047.94	685.613	435.954	1043.28	748.098	411.422	1081.95	665.972	81.6649	1035.94	622.023	53.986	1079.85	810.511	48.7222	1106.39	791.119	34.2923	1018.08	727.4	473.713	1262.2	686.268	88.0459	1326.54	810.079	44.1408	1378.99	731.679	475.298	1175.31	694.584	89.0052	1118.29	814.511	44.3345	1074.57
0.02	806.157	991.629	1340.77	823.396	973.961	1085.4	612.101	1024.13	1238.33	613.79	1024.86	1160.44	722.685	1041.88	1020.39	713.823	1055.37	1383.5	740.266	885.857	1408.26	708.175	498.891	1385.14	683.732	447.653	1390.03	745.727	413.657	1351.41	662.089	80.9484	1407.6	617.494	60.4947	1358	811.019	49.6748	1353.01	785.237	36.0464	1426.75	724.428	875.98	1018.82	703.637	491.691	1047.96	685.656	435.964	1043.27	748.16	411.421	1081.96	665.979	81.6645	1035.94	622.026	53.9968	1079.86	810.512	48.724	1106.4	791.117	34.2971	1018.09	727.42	473.711	1262.22	686.25	88.0559	1326.54	810.081	44.1385	1379	731.704	475.302	1175.33	694.591	88.996	1118.29	814.514	44.3337	1074.57
0.027	806.155	991.632	1340.8	823.416	973.961	1085.43	612.115	1024.13	1238.33	613.814	1024.85	1160.46	722.695	1041.86	1020.4	713.795	1055.35	1383.52	740.263	885.861	1408.28	708.177	498.897	1385.16	683.727	447.655	1390.03	745.728	413.664	1351.43	662.087	80.9587	1407.61	617.5	60.4959	1357.99	811.027	49.6685	1353.01	785.234	36.0498	1426.76	724.46	875.982	1018.84	703.693	491.697	1047.96	685.697	435.965	1043.29	748.191	411.413	1081.98	665.976	81.6781	1035.95	622.025	54.0118	1079.86	810.517	48.722	1106.4	791.118	34.2962	1018.09	727.414	473.731	1262.22	686.272	88.0609	1326.54	810.08	44.14	1379.01	731.753	475.308	1175.34	694.584	89.0128	1118.29	814.513	44.334	1074.57
0.033	806.16	991.639	1340.83	823.435	973.961	1085.44	612.124	1024.13	1238.34	613.839	1024.85	1160.48	722.698	1041.85	1020.41	713.777	1055.35	1383.55	740.259	885.865	1408.3	708.165	498.899	1385.16	683.727	447.652	1390.04	745.721	413.673	1351.45	662.09	80.953	1407.61	617.493	60.5089	1358	811.019	49.6724	1353.02	785.232	36.0461	1426.76	724.504	875.977	1018.86	703.738	491.695	1047.97	685.746	435.957	1043.29	748.239	411.414	1081.98	665.999	81.6787	1035.95	622.03	54.0098	1079.87	810.519	48.7205	1106.4	791.121	34.3018	1018.09	727.414	473.73	1262.24	686.265	88.0568	1326.55	810.084	44.1358	1379.01	731.791	475.306	1175.35	694.593	89.0088	1118.3	814.521	44.3263	1074.57
0.04	806.155	991.645	1340.87	823.458	973.95	1085.47	612.138	1024.13	1238.35	613.861	1024.83	1160.48	722.705	1041.84	1020.43	713.76	1055.35	1383.57	740.254	885.863	1408.32	708.21	498.987	1385.44	683.708	447.656	1390.05	745.71	413.675	1351.45	662.083	80.96	1407.61	617.491	60.5066	1358	811.021	49.671	1353.02	785.227	36.0451	1426.76	724.54	875.972	1018.89	703.784	491.694	1047.99	685.795	435.965	1043.3	748.273	411.412	1081.99	666.001	81.6988	1035.94	622.029	54.0204	1079.86	810.521	48.7272	1106.4	791.121	34.3034	1018.09	727.401	473.733	1262.25	686.255	88.073	1326.55	810.088	44.1401	1379.01	731.804	475.299	1175.35	694.59	89.0093	1118.3	814.515	44.3306	1074.57
0.047	806.161	991.643	1340.91	823.495	973.944	1085.48	612.165	1024.13	1238.35	613.892	1024.82	1160.51	722.701	1041.83	1020.43	713.754	1055.35	1383.58	740.248	885.868	1408.33	708.2	499.002	1385.45	683.698	447.66	1390.06	745.711	413.684	1351.47	662.087	80.9534	1407.61	617.502	60.5032	1358	811.022	49.6709	1353.02	785.23	36.0454	1426.75	724.575	875.979	1018.91	703.831	491.697	1047.99	685.826	435.971	1043.3	748.307	411.4	1081.99	666.011	81.6923	1035.96	622.03	54.0309	1079.86	810.522	48.7288	1106.41	791.124	34.3016	1018.09	727.406	473.736	1262.26	686.262	88.074	1326.54	810.079	44.1387	1379	731.874	475.306	1175.36	694.598	89.0095	1118.3	814.522	44.3349	1074.57
0.053	806.167	991.642	1340.94	823.523	973.927	1085.5	612.174	1024.12	1238.36	613.907	1024.82	1160.51	722.693	1041.81	1020.44	713.744	1055.36	1383.59	740.251	885.867	1408.36	708.184	498.995	1385.45	683.691	447.669	1390.07	745.692	413.677	1351.46	662.085	80.9572	1407.62	617.48	60.5169	1357.99	811.02	49.6771	1353.02	785.224	36.047	1426.76	724.615	875.971	1018.94	703.876	491.693	1048	685.864	435.97	1043.32	748.338	411.402	1082	666.015	81.693	1035.96	622.033	54.0239	1079.87	810.524	48.7283	1106.41	791.121	34.3085	1018.09	727.392	473.747	1262.26	686.255	88.0701	1326.55	810.079	44.1358	1379	731.91	475.303	1175.38	694.584	89.0223	1118.32	814.531	44.3341	1074.58
0.06	806.179	991.638	1340.96	823.541	973.919	1085.51	612.205	1024.11	1238.36	613.937	1024.82	1160.54	722.704	1041.79	1020.44	713.764	1055.35	1383.6	740.249	885.864	1408.37	708.185	499.006	1385.45	683.696	447.661	1390.07	745.687	413.679	1351.47	662.083	80.952	1407.6	617.49	60.5092	1357.99	811.009	49.6758	1353.01	785.229	36.0418	1426.76	724.648	875.966	1018.95	703.91	491.696	1048	685.896	435.985	1043.32	748.375	411.398	1082.02	666.021	81.6975	1035.96	622.038	54.0362	1079.86	810.524	48.7204	1106.41	791.114	34.307	1018.09	727.399	473.753	1262.27	686.26	88.0676	1326.54	810.083	44.1375	1379	731.933	475.31	1175.39	694.597	89.0123	1118.31	814.529	44.3294	1074.58
