Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-114.869	792.016	-205.943	-110.603	788.588	-452.658	-321.807	885.305	-304.502	-319.248	875.961	-377.332	-199.788	899.892	-518.52	-195.807	888.799	-145.921	-219.891	714.558	-155.003	-237.691	415.861	-219.51	-249.015	373.558	-222.207	-197.415	359.774	-265.112	-301.36	64.9194	-265.286	-333.03	47.8098	-306.316	-155.397	35.8667	-307.243	-193.069	26.2731	-243.334	-155.437	719.711	-506.181	-46.0642	444.861	-452.981	-67.0439	401.142	-449.753	-16.0646	378.979	-407.16	-155.91	102.108	-414.229	-193.794	92.9824	-363.863	-29.4195	55.758	-376.8	-65.9112	43.1502	-433.176
0.007	-108.798	790.165	-205.583	-102.432	787.369	-451.959	-314.326	884.447	-305.146	-311.555	875.027	-377.874	-190.822	898.493	-518.544	-188.729	887.562	-146.267	-213.783	714.065	-155.112	-234.356	415.552	-219.786	-246.542	373.529	-222.473	-194.723	359.032	-265.364	-301.281	65.0682	-265.508	-332.972	48.0472	-306.647	-155.33	35.7542	-307.27	-193.179	26.2975	-243.363	-147.229	718.466	-505.949	-36.0166	444.256	-451.704	-56.0678	399.786	-448.934	-4.12537	379.555	-406.697	-130.984	96.84	-413.577	-168.823	85.9102	-363.971	-2.37392	56.2632	-376.656	-38.5986	42.2429	-433.011
0.013	-101.288	788.945	-204.826	-94.1279	785.981	-451.303	-306.907	883.535	-306.015	-303.887	873.933	-378.669	-181.771	896.854	-518.586	-181.97	886.228	-146.557	-207.708	713.536	-155.227	-231.066	415.309	-219.746	-243.233	373.253	-222.424	-192.234	358.214	-265.981	-301.194	65.2223	-265.824	-332.922	48.2771	-306.99	-155.286	35.6196	-307.279	-193.286	26.3055	-243.383	-138.046	717.559	-506.637	-26.7011	443.359	-450.805	-45.357	398.205	-448.206	7.43975	379.855	-406.362	-106.183	91.9222	-412.764	-143.002	79.2693	-362.491	24.3884	57.2408	-376.629	-11.29	41.8518	-432.988
0.02	-94.1903	787.443	-204.248	-85.8819	784.447	-450.659	-299.383	882.56	-306.732	-296.068	872.766	-379.459	-172.854	895.045	-518.676	-176.676	884.531	-146.894	-201.7	712.985	-155.241	-227.686	414.998	-219.959	-240.412	372.954	-222.627	-189.267	357.596	-265.418	-301.176	65.3887	-266.148	-332.83	48.491	-307.269	-155.286	35.7325	-307.111	-193.601	26.2557	-243.537	-130.09	715.829	-506.227	-17.7933	442.195	-449.995	-34.9248	396.376	-447.507	18.6478	380.096	-406.064	-81.3291	87.2707	-412.268	-117.252	73.1038	-361.969	50.9741	58.6512	-376.648	15.5509	41.9228	-433.243
0.027	-87.4267	785.876	-203.72	-77.5017	782.765	-450.008	-291.91	881.654	-307.876	-288.293	871.607	-380.261	-163.992	893.102	-518.671	-169.382	883.116	-147.008	-195.493	712.348	-155.191	-224.383	414.704	-219.875	-237.504	372.766	-222.741	-186.211	356.854	-265.146	-301.094	65.6502	-266.411	-332.824	48.8339	-307.821	-155.113	35.6	-307.12	-193.484	26.2877	-243.439	-121.413	714.24	-506.593	-9.1488	440.692	-449.193	-24.7646	394.457	-446.902	29.6117	380.126	-405.981	-56.4472	83.6035	-411.967	-91.3925	67.6222	-361.508	77.2147	60.4895	-376.721	42.5395	42.4524	-432.854
0.033	-80.2012	784.25	-203.164	-69.058	780.887	-449.393	-284.363	880.704	-309.134	-280.239	870.247	-381.017	-155.183	891.009	-518.666	-162.305	881.584	-147.104	-189.499	711.812	-155.004	-220.949	414.375	-219.952	-234.916	372.636	-222.821	-183.3	355.932	-264.868	-301.005	65.906	-266.712	-333.23	49.4801	-308.281	-155.047	35.552	-307.094	-193.641	26.2936	-243.501	-113.476	712.271	-506.388	-0.90705	438.945	-448.549	-14.8903	392.301	-446.251	39.8234	380.013	-406.015	-31.5513	80.0897	-411.467	-65.6591	62.7328	-360.954	103.282	63.0546	-376.46	69.0796	43.6186	-432.97
0.04	-73.716	782.897	-202.96	-60.7816	778.853	-448.894	-276.733	879.597	-310.296	-272.332	868.878	-381.955	-146.451	888.84	-518.583	-155.693	880.19	-147.278	-183.133	711.074	-154.974	-217.424	414.005	-220.05	-231.25	372.188	-222.779	-180.19	355.096	-264.638	-300.893	66.1309	-266.943	-333.148	49.8313	-308.702	-154.972	35.5229	-307.074	-193.765	26.2684	-243.589	-106.252	709.963	-505.629	7.17683	437.014	-447.925	-5.28051	390.427	-446.054	50.1629	379.75	-406.077	-6.84865	77.2751	-411.044	-39.9881	58.5066	-360.559	128.746	66.2049	-376.706	95.1972	45.2834	-432.983
0.047	-66.5849	781.328	-202.585	-52.247	776.737	-448.395	-269.011	878.458	-311.331	-264.328	867.58	-383.11	-137.776	886.577	-518.351	-149.915	878.713	-146.866	-176.917	710.45	-154.781	-213.772	413.54	-220.122	-228.542	372.081	-222.888	-177.706	354.305	-264.095	-300.757	66.3577	-267.229	-333.088	50.4626	-309.294	-154.873	35.4777	-307.05	-193.872	26.1901	-243.726	-98.7337	707.651	-505.419	15.1167	434.864	-447.432	4.10796	387.925	-445.827	60.1219	379.501	-406.083	17.5484	75.1561	-410.706	-14.5442	54.9236	-360.146	153.724	69.8167	-376.812	120.889	47.6865	-433.031
0.053	-60.1239	779.251	-202.464	-43.7994	774.51	-448.08	-261.229	877.347	-312.444	-256.363	866.289	-384.055	-129.051	884.282	-518.114	-143.121	877.573	-146.627	-170.372	709.67	-154.855	-210.047	413.159	-220.335	-225.207	371.744	-222.954	-174.533	353.426	-263.874	-300.655	66.5986	-267.584	-332.881	50.931	-309.647	-154.753	35.4612	-307.018	-193.996	26.1695	-243.878	-91.2938	705.252	-505.043	22.7641	432.659	-447.059	13.6382	385.477	-445.307	69.9575	379.263	-406.087	41.6626	73.6793	-410.442	10.5919	51.9121	-359.844	178.021	74.1325	-376.84	146.187	50.6126	-432.904
0.06	-52.2292	778.052	-202.033	-35.3676	772.197	-447.668	-253.45	876.072	-313.423	-248.138	864.798	-385.005	-120.312	882.066	-517.828	-136.656	876.347	-146.483	-164.209	708.884	-154.799	-206.188	412.739	-220.354	-221.587	371.283	-223.2	-171.418	352.578	-263.578	-300.451	67.1164	-268.001	-332.664	51.6073	-310.217	-154.588	35.3861	-307.053	-194.129	26.1561	-244.102	-84.0493	702.767	-504.824	30.1806	430.238	-446.856	22.9418	383.081	-445.088	79.5531	379.085	-405.812	65.332	72.761	-410.241	34.9985	49.7172	-360.535	201.659	78.9475	-376.519	170.81	54.0265	-432.636
