Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.150755	0.00018	-0.729905	-0.157301	0.00410323	-0.716438	-0.0732277	0.00454367	-0.469704	-0.0937245	-0.00406065	-0.461969	0.00891933	0.015821	0.0234463	-0.00249355	-0.000640968	0.00459129	0.0279533	0.777195	-0.049224	0.0406545	0.714593	-0.0570258
1	-0.11589	0.00895267	-0.870841	-0.116422	0.0105374	-0.818673	-0.0540573	0.0131397	-0.4575	-0.0536168	0.00124516	-0.443505	0.00833267	0.0186013	0.00244467	-0.0103619	-0.00479	-0.0344158	-0.0896353	2.17209	-0.121084	-0.0548332	2.01165	-0.156661
2	-0.0563253	0.025637	-1.0044	-0.0358223	0.0241874	-0.910481	-0.029232	0.0305713	-0.424843	0.00146903	0.0157158	-0.407788	0.00650767	0.028429	-0.0163047	-0.0257623	-0.00445935	-0.0815552	-0.331655	4.1481	-0.209624	-0.26975	3.86342	-0.291541
3	0.0312783	0.0403747	-1.04212	0.0826265	0.037541	-0.904173	0.008966	0.047716	-0.347808	0.0692013	0.0324958	-0.328112	0.00599433	0.0402703	-0.0293703	-0.0442355	-0.0023829	-0.127812	-0.708722	6.17279	-0.260991	-0.624722	5.75823	-0.398752
4	0.116267	0.0393297	-1.02306	0.206075	0.0351084	-0.838733	0.062626	0.0515563	-0.259393	0.142822	0.0339913	-0.23522	0.011499	0.0451837	-0.037816	-0.0550555	-0.0114803	-0.167926	-1.16924	7.76735	-0.213042	-1.06782	7.20718	-0.392942
5	0.167242	0.022658	-1.01647	0.300764	0.0168139	-0.787399	0.129597	0.043229	-0.18986	0.220803	0.0190858	-0.159454	0.0229703	0.045386	-0.0376827	-0.0520906	-0.0317016	-0.195953	-1.5892	8.82486	-0.0598387	-1.46308	8.11945	-0.257318
6	0.214951	-0.001459	-1.01533	0.385206	-0.00794355	-0.742903	0.21906	0.0332327	-0.111694	0.316104	0.000270645	-0.0675252	0.0350543	0.0458647	-0.0287773	-0.0393997	-0.0555065	-0.216346	-1.8727	9.47298	0.153631	-1.70853	8.66361	-0.0374039
7	0.31176	-0.025213	-1.01116	0.494565	-0.0339965	-0.708331	0.336015	0.0312547	0.0109263	0.437798	-0.0127342	0.0766145	0.0414413	0.0488257	-0.0167233	-0.0256326	-0.0773584	-0.238445	-2.03845	9.90556	0.372635	-1.83928	9.07732	0.21669
8	0.461245	-0.046886	-1.05525	0.635066	-0.0629329	-0.746147	0.459878	0.0376923	0.151177	0.573834	-0.0191561	0.237453	0.041283	0.0549107	0.000997333	-0.0168319	-0.0926403	-0.256514	-2.12511	10.2619	0.558651	-1.91818	9.50754	0.466927
9	0.621025	-0.0661177	-1.16184	0.774086	-0.0968106	-0.861409	0.560217	0.048681	0.262381	0.697253	-0.0230239	0.358861	0.0367167	0.0645147	0.028615	-0.0158155	-0.0986097	-0.258878	-2.14021	10.625	0.69354	-1.95344	9.99327	0.681007
