Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	-1.03168	3.6012	16.5082	5.95377	7.65828	17.5341	0.60072	-3.19323	33.3477	3.24873	-14.5717	35.1921	-1.52309	-10.4464	-0.572292	-0.7348	-4.88947	-0.606437	-1.86865	8.33882	0.554548	-5.01621	15.3007	-2.16495	-0.058134	2.89262	17.5062	-2.6346	-5.57476	14.267
1	-0.845796	3.89094	16.7396	6.23119	8.04958	17.5858	0.742688	-3.09606	33.3123	3.42614	-14.254	34.7481	-1.54319	-10.4731	0.11854	-0.688063	-5.71279	-0.439857	-2.32146	7.83451	-0.614268	-5.33868	14.1292	-3.26385	-0.160688	2.8978	15.338	-2.62085	-4.43777	12.4017
2	-0.593572	4.09605	16.9599	6.55348	8.34588	17.6447	1.03449	-2.74806	33.0488	3.77398	-13.8825	34.2362	-1.56659	-10.9304	0.525542	-0.615117	-6.53964	-0.19312	-3.25785	7.54417	-2.71905	-6.49032	12.9241	-4.9762	-0.55792	2.85599	12.2234	-3.23278	-3.30981	9.62274
3	-0.269826	4.1558	17.1797	6.89732	8.46581	17.6946	1.48996	-2.11347	32.6272	4.31532	-13.401	33.6782	-1.62119	-11.4136	0.610934	-0.546537	-6.98538	0.0346167	-4.61707	7.33627	-5.08403	-8.31041	11.7345	-6.63453	-1.38406	2.53436	8.95236	-4.50751	-2.56386	6.79305
4	0.140044	4.01073	17.4068	7.26676	8.36419	17.7373	2.10953	-1.36362	32.2278	5.03914	-12.8206	33.1264	-1.66701	-11.2551	0.774366	-0.507227	-6.67396	0.287827	-5.86826	6.82079	-6.84682	-9.80953	10.4847	-7.69399	-2.33949	1.91133	6.28421	-5.6881	-2.41491	4.70856
5	0.644106	3.64289	17.6234	7.69708	8.0471	17.7905	2.88313	-0.732954	31.9681	5.92564	-12.2877	32.6369	-1.64614	-10.3232	1.33353	-0.497797	-5.57337	0.674247	-6.80151	5.92916	-7.69806	-10.6415	9.27953	-8.04828	-3.2376	1.18327	4.39125	-6.45863	-2.86558	3.47868
6	1.19106	3.09515	17.8204	8.17051	7.55672	17.8494	3.7343	-0.387928	31.8234	6.90173	-11.9824	32.1793	-1.54378	-9.02439	2.21689	-0.486997	-3.97375	1.19025	-7.3607	4.88855	-7.73052	-10.8457	8.14757	-7.8434	-3.86669	0.67943	3.20058	-6.71398	-3.5053	2.84131
7	1.71777	2.47103	18.0248	8.60468	6.96734	17.8811	4.55229	-0.40722	31.6928	7.83687	-11.9863	31.6382	-1.3953	-7.8465	3.12993	-0.435923	-2.32571	1.69176	-7.44179	4.04805	-7.24103	-10.4836	7.09182	-7.31505	-3.97247	0.557688	2.52095	-6.36528	-3.8217	2.49947
8	2.16298	1.88385	18.2572	8.92236	6.34847	17.8669	5.23185	-0.731416	31.4543	8.61294	-12.21	30.9024	-1.23502	-7.03525	3.79609	-0.29231	-1.03846	2.00595	-7.1829	3.73711	-6.53663	-9.80911	6.38722	-6.66485	-3.64865	0.61915	2.13099	-5.59294	-3.77348	2.25757
9	2.46522	1.41416	18.5028	9.12222	5.76735	17.8162	5.69189	-1.1284	31.0065	9.19126	-12.4667	29.9302	-1.06063	-6.51435	4.08496	-0.0133633	-0.282757	2.01828	-6.82844	3.86527	-5.80741	-9.13403	6.24009	-6.01769	-3.18329	0.621148	1.89366	-4.71394	-3.62895	2.0613
