Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.13331	0.00755483	-0.632286	-0.125179	0.00480931	-0.67045	-0.0609231	0.0117524	-0.421111	-0.0870055	-0.000721034	-0.448942	-0.000196207	0.0182897	0.0175293	0.000178276	0.00672345	0.0238852	0.0761221	0.49136	-0.0395197	0.0836048	0.530581	-0.0653969
1	-0.097161	0.0161366	-0.75982	-0.0995648	0.00656517	-0.747044	-0.0414434	0.0198407	-0.408622	-0.0610855	0.00092069	-0.416512	0.00217586	0.0227441	0.00485793	-0.00900069	0.000621724	-0.00599448	0.0392731	1.65934	-0.09181	0.0703534	1.61249	-0.149429
2	-0.0263231	0.0331193	-0.870382	-0.0296828	0.0155548	-0.804493	-0.0136159	0.0377393	-0.376937	-0.0191359	0.0110866	-0.364076	0.0034169	0.035261	-0.00603414	-0.0262372	-0.00213655	-0.04359	-0.114926	3.43478	-0.158937	-0.0476672	3.23202	-0.261866
3	0.0787262	0.0494228	-0.881633	0.0803903	0.0244903	-0.758845	0.0263769	0.0564641	-0.304129	0.0392607	0.022969	-0.269417	0.00447207	0.0503197	-0.0137969	-0.0460466	-0.00424517	-0.0843103	-0.445288	5.34563	-0.197518	-0.338882	4.91181	-0.341175
4	0.169628	0.0525193	-0.851159	0.183223	0.0201893	-0.674167	0.0727866	0.0625045	-0.23291	0.102126	0.020181	-0.180237	0.00894655	0.0578948	-0.0214866	-0.0569293	-0.016571	-0.123326	-0.920046	6.90393	-0.149576	-0.775232	6.18679	-0.309822
5	0.196151	0.0429379	-0.86101	0.239749	0.00680207	-0.631898	0.117952	0.0560086	-0.205003	0.163114	0.0049531	-0.134504	0.0183669	0.0601583	-0.022739	-0.0547966	-0.0360838	-0.153011	-1.37803	8.00344	-0.00620517	-1.1933	7.02408	-0.166164
6	0.200898	0.0275055	-0.869188	0.287753	-0.00674966	-0.600885	0.178662	0.0470024	-0.174924	0.240613	-0.00935759	-0.082939	0.0292472	0.0623862	-0.0144114	-0.0450472	-0.0552014	-0.175345	-1.67426	8.73813	0.191042	-1.45109	7.61086	0.0362986
7	0.263006	0.0119134	-0.843782	0.375781	-0.0194659	-0.573213	0.272453	0.0448372	-0.0816334	0.348372	-0.0155028	0.027921	0.0356028	0.0660066	-0.00226862	-0.0359003	-0.0708145	-0.197594	-1.82803	9.23949	0.389585	-1.57828	8.13895	0.254578
8	0.399344	-0.00291069	-0.866283	0.508313	-0.039389	-0.618013	0.383975	0.0511438	0.0465459	0.473602	-0.0178769	0.166685	0.0356769	0.0720517	0.0147769	-0.0309248	-0.08287	-0.213764	-1.90415	9.61999	0.5544	-1.65515	8.68925	0.467084
9	0.564438	-0.0184862	-0.985143	0.6455	-0.0694624	-0.746263	0.480342	0.0625076	0.147283	0.58687	-0.0210497	0.272164	0.0318548	0.0817386	0.0411062	-0.0314859	-0.0888993	-0.212643	-1.9197	9.98364	0.675489	-1.69736	9.26869	0.649948
