Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2379.35	879.189	1346.46	NaN	NaN	NaN	2211.37	948.684	1239.61	2217.53	953.868	1173.97	2323	962.684	1036.45	2281.84	964.484	1382.98	2258.05	809.399	1387.42	2227.93	451.354	1388.61	2188.61	397.356	1391.27	2246.55	363.175	1349.28	2024.36	94.8855	1336.28	1991.44	101.865	1280.5	2158.36	41.5715	1304.06	2114.13	31.3771	1365.88	2305.8	800.719	1028.39	2443.58	460.588	1056.94	2454.19	403.559	1052.01	2504.16	402.569	1092.95	2527.71	65.0736	1082.45	2486.63	51.2223	1129.71	2671.12	50.3712	1137.18	2636.62	34.348	1071.84
0.007	2380.39	878.696	1345.07	NaN	NaN	NaN	2212.24	948.234	1239.22	2217.74	954.402	1173.24	2323.57	962.054	1035.24	2283.24	963.814	1382.46	2259.34	808.134	1386.59	2230.52	450.808	1389.31	2190.6	397.538	1392.19	2247.89	362.107	1350.14	2019	99.2927	1337.63	1986.33	107.465	1281.9	2150.62	41.3291	1304.28	2106.61	31.5826	1365.89	2306.86	802.104	1027.13	2444.75	461.671	1055.43	2455.53	404.589	1050.55	2505.04	403.274	1092.16	2523.09	64.9239	1082.62	2481.25	52.1442	1130.04	2668.31	51.4526	1135.03	2630.78	33.5692	1070.98
0.013	2381.21	877.743	1343.6	NaN	NaN	NaN	2212.78	948.158	1239.31	2217.86	955.16	1173.1	2323.17	962.851	1034.11	2284.76	963.273	1382.01	2260.54	806.915	1385.89	2234.09	450.14	1389.84	2193.29	397.768	1393.5	2250.03	361.052	1351.34	2014.43	104.075	1338.78	1982	113.631	1283.33	2142.32	40.78	1303.65	2099.35	32.1403	1365.8	2306.93	804.482	1025.87	2447.23	463.958	1053.79	2457.85	406.276	1049.14	2506.45	404.017	1090.86	2516.58	64.8173	1082.34	2473.92	52.546	1129.53	2662.06	48.8432	1133.37	2623.36	32.2075	1068.78
0.02	2381.9	877.034	1341.91	NaN	NaN	NaN	2213.25	948.355	1239.61	2217.87	955.771	1173.15	2322.79	964.478	1033.13	2286.45	962.778	1381.48	2261.69	805.617	1385.17	2238.51	449.601	1390.82	2196.88	398.058	1394.69	2252.98	360.063	1352.88	2010.63	109.403	1339.97	1978.71	120.735	1284.8	2134.99	40.5875	1303.58	2092.08	32.9001	1365.92	2306.43	807.472	1024.82	2450.49	466.372	1051.85	2460.53	408.196	1047.77	2508.16	405.164	1089.74	2508.28	64.4773	1081.46	2465.74	52.557	1128.66	2654.62	48.3444	1132.26	2615.41	32.0578	1068.35
0.027	2382.44	876.509	1340.16	NaN	NaN	NaN	2213.58	948.867	1240	2217.8	956.194	1173.18	2322.24	966.621	1032.56	2288.21	962.511	1380.91	2262.74	804.277	1384.31	2243.86	449.092	1392.08	2201.31	398.644	1396.46	2256.96	359.353	1354.77	2007.73	115.339	1341.03	1976.57	128.431	1285.93	2127.84	40.3702	1303.4	2085.52	33.7899	1365.86	2305.97	810.501	1023.8	2454.39	468.838	1049.21	2463.15	410.146	1045.58	2509.71	406.379	1088.41	2500.36	64.5261	1080.33	2457.71	52.7615	1127.14	2645.86	48.2054	1133.39	2608.02	31.8316	1068.3
0.033	2382.92	876.206	1338.37	NaN	NaN	NaN	2213.79	949.382	1240.35	2217.68	956.471	1173.09	2321.31	969.167	1031.9	2291.18	962.128	1379.61	2263.78	802.979	1383.78	2250.02	448.718	1393.57	2206.95	399.37	1397.7	2262.07	358.797	1357.01	2005.96	121.77	1342.13	1975.86	136.641	1286.97	2120.9	40.1294	1303.14	2079.22	34.9112	1365.85	2305.6	812.96	1022.99	2458.7	470.889	1047.64	2465.51	411.853	1043.92	2510.76	407.195	1086.91	2493.29	64.8038	1079.03	2449.83	52.9487	1125.47	2637.78	47.5531	1134.23	2600.66	31.528	1068.1
0.04	2383.13	876.019	1336.71	NaN	NaN	NaN	2213.91	949.776	1240.45	2217.67	956.598	1172.8	2320.25	971.532	1031.34	2293	962.019	1378.82	2264.91	801.958	1383.42	2257.2	448.573	1395.29	2213.06	400.245	1399.82	2268.05	358.29	1359.46	2005.41	128.341	1342.7	1976.78	145.057	1287.6	2114.33	39.8647	1302.81	2073.25	36.0853	1365.75	2305.11	814.661	1022.17	2462.18	472.743	1046.09	2467.34	412.702	1042.53	2511.13	407.465	1085.22	2486.14	64.8275	1077.81	2442.21	53.168	1123.99	2630.44	46.8701	1133.46	2593.16	30.958	1067.4
0.047	2383.3	876.03	1335.04	NaN	NaN	NaN	2213.91	950.207	1240.08	2217.71	956.618	1172.28	2319.23	973.358	1030.87	2294.52	961.9	1377.79	2266.07	801.198	1383.02	2264.13	448.455	1397.33	2220.15	401.198	1401.24	2274.69	357.981	1362.25	2005.97	135.192	1343.24	1979.22	153.645	1288.07	2108.06	39.6375	1302.49	2067.62	37.6911	1365.68	2305.03	815.815	1021.42	2465.08	473.998	1044.8	2467.86	412.924	1041.08	2510.77	407.26	1083.64	2479.02	64.4922	1077.28	2434.51	53.3971	1123.18	2623.2	46.1678	1132.34	2585.54	30.5562	1066.22
0.053	2383.26	876.025	1333.46	2397.06	886.25	1078.04	2213.95	950.801	1239.21	2217.87	956.648	1171.37	2318.35	974.604	1030.3	2295.51	961.989	1376.42	2267.17	800.586	1382.24	2271.73	448.374	1399.25	2227.45	402.21	1403.29	2281.92	357.772	1364.93	2007.8	141.908	1343.9	1983.08	161.774	1288.37	2101.93	39.4496	1301.69	2062.46	39.51	1365.44	2305.1	816.726	1020.45	2465.42	474.289	1043.96	2467.27	412.595	1039.69	2509.81	406.572	1082.24	2471.78	64.2827	1076.97	2426.87	53.3986	1123.09	2615.95	45.6024	1131.54	2577.87	30.0509	1065.6
0.06	2383.23	876.249	1331.99	2397.32	886.902	1076.44	2213.95	951.361	1237.92	2218.13	956.763	1170.17	2317.39	975.259	1029.46	2295.82	962.413	1375	2268.04	800.264	1381.39	2279.65	448.254	1400.92	2235.69	403.036	1404.33	2289.57	357.792	1367.42	2010.37	148.477	1344.71	1988.24	169.744	1288.64	2096.25	39.8369	1300.65	2058.15	42.0714	1365.52	2305.36	817.301	1019.28	2463.36	473.635	1043	2465.56	411.961	1038.55	2508.04	405.56	1080.97	2464.47	63.8698	1077.09	2419.2	53.627	1122.71	2608.55	44.9614	1131.54	2570.32	29.9376	1065.43
