Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2127.41	904.397	1348.03	2090.33	871.353	1099.92	1922.65	977.079	1270.65	1921.3	971.592	1202.22	2019.12	982.974	1052.28	2067.79	1005.06	1401.12	2096.55	778.773	1436.1	2180.14	469.09	1357.01	2179.98	409.372	1360.15	2229.03	408.157	1307.87	2161.7	72.8419	1324.65	2116.2	56.6461	1285.01	2313.1	50.6105	1269.01	2280.98	32.3655	1342.98	1978.46	764.014	1032.13	1974.22	416.811	1076.91	1925.22	386.831	1075.71	1955.41	339.887	1118.72	1636.08	242.188	1129.86	1609.8	272.483	1181.01	1656.52	87.3091	1170.06	1622.6	117.838	1103.8
0.007	2126.44	906.816	1349.38	2090.66	875.537	1101.95	1922.03	979.713	1271.04	1920.51	974.98	1202.69	2016.53	985.227	1052.4	2065.82	1007.55	1402.1	2093.79	780.848	1435.97	2170.79	467.917	1357.4	2170.43	408.662	1360.32	2220.25	406.807	1307.02	2149.03	72.8457	1324.32	2103.46	56.7612	1283.96	2300.52	49.2054	1268.02	2268.19	32.2529	1342.88	1980.71	766.167	1032.97	1986.14	419.081	1077.28	1937.4	389.128	1076.32	1967.48	341.995	1118.33	1648.72	245.563	1129.93	1621.14	275.331	1181.05	1669.57	89.9035	1167.8	1635.72	120.973	1102.91
0.013	2125.52	909.114	1350.63	2090.39	879.554	1102.41	1921.38	982.406	1271.44	1920.28	977.3	1203.66	2014.31	988.086	1052.35	2063.53	1010.18	1403.62	2091.31	782.725	1436.63	2161.34	466.899	1357.73	2161.18	408.086	1360.23	2211.24	405.947	1306.31	2136.41	72.8294	1324.05	2090.75	56.8712	1283.69	2287.85	48.8751	1267.97	2255.34	32.0275	1342.55	1982.65	768.666	1033.81	1998.03	421.889	1077.56	1949.64	391.902	1076.97	1980.03	344.369	1119.27	1661.45	247.746	1129.6	1632.86	277.204	1181.02	1684.2	92.2025	1166.97	1650.07	122.977	1103.39
0.02	2124.58	911.288	1351.7	2090.07	883.279	1102.35	1920.83	985.059	1271.93	1919.75	980.115	1204.26	2012.32	991.464	1052.16	2061.22	1012.89	1405.27	2088.82	784.296	1437.11	2152.29	466.341	1357.76	2152.24	407.914	1359.94	2202.01	405.439	1306.18	2123.71	72.8276	1323.88	2077.94	56.867	1283.63	2274.87	48.5583	1267.71	2242.67	32.075	1342.65	1984.29	771.518	1034.42	2010.03	424.977	1078.01	1962.38	394.683	1077.78	1992.79	347.154	1120.29	1674.49	248.97	1129.64	1644.82	277.927	1180.82	1700.27	94.0009	1166.84	1665.39	124.711	1102.45
0.027	2123.67	913.473	1352.56	2089.55	887.268	1101.79	1920.34	987.773	1272.6	1919.18	983.297	1204.83	2010.54	995.401	1051.97	2059.02	1015.92	1406.94	2086.28	785.592	1437.41	2143.88	466.659	1357.59	2143.03	408.12	1359.74	2192.72	405.5	1306.56	2111.06	72.8596	1323.89	2065.15	56.9405	1283.76	2262.1	48.3154	1267.42	2230.06	32.1017	1342.69	1985.63	774.571	1034.9	2021.77	428.829	1077.5	1975.03	397.57	1078.6	2005.79	350.04	1121.53	1687.91	249.233	1129.63	1657.01	277.606	1180.47	1717.32	94.9491	1167.19	1682.22	124.883	1102.7
0.033	2123.03	915.626	1353.27	2088.84	890.911	1101.45	1919.91	990.514	1273.33	1918.7	986.35	1205.87	2008.71	999.441	1051.64	2057.36	1019.35	1408.81	2083.69	786.948	1437.34	2135.77	467.457	1357.44	2133.13	408.43	1359.9	2182.83	405.178	1306.58	2098.24	72.9629	1324	2052.48	56.9394	1283.79	2249.46	48.1107	1267.45	2217.28	31.9401	1342.77	1986.98	777.349	1035.25	2033.64	432.19	1078.49	1987.64	400.53	1079.25	2018.98	353.468	1122.83	1702.08	248.631	1129.46	1669.45	276.326	1180.22	1735.59	95.4468	1167.88	1700.27	124.007	1103.34
0.04	2121.98	917.94	1353.34	2088.38	894.599	1101.46	1919.53	993.241	1274.1	1918.45	989.298	1206.65	2006.97	1003.58	1051.51	2055.61	1023.46	1410.74	2080.94	788.145	1437.23	2127.43	468.098	1357.27	2123.33	408.718	1359.78	2172.81	404.754	1306.79	2085.67	72.946	1323.96	2039.87	57.1619	1283.65	2236.68	47.9389	1267.49	2204.52	31.7689	1342.65	1988.12	779.888	1035.46	2045.23	435.802	1079.22	2000.44	403.519	1080.09	2032.27	357.079	1123.63	1716.59	247.194	1129.51	1682.14	273.964	1179.81	1755.04	95.3375	1169.28	1718.99	122.472	1103.88
0.047	2121.1	920.456	1353.31	2087.77	898.097	1101.23	1919.22	995.89	1274.93	1917.61	992.364	1207.13	2005.35	1007.4	1051.55	2053.66	1025.62	1411.27	2077.99	789.007	1437.02	2118.78	468.515	1357.15	2113.13	409.026	1359.89	2162.45	404.068	1306.51	2073.12	73.0428	1324.1	2027.28	57.3814	1283.77	2223.98	47.83	1267.52	2192.01	31.8363	1342.9	1989.37	782.52	1035.58	2056.55	439.927	1079.89	2012.82	406.744	1080.73	2045.42	361.079	1124.57	1731.55	244.766	1129.49	1695.07	270.639	1179.42	1775.06	94.9548	1170.35	1738.68	120.332	1104.55
0.053	2120.43	923.062	1353.2	2087.06	901.538	1100.95	1918.98	998.433	1275.73	1917.69	995.323	1207.66	2004.11	1011.1	1052.11	2052.26	1028.86	1412.16	2075.68	790.003	1436.99	2109.71	468.649	1357.12	2102.76	409.214	1360.04	2152.35	403.971	1307.01	2060.47	73.1752	1324.4	2014.56	57.3398	1284.02	2211.32	47.6004	1267.57	2179.22	31.7146	1343.04	1990.25	785.341	1035.69	2067.65	444.264	1080.6	2025.08	410.193	1081.46	2058.53	365.242	1125.22	1746.44	241.745	1129.69	1708.41	266.345	1179.23	1795.88	94.2252	1171.53	1759.17	117.727	1105.41
0.06	2119.67	925.667	1352.84	2086.34	904.7	1100.8	1918.64	1000.89	1276.71	1917.59	997.912	1208.45	2002.65	1014.44	1052.3	2051.36	1031.15	1411.35	2070.84	790.556	1436.09	2100.3	468.619	1357.06	2092.18	409.308	1360.33	2140.67	402.809	1307.26	2047.88	73.166	1324.6	2001.95	57.5084	1284.27	2198.61	47.5258	1267.55	2166.67	31.6329	1343.08	1991.15	788.15	1035.83	2078.3	449.055	1081.32	2036.94	413.953	1081.18	2071.34	369.459	1125.92	1762.32	237.744	1130.14	1722.2	261.145	1179.13	1817.31	93.0682	1172.72	1780.25	114.706	1106.45
0.067	2119.09	928.439	1352.4	2085.19	907.67	1100.28	1918.6	1003.11	1277.51	1917.29	1000.4	1209.09	2001.31	1017.54	1052.74	2050.33	1032.64	1411.15	2068.19	791.478	1436.24	2090.52	468.48	1357.2	2081.42	409.295	1360.66	2129.51	402.526	1307.79	2035.8	73.4721	1324.71	1989.47	57.9803	1284.63	2185.96	47.3978	1267.52	2154.04	31.5176	1343.29	1992	790.75	1035.72	2088.5	453.745	1081.89	2048.58	417.568	1081.91	2084.15	373.99	1126.2	1778.21	233.284	1130.46	1736.39	255.087	1179.13	1839.15	91.5761	1173.79	1801.89	111.329	1107.37
0.073	2118.5	931.071	1351.73	2084.84	910.844	1100.33	1918.38	1005.13	1278.1	1917.04	1002.56	1209.41	2000.07	1020.22	1053.33	2049.99	1035.32	1410.7	2065.3	792.339	1436.21	2080.36	468.402	1357.47	2070.55	409.249	1361.03	2118.6	402.148	1308.42	2023.34	73.788	1325.07	1977.06	58.2678	1284.9	2173.41	47.2282	1267.62	2141.36	31.2385	1343.6	1992.87	793.358	1035.57	2098.37	458.535	1082.65	2059.61	421.129	1082.42	2096.21	378.125	1126.41	1794.46	228.212	1130.87	1751.14	248.283	1179.27	1861.5	89.8815	1174.71	1823.87	107.576	1108.04
0.08	2117.89	933.463	1351.21	2083.88	913.226	1099.92	1918.15	1007.05	1278.64	1916.81	1004.46	1209.67	1998.99	1022.63	1053.74	2049.89	1037.41	1409.13	2062.54	793.186	1436.14	2069.92	468.389	1357.8	2059.7	409.324	1361.28	2107.54	401.597	1308.86	2011.09	73.8705	1324.98	1964.63	58.7765	1284.91	2160.95	47.0278	1267.63	2128.83	31.2342	1343.69	1993.88	795.922	1035.68	2107.85	463.065	1083.25	2070.35	424.556	1082.85	2108.12	382.377	1126.57	1811.05	222.63	1131.36	1766.44	240.645	1179.6	1884.36	87.8107	1175.27	1846.53	103.744	1108.48
0.087	2117.06	935.178	1350.74	2083.77	915.969	1100.35	1917.92	1008.73	1279.2	1916.5	1006.2	1209.97	1998.67	1025.16	1054.35	2049.83	1038.68	1408.55	2058.41	793.533	1435.91	2059.27	468.424	1358.04	2048.88	409.549	1361.29	2096.4	401.053	1308.94	1998.87	74.1531	1324.84	1952.39	59.097	1284.66	2148.45	46.7743	1267.35	2116.46	31.2387	1343.67	1994.88	798.369	1035.34	2117.01	467.537	1083.91	2080.72	427.799	1083.49	2119.7	386.636	1126.66	1827.98	216.643	1131.77	1782.31	232.469	1180.12	1907.49	85.4808	1175.38	1869.03	99.9847	1108.7
0.093	2116.33	936.433	1350.55	2083.59	918.545	1100.7	1917.66	1010.04	1279.62	1916.31	1007.45	1210.16	1998.72	1027.6	1054.86	2050.32	1040.47	1407.62	2057.52	794.197	1435.26	2048.47	468.527	1358.15	2038.19	409.779	1361.08	2085.09	400.426	1308.62	1986.65	74.5571	1324.57	1940.09	59.5577	1284.27	2136.33	46.5739	1267.23	2104.08	31.2843	1343.47	1996.77	800.585	1035.63	2125.94	471.608	1084.48	2090.62	430.825	1084.22	2131.4	391.099	1126.68	1845.39	210.065	1132.24	1798.78	223.7	1180.99	1930.93	83.0477	1175.25	1891.94	96.0894	1108.55
0.1	2115.35	937.31	1350.55	2083.65	920.885	1101.33	1917.45	1011.16	1279.89	1916.07	1008.41	1211.07	1999.04	1029.85	1055.21	2051.01	1042.02	1406.78	2053.8	794.257	1435.57	2037.64	468.503	1358.08	2027.53	410.007	1360.82	2074.35	399.989	1307.6	1974.43	74.8846	1324.08	1927.96	60.0914	1283.91	2124.06	46.3369	1266.86	2091.85	31.379	1343.07	1998.17	802.642	1035.19	2134.5	475.327	1084.99	2100.17	433.4	1084.72	2142.3	394.87	1126.91	1863.04	203.287	1132.98	1815.86	214.365	1181.78	1955.1	80.4167	1174.24	1915.09	92.2295	1108.14
0.107	2114.47	937.699	1350.72	2083.82	922.95	1101.98	1917.16	1011.94	1280.11	1915.72	1009.41	1210.72	1999.62	1031.88	1055.44	2051.89	1043.31	1406.02	2050.16	794.281	1435.55	2026.83	468.615	1358.25	2017.06	410.354	1360.42	2063.88	399.658	1306.29	1962.42	75.3372	1323.58	1915.41	60.3842	1282.98	2111.87	46.2135	1266.71	2079.04	31.0546	1342.83	1999.68	804.554	1034.55	2142.82	478.656	1085.5	2109.49	435.674	1085.28	2152.79	398.376	1127.32	1881.11	196.191	1133.52	1833.6	204.672	1182.74	1979.24	77.811	1173.02	1938.41	88.3226	1107.2
