Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-268.485	906.876	14.5438	-239.057	902.153	-200.479	-429.033	953.033	-76.5319	-413.164	950.218	-165.195	-313.339	972.849	-258.656	-367.588	982.098	51.4152	-363.167	796.415	92.0895	-375.911	445.207	24.3562	-386.623	393.246	20.5942	-336.176	380.656	-41.5749	-441.715	58.4386	-36.7657	-479.994	46.8342	-79.9512	-299.844	34.5022	-74.558	-338.131	22.7407	-9.62627	-307.62	791.518	-292.289	-138.137	475.768	-223.106	-152.065	418.032	-223.399	-97.3337	408.453	-171.118	-201.974	84.804	-179.497	-237.055	75.8628	-127.581	-60.4296	53.0639	-162.773	-101.089	43.2641	-209.769
0.007	-260.975	905.881	14.9506	-229.69	901.092	-199.911	-420.394	951.693	-76.9271	-404.38	948.854	-165.806	-304.692	971.686	-258.7	-360.537	980.862	50.8976	-357.127	795.755	91.5057	-371.159	444.666	24.0331	-382.176	392.801	20.1995	-332.141	379.786	-42.7364	-441.493	58.7966	-36.9697	-479.709	47.0504	-80.4505	-299.376	34.244	-74.6399	-338.083	22.673	-9.61666	-297.572	790.19	-292.062	-128.045	474.674	-221.981	-139.984	416.6	-222.721	-84.7482	408.789	-170.607	-172.035	80.758	-180.116	-206.647	70.0322	-128.611	-28.9988	55.3687	-163.357	-69.532	43.5458	-210.259
0.013	-253.391	904.872	15.3211	-220.238	899.9	-199.376	-412.284	950.329	-78.4921	-395.549	946.652	-167.33	-295.857	970.405	-258.651	-353.372	979.655	50.4623	-350.759	795.007	90.9849	-366.304	444.018	23.6818	-377.984	392.39	19.8552	-328.171	378.726	-42.3589	-441.153	59.0406	-37.4351	-479.422	47.2916	-81.0145	-299.167	34.0942	-74.6697	-338.012	22.6404	-9.56624	-287.472	788.608	-291.788	-118.383	473.295	-220.977	-128.509	414.958	-222.211	-72.3659	409.01	-170.347	-142.316	77.4569	-180.953	-176.64	65.4784	-129.568	1.76383	58.456	-163.867	-38.336	44.6886	-210.684
0.02	-245.685	903.762	15.6786	-210.716	898.6	-198.975	-403.947	948.542	-80.1148	-386.665	944.683	-168.475	-284.362	968.145	-258.043	-346.144	978.389	49.7324	-344.185	794.266	90.7605	-361.667	443.404	23.4279	-373.94	391.998	19.4841	-324.086	377.764	-43.1649	-440.661	59.098	-38.1612	-479.096	47.6062	-81.5807	-299.547	34.2094	-74.2901	-337.911	22.5896	-9.50367	-277.41	786.812	-291.492	-109.047	471.591	-220.304	-117.373	413.044	-221.587	-60.2119	408.913	-170.148	-112.926	75.0947	-181.834	-146.864	61.6769	-130.534	32.0121	62.2961	-164.27	-7.39895	46.5858	-211.153
0.027	-237.811	902.683	16.0524	-201.215	897.313	-198.503	-395.487	946.784	-81.781	-377.928	943.033	-170.044	-274.09	966.711	-258.239	-338.884	977.199	48.9544	-337.455	793.555	90.6143	-357.122	443.134	23.1924	-370.087	391.655	19.2192	-319.977	376.652	-42.522	-440.342	59.4355	-38.6119	-478.711	47.9634	-82.1262	-299.229	34.0743	-74.3269	-337.837	22.5639	-9.47149	-267.497	784.732	-291.175	-99.9621	469.446	-219.761	-106.605	411.058	-220.973	-48.3592	408.834	-170.572	-83.9124	73.6142	-182.782	-117.43	58.7682	-131.732	61.592	66.6172	-164.585	22.7071	49.2455	-211.528
0.033	-229.846	901.547	16.2887	-191.552	895.831	-198.226	-386.845	944.93	-83.1054	-367.765	939.948	-169.148	-265.396	964.898	-258.046	-331.528	975.898	48.0216	-330.543	792.747	90.3256	-352.668	442.644	23.0068	-366.297	391.279	19.0142	-315.854	375.653	-42.342	-439.992	59.7329	-39.1258	-478.346	48.3829	-82.7498	-298.222	33.7388	-74.5266	-337.749	22.5354	-9.46765	-257.664	782.514	-290.913	-91.1221	467.154	-219.285	-96.0239	408.892	-220.429	-36.7099	408.576	-170.131	-55.5132	72.8531	-183.731	-88.7439	56.7996	-132.89	90.1927	71.5235	-164.753	52.1904	52.5076	-211.795
0.04	-221.752	900.365	16.4937	-181.945	894.32	-197.818	-378.003	942.165	-85.1854	-358.736	938.131	-170.727	-256.41	963.053	-257.869	-324.037	974.473	47.1045	-323.484	791.948	90.0702	-348.492	442.148	22.5804	-362.553	390.917	18.7887	-311.598	374.456	-42.7244	-439.656	60.0823	-39.5965	-478.005	49.0093	-83.3411	-297.924	33.6388	-74.5641	-337.649	22.516	-9.47603	-247.83	780.006	-290.692	-82.2794	464.66	-219.099	-85.2242	406.636	-220.283	-25.3949	408.303	-170.12	-27.793	72.8005	-184.658	-60.6598	55.559	-133.972	118.007	76.8107	-164.747	80.9014	56.2861	-211.956
0.047	-213.452	899.109	16.6099	-172.044	892.709	-197.533	-369.437	940.894	-86.8751	-349.483	935.979	-172.26	-246.996	961.047	-257.886	-316.428	972.961	46.2771	-316.353	790.978	89.6688	-344.213	441.598	22.4031	-358.727	390.481	18.5356	-307.466	373.132	-41.7496	-439.416	60.6645	-39.7183	-477.614	49.3392	-83.9103	-296.914	33.5826	-74.182	-337.621	22.5197	-9.60172	-237.908	777.379	-290.472	-73.4085	462.161	-219.098	-74.254	404.411	-220.466	-14.3387	408.267	-170.014	-0.35943	73.51	-185.212	-33.4893	55.1816	-134.934	144.741	82.4057	-164.479	108.562	60.7129	-211.865
0.053	-205.026	897.816	16.7263	-162.502	891.007	-197.07	-360.522	940.193	-87.2113	-340.375	933.671	-173.521	-237.05	958.887	-257.976	-308.703	971.441	45.5308	-309.034	790.1	89.281	-339.772	441.02	22.4057	-354.74	390.041	18.3114	-303.108	371.94	-41.5844	-438.855	60.7939	-40.6919	-477.136	50.0697	-84.66	-296.784	33.5796	-74.2089	-337.447	22.5169	-9.5458	-228.543	774.531	-290.224	-64.4117	459.651	-219.423	-62.9949	402.236	-220.978	-3.45316	408.226	-170.511	25.588	74.8077	-185.79	-7.23962	55.2639	-135.807	170.343	88.295	-163.786	135.533	65.5741	-211.536
0.06	-196.373	896.419	16.8776	-152.256	889.221	-196.901	-351.613	937.506	-89.8882	-330.823	931.814	-175.22	-227.024	956.685	-258.094	-300.852	969.826	44.779	-301.549	789.25	89.0363	-335.359	440.714	22.0315	-350.512	389.495	18.1017	-298.848	370.817	-42.199	-438.49	61.2863	-41.2619	-476.687	50.7134	-85.3694	-296.503	33.5154	-74.1976	-337.395	22.5104	-9.65173	-218.65	771.682	-290.003	-55.2099	457.12	-219.849	-51.4403	400.154	-221.479	7.18513	408.098	-169.863	50.4583	76.5993	-186.262	17.8309	55.9235	-136.694	194.722	94.5269	-162.718	161.065	70.7682	-210.682
