Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	-2.00419	1.03169	10.3505	0.944877	7.50074	9.71355	-5.32025	-6.12167	29.4533	-5.22256	-12.1542	27.6154	7.92964	-21.6532	5.14019	8.05303	-27.1252	5.3327	8.0432	20.4707	2.6225	8.61625	24.214	2.44871	11.2032	8.3831	21.109	11.8654	9.0864	20.564
1	-1.8905	1.22769	10.3782	1.02305	7.5263	9.58111	-5.14588	-5.98156	29.7133	-5.0065	-12.0986	27.6996	7.79011	-22.2508	6.49694	7.89646	-27.8588	6.79178	7.78775	20.7686	2.16563	8.02759	24.2773	2.28549	11.3186	8.34847	19.4524	11.5194	9.62765	18.8708
2	-1.65673	1.35203	10.3817	1.20954	7.49671	9.39392	-4.78879	-5.84437	29.9246	-4.62925	-12.0685	27.6501	7.55529	-22.4398	8.16984	7.69203	-28.1239	8.4198	6.57128	20.3652	1.49154	6.85124	23.5467	1.89563	10.705	8.48933	16.7358	10.8567	10.4226	16.3327
3	-1.32687	1.4007	10.3815	1.48332	7.4249	9.19234	-4.29358	-5.66378	30.0841	-4.15765	-11.9985	27.5175	7.27418	-22.2206	9.92182	7.49866	-27.9558	10.0472	4.94957	19.2612	0.501477	5.47119	22.163	1.25619	9.8561	8.81183	13.3715	10.1911	11.3442	13.3474
4	-0.9387	1.37697	10.3907	1.82113	7.32152	9.01021	-3.71833	-5.43556	30.2335	-3.66114	-11.8736	27.3916	6.93989	-21.5817	11.6553	7.32462	-27.3901	11.6474	3.46148	17.7718	-0.581223	4.14312	20.5703	0.64549	9.05164	9.06215	9.96703	9.51366	12.0223	10.4085
5	-0.525068	1.29377	10.4027	2.20871	7.19481	8.858	-3.1203	-5.2097	30.4128	-3.18085	-11.7506	27.3436	6.56392	-20.5374	13.4008	7.17071	-26.4712	13.2993	2.24716	16.2845	-1.33391	2.90362	19.1813	0.42386	8.19938	8.98247	7.0114	8.63582	12.1924	7.86609
6	-0.104782	1.17132	10.3975	2.63759	7.05257	8.72261	-2.53562	-5.04985	30.6166	-2.71017	-11.6942	27.3702	6.20561	-19.2496	15.216	7.04837	-25.3729	15.0549	1.16964	15.0543	-1.4725	1.68246	18.1727	0.764507	7.14406	8.57053	4.69903	7.45935	11.9345	5.8314
7	0.309942	1.03209	10.3563	3.09458	6.90591	8.58124	-1.9742	-4.98748	30.7763	-2.20733	-11.708	27.3811	5.91554	-18.0007	17.0769	6.9515	-24.3646	16.8235	0.180722	14.1429	-0.965717	0.502616	17.5137	1.59231	5.95545	8.06601	3.0422	6.10272	11.5359	4.28418
8	0.704947	0.899208	10.2667	3.5616	6.77681	8.41712	-1.43769	-5.00726	30.7834	-1.6358	-11.7413	27.2529	5.69982	-17.0279	18.8506	6.85343	-23.6254	18.4103	-0.583525	13.4841	0.0132617	-0.510206	17.0866	2.68056	4.89004	7.72052	1.95916	4.79478	11.1999	3.14708
9	1.06297	0.79735	10.1268	4.02014	6.7005	8.23012	-0.936997	-5.06076	30.5488	-1.00039	-11.7327	26.9047	5.54034	-16.4138	20.3683	6.74323	-23.1709	19.6502	-1.03364	13.005	1.2108	-1.30333	16.7891	3.81827	4.11005	7.59964	1.29146	3.65619	10.9351	2.30841
