Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	17.85	182.8	-21.82	2760.98	0	1165.13	9660.19	81.48	690	-37.31	2242.72	0	1304.09	17867.9
2	18.69	230.87	-36.24	2694.23	0	1161.95	228.41	100.25	690.61	-40.89	2259.75	0	1303.76	20258.5
3	11.6	249.79	-37.92	2669.86	0	1153.99	-2109.52	109.94	693.05	-46.77	2285.11	0	1297.19	19611.9
4	5.95	234.38	-18.84	2723.86	0	1170.65	10195	92.01	673.68	-47.91	2266.68	0	1292.34	14879.1
5	-2.82	238.65	-23.12	2711.74	0	1163.03	10549.6	94.38	663.15	-33.34	2229.87	0	1302.57	22105.2
6	-13.05	233.15	-33.65	2662.3	0	1158.24	2054.75	102.92	654.6	-31.28	2249.21	0	1302.74	22335.4
7	-31.36	248.41	-22.51	2658.9	0	1160.17	5261.02	110.4	654.75	-48.37	2277.12	0	1290.85	16174.8
8	-37.69	258.64	-16.25	2737.79	0	1161.81	9397.61	95.98	632.93	-35.17	2235.07	0	1294.6	18735
9	-52.57	263.67	-25.56	2699.25	0	1161.64	2702.31	93.38	614.62	-25.1	2222.48	0	1302.86	18224.4
10	-71.26	267.64	-19.53	2652.08	0	1154.21	1096.48	112.15	614.01	-34.41	2256.31	0	1293.97	20397.8
11	-75.07	270.84	-1.22	2694.76	0	1167.72	11103.9	106.05	602.87	-39.37	2265.05	0	1288.46	13477.4
12	-73.24	279.08	-4.5	2717.34	0	1157.6	7836.06	93.69	577.7	-28.23	2232.52	0	1290.57	16415.1
13	-72.86	279.69	-8.7	2689.28	0	1152.63	6094.67	100.48	566.86	-15.49	2204.77	0	1303.24	20932.5
14	-63.93	281.37	1.3	2643.86	0	1168.56	12033.3	113.53	561.98	-31.81	2260.12	0	1291.34	15700.5
15	-44.33	303.8	-3.05	2744.35	0	1153.31	8543.5	107.12	538.79	-30.36	2262.23	0	1279.72	15184.3
16	-43.18	302.73	-18.46	2706.13	0	1149.24	1905.07	94.3	520.17	-10.99	2188.77	0	1298.37	17566.4
17	-36.32	314.18	-7.78	2611.81	0	1156.23	6387.06	106.43	506.13	-14.11	2228.7	0	1295.26	20104
18	-33.11	309.3	-0.31	2729.39	0	1167.33	11281.9	112.3	493.47	-17.47	2239.92	0	1285.32	19553.9
19	-29.3	330.35	-5.95	2698.39	0	1147.52	5390.46	99.26	470.89	-13.5	2227.66	0	1281.91	15413.8
20	-43.26	321.04	-3.51	2636.33	0	1156.06	5528.52	90.26	451.66	-5.04	2182.27	0	1293.5	18614.7
21	-41.12	324.4	9.08	2653.68	0	1159.68	12875.6	103.76	432.59	-0	2192	0	1293.71	19988.1
