Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-150.298	942.129	-64.6095	-129.08	942.866	-286.646	-348.418	965.53	-156.855	-336.279	973.674	-228.304	-225.307	1021.7	-339.952	-259.921	1011.78	-16.9507	-235.847	849.607	13.591	-54.8715	493.054	-34.4476	-67.646	440.009	-33.985	-14.5468	427.656	-89.5921	-188.789	108.846	-66.9317	-232.01	111.044	-110.98	-53.9173	48.5835	-92.4481	-99.7854	45.9812	-38.3251	-211.725	870.321	-365.688	-245.752	461.731	-302.947	-261.906	402.122	-298.081	-207.796	401.439	-246.397	-303.045	65.3948	-235.885	-346.418	50.2987	-198.675	-156.34	35.996	-203.553	-193.966	24.0519	-267.965
0.007	-145.606	942.48	-64.9543	-125.301	942.36	-287.03	-344.231	965.585	-156.74	-332.287	973.325	-227.926	-221.716	1020.99	-340.015	-255.544	1011.98	-17.2325	-230.696	850.15	14.0182	-49.0501	493.324	-34.4177	-60.6115	439.794	-34.0024	-7.13664	428.748	-89.6719	-169.136	104.004	-66.7633	-212.532	105.142	-111.255	-32.0818	48.4639	-91.0389	-77.9177	44.1914	-37.6036	-208.089	869.753	-365.546	-243.893	461.575	-302.514	-260.311	401.975	-297.599	-205.912	400.984	-246.219	-303.024	65.2727	-235.194	-346.418	50.3586	-198.494	-156.368	35.857	-203.772	-193.834	24.1615	-268.323
0.013	-140.814	942.583	-64.8893	-121.227	941.908	-287.384	-339.994	965.339	-156.767	-328.165	972.887	-227.508	-218.189	1020.32	-340.045	-251.773	1011.55	-18.0546	-225.552	850.78	14.4315	-43.4744	493.504	-34.815	-53.6452	439.271	-33.9861	-0.0808	429.63	-89.713	-149.431	99.3311	-66.5132	-192.376	99.0022	-111.398	-10.0396	48.4468	-90.0186	-56.7039	42.7906	-36.6138	-204.606	869.186	-365.488	-242.002	461.339	-302.067	-258.676	401.823	-297.21	-204.127	400.619	-246.011	-303.018	65.3374	-235.063	-346.413	50.4198	-198.303	-156.151	35.7943	-203.612	-193.93	24.0033	-268.113
0.02	-135.995	942.78	-65.1023	-116.706	941.479	-287.81	-335.508	965.777	-155.361	-323.983	972.407	-227.127	-215.469	1019.8	-340.811	-246.614	1012.54	-17.8157	-220.377	851.146	14.849	-37.9902	493.418	-34.8728	-46.6609	438.567	-33.5998	6.82959	430.406	-89.9134	-129.562	95.0424	-66.2478	-172.301	93.4183	-111.384	11.48	48.6175	-88.9467	-35.1774	41.4814	-35.8583	-201.006	868.591	-365.414	-240.057	461.165	-301.691	-257.008	401.71	-296.828	-201.814	400.159	-246.002	-302.976	65.4057	-234.946	-346.383	50.4937	-198.14	-156.163	35.7792	-203.67	-193.988	23.9694	-268.171
0.027	-131.288	942.906	-65.6908	-113.275	940.976	-287.932	-331.01	965.338	-155.026	-319.771	972.144	-226.295	-211.886	1019.04	-340.892	-241.251	1013.02	-17.4962	-215.181	851.595	15.2655	-32.6745	493.257	-34.6963	-39.8589	437.78	-33.5159	13.4196	430.828	-89.9887	-109.777	91.3075	-66.1825	-152.415	88.1907	-111.159	33.1272	49.3428	-88.1202	-13.8117	40.5262	-35.3839	-197.378	868.098	-365.354	-238.049	460.953	-301.247	-255.276	401.575	-296.349	-200.423	399.659	-245.536	-302.857	65.4354	-234.773	-346.352	50.5747	-197.962	-156.254	35.6848	-203.699	-194.051	23.9353	-268.221
0.033	-126.383	942.943	-65.9277	-109.569	940.444	-288.114	-326.33	963.841	-154.947	-315.636	971.609	-226.096	-208.289	1018.33	-340.957	-236.006	1012.88	-17.4831	-209.913	851.778	15.5638	-27.6479	492.556	-34.6082	-33.1653	436.835	-33.737	19.8878	431.157	-90.1397	-89.9688	87.7602	-65.6725	-132.44	83.2318	-110.747	54.6493	50.8339	-86.7806	7.56274	40.2666	-34.5845	-193.591	867.473	-365.27	-235.936	460.708	-300.826	-253.398	401.548	-296.272	-198.51	399.216	-245.311	-302.771	65.4976	-234.62	-346.306	50.6718	-197.82	-156.04	35.6981	-203.754	-194.456	23.9284	-268.172
0.04	-121.432	942.914	-66.0485	-105.368	939.816	-288.348	-321.894	964.375	-154.313	-311.585	971.138	-226.094	-204.607	1017.61	-340.93	-231.119	1012.85	-17.4988	-204.626	851.825	15.9114	-22.6864	491.691	-34.5591	-26.5848	435.695	-33.8207	26.1881	431.402	-90.1709	-70.3175	84.4305	-64.7436	-112.375	78.7279	-110.25	75.6988	52.7989	-85.834	28.8603	40.4243	-33.8842	-189.821	866.935	-365.255	-233.749	460.54	-300.535	-251.534	401.271	-295.575	-196.088	398.733	-245.385	-302.643	65.5536	-234.449	-346.249	50.7407	-197.674	-156.242	35.8642	-204.137	-194.391	23.8831	-268.27
0.047	-116.129	942.809	-66.2798	-101.25	939.329	-288.516	-317.035	963.368	-153.354	-306.832	969.919	-225.084	-200.781	1016.89	-340.893	-226.087	1012.72	-17.463	-199.264	851.779	16.2294	-17.8871	490.615	-34.3969	-19.8472	434.601	-32.956	32.3359	431.555	-89.9969	-51.0552	81.9417	-64.3357	-92.7376	74.6837	-109.554	96.5089	55.1536	-85.0753	49.853	41.0821	-33.207	-185.984	866.319	-365.177	-231.393	460.216	-300.095	-249.657	401.142	-295.188	-194.497	398.142	-244.85	-302.524	65.6012	-234.316	-346.183	50.856	-197.522	-156.262	35.7849	-203.768	-194.438	23.845	-268.319
0.053	-111.171	942.576	-66.3815	-97.1686	938.753	-288.607	-312.206	962.689	-152.694	-302.624	969.204	-224.871	-196.96	1016.17	-340.842	-220.736	1012.55	-17.3013	-193.74	851.545	16.5225	-13.1621	489.458	-34.1829	-13.5226	433.513	-32.758	38.391	431.633	-89.8893	-31.3554	79.8108	-63.5636	-73.0341	70.9269	-108.909	116.793	57.7356	-84.7375	70.6486	42.189	-32.5038	-182.007	865.723	-365.082	-229.191	459.992	-299.74	-247.625	400.966	-294.831	-192.412	397.706	-244.634	-302.406	65.6445	-234.182	-346.143	50.9551	-197.378	-156.237	35.7709	-203.82	-194.497	23.7929	-268.389
0.06	-105.869	942.302	-66.4213	-93.0393	938.053	-288.737	-307.448	962.022	-152.046	-298.374	968.519	-224.824	-193.047	1015.39	-340.747	-215.755	1012.15	-17.2642	-188.129	851.025	16.7695	-8.59047	488.232	-33.8043	-7.2414	432.451	-32.1669	44.2815	431.731	-89.8215	-12.4688	77.9987	-62.1755	-53.8974	67.8787	-107.815	136.618	60.8694	-84.2095	91.1108	43.7754	-31.9137	-177.978	865.135	-364.966	-226.793	459.832	-299.683	-245.554	400.818	-294.762	-190.282	397.253	-244.459	-302.274	65.6756	-234.085	-346.288	51.4051	-197.017	-156.191	35.7349	-203.84	-194.582	23.8124	-268.45
