Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.140958	-0.047719	-1.04995	-0.238001	-0.0567097	-0.949112	0.0401016	0.0164329	-0.561028	0.02603	-0.00119562	-0.474845	0.0134023	0.028	0.0200726	-0.0032375	-0.000385	-0.0009725	0.0910181	0.714107	-0.0451781	0.0693844	0.732309	-0.0358659
1	-0.170485	-0.0424532	-1.10711	-0.281636	-0.0613662	-0.952135	0.0373348	0.0264571	-0.534149	0.0168697	-0.00414594	-0.401421	0.00783871	0.0381426	0.0134035	-0.0231703	-0.0178412	-0.0383	0.128468	1.70669	-0.134119	0.0764975	1.79852	-0.127565
2	-0.170333	-0.0258342	-1.12961	-0.294211	-0.0585116	-0.904075	0.0400884	0.0462148	-0.489011	0.00976656	-0.00359281	-0.295098	-0.00531774	0.0555748	0.0105542	-0.0523144	-0.0370084	-0.0789566	0.13128	3.02518	-0.268291	0.0285266	3.23641	-0.261927
3	-0.138087	0.00209742	-1.06106	-0.252526	-0.0418431	-0.776878	0.0437348	0.0686523	-0.403141	0.00907781	0.000554687	-0.145586	-0.0248832	0.0724268	0.0106026	-0.0824778	-0.0534853	-0.113603	0.041379	4.2941	-0.400254	-0.132618	4.66034	-0.382546
4	-0.0806035	0.0272055	-0.971956	-0.163021	-0.0235881	-0.652367	0.0606903	0.082541	-0.296707	0.0362341	0.00167719	0.02344	-0.0416806	0.0785729	0.00877323	-0.104971	-0.0706834	-0.140494	-0.180212	5.28358	-0.436956	-0.437229	5.82014	-0.380656
5	0.00408516	0.035969	-0.953994	-0.04953	-0.0187316	-0.620823	0.107879	0.0835997	-0.192064	0.106337	-0.00270906	0.189562	-0.0460894	0.0740942	0.00830387	-0.11495	-0.0873281	-0.15643	-0.50713	6.02724	-0.320672	-0.839526	6.72333	-0.202266
6	0.115616	0.0289861	-1.02638	0.0632053	-0.0274112	-0.680724	0.186652	0.0800777	-0.0865374	0.20592	-0.00604312	0.354339	-0.0386103	0.0700081	0.0156368	-0.115916	-0.0955081	-0.158733	-0.865605	6.67506	-0.0833929	-1.24635	7.47756	0.0937537
7	0.232005	0.0121381	-1.13442	0.164038	-0.0441825	-0.748782	0.27896	0.0782561	0.045541	0.307962	-0.00815906	0.541911	-0.0267384	0.0718877	0.0322903	-0.11519	-0.0973341	-0.152512	-1.19929	7.38355	0.200832	-1.59346	8.19765	0.414626
8	0.339118	-0.00986935	-1.19989	0.258231	-0.0647484	-0.764193	0.365654	0.0776081	0.222534	0.395079	-0.0131172	0.756683	-0.0158942	0.0780071	0.0561684	-0.116739	-0.0983431	-0.142725	-1.49504	8.19727	0.462896	-1.86399	8.9468	0.683848
9	0.432843	-0.0327929	-1.21954	0.346338	-0.0849956	-0.753543	0.438297	0.0784545	0.418716	0.462783	-0.0188628	0.961468	-0.0086271	0.0878945	0.0868032	-0.121394	-0.0963741	-0.127396	-1.74073	9.10036	0.651765	-2.04606	9.7351	0.850824
10	0.513253	-0.0531081	-1.23114	0.429633	-0.101033	-0.740214	0.496965	0.0819355	0.594898	0.511338	-0.0229475	1.12541	-0.0054129	0.101627	0.123476	-0.128164	-0.0895031	-0.103708	-1.91342	10.0531	0.75265	-2.13701	10.5077	0.915535
11	0.581094	-0.0681006	-1.23829	0.505389	-0.110256	-0.700338	0.540963	0.0866384	0.732968	0.538948	-0.0273259	1.24405	-0.00457548	0.117063	0.163852	-0.133659	-0.0807903	-0.0720209	-1.99951	10.957	0.785062	-2.14951	11.1631	0.914897
12	0.632659	-0.0752961	-1.21029	0.563776	-0.111405	-0.613048	0.567599	0.0903774	0.834999	0.546065	-0.0328197	1.32102	-0.00367613	0.131297	0.204611	-0.134324	-0.0722603	-0.0347191	-2.00344	11.6882	0.779756	-2.10072	11.6168	0.88427
13	0.666328	-0.0733668	-1.1298	0.598336	-0.104562	-0.491783	0.577895	0.0933945	0.906832	0.536106	-0.0370816	1.35865	-0.0017429	0.14349	0.242929	-0.130547	-0.0627359	0.00573969	-1.94111	12.1678	0.759451	-2.00489	11.8464	0.842124
14	0.686165	-0.0641097	-1.01202	0.616173	-0.0932034	-0.369916	0.577211	0.0969335	0.949327	0.51426	-0.0386372	1.36028	0.00127323	0.154558	0.277935	-0.124117	-0.0512509	0.0478441	-1.82992	12.384	0.737983	-1.87398	11.8689	0.79791
15	0.696436	-0.0509994	-0.885814	0.636034	-0.0830794	-0.275774	0.569732	0.101132	0.96169	0.489309	-0.0374903	1.33111	0.00547613	0.16545	0.31057	-0.114717	-0.0377547	0.0903994	-1.68517	12.3658	0.721873	-1.71982	11.7034	0.760291
16	0.701769	-0.0375277	-0.778139	0.663419	-0.0764356	-0.216737	0.557463	0.105359	0.943699	0.466506	-0.0338072	1.27645	0.0110619	0.176681	0.342284	-0.102112	-0.0221063	0.13259	-1.51904	12.1506	0.7114	-1.55598	11.3667	0.734823
17	0.703756	-0.0258842	-0.698531	0.681326	-0.0712322	-0.181915	0.540992	0.10914	0.898881	0.443436	-0.0286231	1.20019	0.0180539	0.188306	0.373457	-0.0879697	-0.00467437	0.174112	-1.344	11.7704	0.704181	-1.39388	10.8859	0.719578
18	0.698493	-0.0164361	-0.639812	0.673723	-0.0654309	-0.156832	0.520309	0.112132	0.832636	0.417628	-0.0236425	1.1055	0.0263919	0.199958	0.403353	-0.0731994	0.0135047	0.214396	-1.1723	11.256	0.697174	-1.23922	10.3013	0.709633
19	0.677543	-0.00815097	-0.589541	0.643621	-0.0581219	-0.128919	0.494536	0.114264	0.750562	0.390611	-0.0193222	0.998061	0.0356277	0.211196	0.431191	-0.0573969	0.0316444	0.252337	-1.01123	10.6457	0.686232	-1.09427	9.65834	0.701823
20	0.638353	9.77419e-05	-0.538421	0.602093	-0.0481812	-0.0922016	0.463729	0.115522	0.658581	0.362998	-0.0146084	0.88601	0.0450035	0.221472	0.456361	-0.0414753	0.0494503	0.287108	-0.863006	9.98311	0.66815	-0.960621	9.00022	0.692414
21	0.589665	0.00874097	-0.482913	0.55887	-0.03525	-0.0483531	0.430114	0.116218	0.563465	0.33407	-0.008475	0.776988	0.0538532	0.230485	0.478498	-0.0272056	0.0667344	0.318655	-0.728679	9.30933	0.642696	-0.839995	8.36242	0.676289
22	0.542691	0.0178177	-0.422264	0.519558	-0.0208581	-0.00252781	0.39624	0.11715	0.47261	0.304197	-0.000977812	0.676509	0.06149	0.238403	0.497599	-0.015195	0.0829862	0.346824	-0.609965	8.65755	0.611275	-0.733925	7.76947	0.650138
23	0.503485	0.0271332	-0.360499	0.484881	-0.00788031	0.03827	0.364159	0.119051	0.390812	0.27441	0.00706344	0.586977	0.0674794	0.245672	0.514236	-0.00495906	0.0977463	0.371472	-0.508315	8.05235	0.575686	-0.642621	7.23686	0.613746
24	0.471967	0.0362897	-0.303426	0.451932	0.00133281	0.0674488	0.335044	0.121985	0.319665	0.24512	0.0146425	0.508483	0.0719226	0.252658	0.529249	0.00373312	0.110764	0.392798	-0.423721	7.51083	0.537941	-0.564416	6.7749	0.569042
25	0.443342	0.0448016	-0.256629	0.418009	0.00701969	0.0845797	0.308668	0.125355	0.258234	0.217012	0.0210547	0.440545	0.0752368	0.259506	0.543409	0.0107841	0.121973	0.411143	-0.35417	7.04447	0.499775	-0.496593	6.38974	0.519956
26	0.412329	0.0520152	-0.221655	0.385288	0.0107506	0.0942697	0.284649	0.128397	0.204867	0.192471	0.0262078	0.382395	0.0781948	0.266215	0.557471	0.0165669	0.131636	0.4271	-0.296505	6.65991	0.462661	-0.436971	6.08302	0.472288
27	0.37827	0.0573068	-0.195675	0.357288	0.0139022	0.102451	0.263813	0.130817	0.158374	0.17379	0.0306594	0.333419	0.0818445	0.272977	0.572238	0.0218216	0.140418	0.441545	-0.247678	6.35872	0.428374	-0.384121	5.8515	0.43182
28	0.34494	0.0611248	-0.174777	0.335798	0.0178044	0.114032	0.24735	0.132827	0.118212	0.161353	0.0349284	0.293325	0.0868548	0.280206	0.588454	0.0268366	0.148819	0.455438	-0.205324	6.13851	0.398978	-0.336801	5.68908	0.402505
29	0.317386	0.0649023	-0.15579	0.319984	0.0233263	0.131817	0.236164	0.134986	0.0840587	0.154235	0.0392031	0.261321	0.0932455	0.288416	0.606648	0.0315059	0.156998	0.469413	-0.168012	5.99404	0.376388	-0.293184	5.58899	0.385878
30	0.299326	0.0694655	-0.13743	0.30868	0.0301725	0.154185	0.231145	0.138107	0.055341	0.152032	0.043725	0.234808	0.100917	0.298239	0.627367	0.0360334	0.165354	0.484119	-0.134653	5.91869	0.362256	-0.24987	5.54437	0.381059
31	0.290994	0.0748681	-0.118743	0.301208	0.0372419	0.179226	0.232141	0.142981	0.0313803	0.154427	0.0486959	0.211101	0.109667	0.310349	0.651374	0.040725	0.174485	0.50042	-0.103741	5.9063	0.357311	-0.202504	5.54981	0.385357
32	0.289712	0.0811087	-0.100097	0.296599	0.04375	0.206064	0.237776	0.149769	0.0110435	0.160473	0.0541728	0.1885	0.119188	0.325014	0.679241	0.0457953	0.185071	0.519543	-0.0731758	5.95177	0.360991	-0.14732	5.60344	0.395586
33	0.292436	0.0881397	-0.0823819	0.294231	0.0497719	0.235347	0.24659	0.158089	-0.00685065	0.168863	0.0600581	0.166914	0.129184	0.342019	0.711161	0.0513759	0.197615	0.542719	-0.0409055	6.05032	0.371637	-0.0825697	5.7072	0.409239
34	0.297144	0.0954626	-0.0665097	0.294266	0.0557734	0.26843	0.257724	0.167651	-0.0237529	0.17866	0.0662103	0.147392	0.139745	0.361263	0.747405	0.0576306	0.212337	0.570944	-0.00475581	6.19701	0.387072	-0.00924781	5.86486	0.424673
35	0.303052	0.102839	-0.0523768	0.298017	0.0620944	0.305522	0.270726	0.178389	-0.0414706	0.189505	0.0726462	0.131218	0.151252	0.382983	0.788584	0.0648178	0.229446	0.605196	0.0384552	6.38735	0.405172	0.0694644	6.08034	0.440563
36	0.309002	0.110815	-0.0361355	0.305946	0.0687034	0.345336	0.28518	0.190295	-0.0613452	0.200648	0.0792059	0.119773	0.164314	0.407545	0.835416	0.0730384	0.248945	0.64617	0.0918181	6.61761	0.424475	0.148979	6.3559	0.455304
