Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-340.041	999.191	-205.027	-368.643	1005.68	-505.565	-528.971	1001.45	-299.036	-537.536	1004.06	-377.213	NaN	NaN	NaN	NaN	NaN	NaN	-395.298	894.914	-161.166	-221.013	500.062	-230.891	-210.058	443.827	-224.842	-137.964	443.514	-264.367	-85.0671	72.9661	-250.931	-129.767	52.3274	-303.199	72.2968	101.774	-295.152	37.8093	68.7343	-231.111	-470.284	921.364	-534.833	-565.581	504.128	-478.333	-591.286	443.891	-478.635	-534.02	410.976	-438.7	-681.157	64.3115	-423.051	-725.542	68.1386	-373.749	-518.696	35.577	-384.094	-562.542	27.0139	-458.148
0.007	-331.127	997.094	-204.935	-359.978	1004.52	-505.694	-520.008	998.927	-299.022	-528.637	1001.68	-376.631	NaN	NaN	NaN	NaN	NaN	NaN	-385.902	892.325	-161.345	-211.408	497.955	-231.028	-199.904	442.283	-225.305	-127.979	442.963	-264.86	-69.1663	73.4017	-249.954	-112.999	51.7691	-302.659	88.166	103.949	-294.248	53.9024	70.8197	-230.246	-461.906	920.501	-534.971	-559.729	503.884	-477.793	-586.534	444.204	-478.402	-529.412	410.648	-438.605	-680.704	65.6353	-422.54	-724.775	69.5212	-373.097	-518.532	35.4944	-384.019	-562.656	27.0371	-457.795
0.013	-322.205	995.092	-204.814	-351.234	1003.43	-505.895	-510.747	996.104	-299.079	-519.64	999.45	-376.033	NaN	NaN	NaN	NaN	NaN	NaN	-376.271	889.832	-161.522	-201.471	496.132	-231.142	-189.662	440.829	-225.712	-117.635	442.661	-265.644	-54.6568	73.5516	-249.782	-98.5309	51.69	-302.604	102.647	105.385	-293.29	68.373	72.141	-229.339	-453.328	919.551	-535.057	-554.1	504.03	-478.258	-581.4	444.515	-478.377	-524.429	410.143	-438.769	-680.226	66.9391	-422.297	-724.119	71.3337	-372.768	-518.376	35.3965	-383.959	-562.613	27.1291	-457.346
0.02	-313.214	993.169	-204.531	-342.399	1002.33	-506.135	-501.8	994.591	-298.527	-510.496	997.406	-375.397	NaN	NaN	NaN	NaN	NaN	NaN	-366.649	887.635	-161.561	-191.364	494.606	-231.082	-179.373	439.481	-226.106	-107.326	441.95	-266.294	-41.8159	73.2592	-249.909	-85.2592	51.005	-303.085	115.693	106.055	-292.335	81.3072	72.5392	-228.728	-444.563	918.555	-535.136	-547.681	503.861	-478.4	-575.76	444.594	-478.549	-519.2	409.442	-439.161	-679.588	68.3319	-422.213	-723.525	73.3093	-372.642	-518.217	35.3259	-383.929	-562.623	27.1554	-457.154
0.027	-304.097	991.292	-204.184	-333.462	1001.36	-506.489	-492.301	992.556	-298.037	-501.201	995.492	-374.837	NaN	NaN	NaN	NaN	NaN	NaN	-356.807	885.747	-161.565	-181.185	493.394	-231.614	-169.096	438.226	-226.595	-97.0386	440.957	-266.81	-30.7215	72.3868	-250.458	-73.577	50.0941	-304.104	127.055	106.013	-291.52	92.6394	71.6499	-228.843	-435.586	917.474	-535.158	-540.858	503.478	-478.757	-569.67	444.627	-478.874	-513.595	408.842	-439.197	-678.972	69.8314	-422.281	-722.959	75.791	-372.914	-518.095	35.2267	-383.985	-562.598	27.1925	-457.045
0.033	-294.88	989.688	-203.878	-324.391	1000.37	-506.795	-483.498	991.127	-298.634	-491.775	993.705	-374.31	NaN	NaN	NaN	NaN	NaN	NaN	-347.009	884.268	-161.435	-171.169	492.593	-232.238	-158.935	437.166	-227.001	-86.7349	439.813	-267.093	-21.0063	70.913	-251.431	-63.4393	48.7851	-305.545	136.888	105.316	-290.763	101.702	71.1149	-228.122	-426.416	916.438	-535.081	-533.383	502.945	-478.824	-563.294	444.629	-479.396	-508.16	408.351	-439.995	-678.212	71.5508	-422.711	-722.054	77.8474	-373.215	-518.042	35.3483	-383.818	-562.511	27.2206	-456.982
0.04	-285.408	988.257	-203.524	-315.058	999.311	-507.122	-473.445	989.302	-297.639	-482.211	992.081	-373.91	NaN	NaN	NaN	NaN	NaN	NaN	-337.222	883.036	-161.334	-160.93	491.922	-233.141	-148.581	436.328	-227.727	-76.4816	438.427	-267.12	-12.9563	68.9696	-252.799	-54.4666	46.8347	-307.429	145.349	103.723	-290.258	110.142	68.3951	-228.642	-416.971	915.335	-534.972	-526.292	502.808	-479.892	-556.516	444.61	-480.127	-501.639	407.352	-440.406	NaN	NaN	NaN	-721.269	80.4404	-373.892	-517.892	35.1598	-383.988	-562.379	27.2455	-457.001
0.047	-275.771	986.911	-203.14	-305.59	998.302	-507.387	-463.327	988.241	-297.443	-472.496	990.609	-373.593	NaN	NaN	NaN	NaN	NaN	NaN	-327.435	881.957	-161.193	-150.517	491.281	-233.305	-138.353	435.432	-227.936	-66.0988	437.215	-267.129	-6.09335	66.5846	-254.358	-47.3497	45.0096	-309.498	152.529	101.156	-290.155	116.009	66.2456	-228.887	-407.322	914.338	-534.851	-518.545	502.432	-480.652	-549.607	444.683	-481.025	-495.301	406.594	-440.925	-676.437	75.4481	-424.078	-720.523	83.5611	-375.036	-517.851	35.1145	-384.106	-562.174	27.4374	-457.735
0.053	-266.009	985.677	-202.816	-295.801	997.298	-507.524	-453.86	986.56	-297.202	-462.637	989.348	-373.491	NaN	NaN	NaN	NaN	NaN	NaN	-317.636	880.951	-161.074	-139.776	490.691	-233.356	-128.279	434.318	-228.122	-56.0122	435.66	-266.818	-0.68187	64.0368	-256.091	-42.1638	44.4183	-311.522	158.334	97.5392	-290.715	121.331	62.5357	-229.819	-397.491	913.467	-534.799	-510.279	501.934	-481.213	-542.328	444.696	-482.037	-488.746	406.009	-441.885	-675.323	77.6773	-425.152	-719.39	86.3743	-376.18	-517.833	35.1053	-384.261	-561.834	27.2728	-457.292
0.06	-256.031	984.38	-202.47	-285.678	996.25	-507.503	-443.886	985.378	-297.054	-452.584	988.245	-373.496	NaN	NaN	NaN	NaN	NaN	NaN	-307.986	879.971	-160.844	-128.993	490.002	-233.14	-118.548	433.013	-227.848	-46.4828	433.945	-266.153	3.44593	61.6114	-257.757	-38.1704	43.6344	-313.183	162.979	93.1387	-292.214	125.211	58.1667	-231.212	-387.354	912.559	-534.675	-502.486	501.954	-482.681	-534.887	444.875	-483.349	-482.022	405.306	-442.829	-674.064	79.985	-426.247	-718.377	89.7006	-377.695	-517.848	35.1129	-384.472	-561.5	27.3289	-457.57
