Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.0586657	0.041088	-0.331416	-0.094395	0.0378027	-0.404343	-0.0767923	0.00446533	-0.193939	-0.0693767	0.006314	-0.212864	-0.00811867	0.00717467	0.012106	-0.0103017	-0.00214933	-0.011747	0.0248587	1.13033	-0.0848043	0.011166	1.14523	-0.158839
1	0.0135343	0.053779	-0.356933	-0.0163407	0.039055	-0.397642	-0.0600257	0.0163647	-0.197445	-0.0340677	0.0124163	-0.1967	-0.0106267	0.024495	0.0266323	-0.0199977	0.000992667	-0.0170123	0.07659	1.9697	-0.116301	0.109728	1.94709	-0.203402
2	0.109763	0.0629143	-0.368473	0.0673667	0.035543	-0.355042	-0.033835	0.0282673	-0.18648	0.00259067	0.0166923	-0.152148	-0.0153823	0.042409	0.046238	-0.0310233	0.00305633	-0.0192187	0.090989	2.768	-0.11217	0.187739	2.72116	-0.208067
3	0.197254	0.0642803	-0.363505	0.135106	0.026419	-0.302	-0.005065	0.0358773	-0.153385	0.0338363	0.0163193	-0.084448	-0.0189273	0.05457	0.0641363	-0.037564	0.00208867	-0.0186447	0.0231613	3.33935	-0.060388	0.170592	3.27853	-0.161014
4	0.252179	0.061858	-0.389848	0.176438	0.0157437	-0.315459	0.015017	0.0385883	-0.113187	0.0581437	0.0117733	-0.022307	-0.0194113	0.0609427	0.079858	-0.0373823	-0.00118667	-0.0135033	-0.102596	3.73274	0.0375533	0.0673543	3.64624	-0.070081
5	0.282278	0.0586117	-0.453077	0.202119	0.00436633	-0.390142	0.0318643	0.0394823	-0.0726337	0.0859517	0.006438	0.0274853	-0.0184583	0.065298	0.0948403	-0.0331643	-0.00443467	-0.004795	-0.238892	4.10062	0.162885	-0.0690213	3.95727	0.0408813
6	0.30205	0.055663	-0.525304	0.227723	-0.00935867	-0.470809	0.0540493	0.042629	-0.030673	0.125549	0.002965	0.0772897	-0.019312	0.0722733	0.111278	-0.0290827	-0.00630367	0.00383467	-0.363439	4.54713	0.283913	-0.203709	4.32656	0.149052
7	0.32763	0.0527687	-0.588291	0.268781	-0.0270663	-0.530286	0.0842347	0.0490963	0.007688	0.177514	0.000109333	0.132176	-0.0218427	0.084775	0.133386	-0.0265377	-0.00772467	0.0116217	-0.466063	5.10334	0.38477	-0.319422	4.81671	0.250254
8	0.375998	0.049379	-0.648193	0.329773	-0.0478727	-0.57283	0.119181	0.056849	0.0333407	0.236376	-0.00403933	0.186954	-0.023379	0.102616	0.164993	-0.025165	-0.00926533	0.0211017	-0.533791	5.75574	0.471408	-0.402904	5.42949	0.346881
9	0.452261	0.046042	-0.705439	0.402983	-0.068456	-0.600881	0.154973	0.0642997	0.045281	0.295813	-0.00862633	0.236915	-0.0224657	0.123972	0.205893	-0.0251607	-0.00936933	0.034438	-0.561284	6.4624	0.551843	-0.448187	6.12461	0.436154
