Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.087254	0.009874	-0.303262	-0.07055	0.02896	-0.30324	-0.036548	0.000534	-0.214598	-0.014295	0.00522	-0.1894	0.00284	0.002738	0.007642	-0.001445	0.003315	0.002415	0.029888	0.372424	-0.038812	-0.04114	0.472185	-0.015925
1	-0.08085	0.009276	-0.27674	-0.04419	0.02802	-0.30069	-0.032864	-0.000848	-0.182334	-0.007595	0.00442	-0.17573	0.001596	0.00023	0.002348	-0.00424	-0.000595	-0.0083	0.019368	1.10083	-0.120028	-0.115055	1.31902	-0.05673
2	-0.045666	0.009904	-0.236374	0.00161	0.023955	-0.277275	-0.018498	-7.4e-05	-0.128868	-0.000105	0.003965	-0.14317	-0.005728	-0.004214	-0.011942	-0.01152	-0.008655	-0.030535	-0.056684	2.0484	-0.228526	-0.224475	2.4369	-0.118305
3	-0.000136	0.009508	-0.231884	0.05945	0.01708	-0.251435	-0.004242	3e-05	-0.087576	0.006295	0.001695	-0.102005	-0.017908	-0.011612	-0.034402	-0.0222	-0.020595	-0.059935	-0.239408	2.9429	-0.31713	-0.38219	3.50406	-0.17667
4	0.033528	0.009838	-0.284486	0.1202	0.013635	-0.263845	0.000862	-0.00275	-0.080998	0.01375	-0.00276	-0.0732	-0.028566	-0.020718	-0.055546	-0.03196	-0.03338	-0.08464	-0.505232	3.76602	-0.345178	-0.59527	4.38725	-0.196665
5	0.08852	0.01459	-0.309936	0.18063	0.01654	-0.294725	0.021014	-0.004538	-0.0631	0.031365	-0.004925	-0.043105	-0.033506	-0.02717	-0.06543	-0.03773	-0.04143	-0.095445	-0.777098	4.50933	-0.302894	-0.824295	5.08155	-0.16863
6	0.180774	0.021856	-0.312288	0.246495	0.020005	-0.316745	0.073542	-0.00186	-0.011776	0.06726	-0.002185	0.009535	-0.033272	-0.028024	-0.06193	-0.039825	-0.042545	-0.09256	-0.977898	5.08072	-0.207094	-1.02136	5.60609	-0.105195
7	0.277966	0.02359	-0.334512	0.31468	0.01632	-0.33066	0.146024	0.003116	0.057014	0.115295	0.00247	0.08195	-0.029436	-0.024102	-0.047884	-0.03927	-0.039595	-0.08095	-1.09037	5.43515	-0.078638	-1.17164	6.0124	-0.017945
8	0.35546	0.015162	-0.38773	0.383055	0.003425	-0.35136	0.219602	0.006784	0.120584	0.166315	0.00534	0.152505	-0.023632	-0.017894	-0.028374	-0.03707	-0.035595	-0.066095	-1.1514	5.67229	0.06797	-1.28036	6.38089	0.087985
9	0.414036	-0.00186	-0.44813	0.45737	-0.01671	-0.378355	0.281916	0.007424	0.168508	0.218365	0.00531	0.20195	-0.017766	-0.011594	-0.00795	-0.03459	-0.03112	-0.051495	-1.19599	5.92841	0.206068	-1.34994	6.76548	0.20114
10	0.465544	-0.022456	-0.484332	0.53316	-0.039	-0.388845	0.328884	0.005686	0.201406	0.27099	0.003795	0.22665	-0.013362	-0.005778	0.011618	-0.032835	-0.025485	-0.03782	-1.22892	6.26652	0.302496	-1.37322	7.17619	0.308205
11	0.517832	-0.039998	-0.484054	0.59984	-0.05643	-0.37006	0.362592	0.00346	0.224262	0.31972	0.002235	0.233755	-0.011184	-1.6e-05	0.030736	-0.03201	-0.019025	-0.02439	-1.24023	6.69109	0.33981	-1.34745	7.60109	0.40094
12	0.574822	-0.050396	-0.456734	0.6572	-0.066435	-0.336225	0.386924	0.002662	0.24275	0.361615	0.00122	0.22943	-0.011128	0.006052	0.0506	-0.032035	-0.0126	-0.010635	-1.22693	7.18658	0.326046	-1.28174	8.02529	0.4744
13	0.63565	-0.053528	-0.4181	0.7121	-0.07086	-0.308435	0.40581	0.003602	0.257888	0.396435	0.00119	0.216455	-0.01228	0.012326	0.072088	-0.03282	-0.00625	0.00369	-1.19147	7.72228	0.288076	-1.18873	8.43386	0.52686
14	0.694764	-0.05224	-0.379114	0.76577	-0.069935	-0.283895	0.423616	0.005348	0.268874	0.423595	0.001655	0.199335	-0.013236	0.018814	0.095172	-0.03414	-0.000385	0.018325	-1.14017	8.24647	0.255504	-1.08499	8.80729	0.56045
15	0.745288	-0.049742	-0.347598	0.815095	-0.065175	-0.255025	0.442868	0.00704	0.275714	0.44239	0.00229	0.183355	-0.012904	0.025782	0.119236	-0.035775	0.004715	0.033035	-1.08202	8.69618	0.246792	-0.98333	9.12218	0.57804
16	0.785414	-0.047224	-0.324882	0.859445	-0.06026	-0.229905	0.46351	0.00844	0.278806	0.454175	0.003705	0.17135	-0.01102	0.033356	0.14392	-0.037645	0.00947	0.047905	-1.02304	9.02901	0.265896	-0.888385	9.35871	0.583615
17	0.816936	-0.045926	-0.309478	0.894435	-0.05626	-0.2119	0.483754	0.010172	0.28071	0.46039	0.00606	0.16409	-0.008122	0.041494	0.169186	-0.03966	0.014095	0.06297	-0.968894	9.24193	0.304324	-0.802565	9.50407	0.58131
18	0.840166	-0.044894	-0.297376	0.912965	-0.052645	-0.20281	0.500724	0.01282	0.282582	0.460805	0.008985	0.15894	-0.00518	0.049948	0.195136	-0.041875	0.019015	0.078375	-0.919658	9.36006	0.346622	-0.72469	9.55286	0.573305
19	0.855342	-0.040868	-0.277068	0.916085	-0.0485	-0.1921	0.511774	0.016536	0.284304	0.45592	0.011845	0.15373	-0.003212	0.058446	0.221464	-0.04418	0.024505	0.0942	-0.872376	9.41425	0.378944	-0.65283	9.51288	0.55992
20	0.864082	-0.03543	-0.253098	0.907055	-0.04366	-0.170135	0.515634	0.021086	0.285134	0.446525	0.014315	0.147495	-0.00273	0.066838	0.24766	-0.04641	0.03055	0.110455	-0.823694	9.42696	0.3943	-0.58381	9.40755	0.54073
21	0.867852	-0.03007	-0.230476	0.88696	-0.03928	-0.142465	0.512002	0.02601	0.283986	0.433925	0.01664	0.13939	-0.003476	0.075118	0.273144	-0.048265	0.03731	0.12727	-0.770282	9.4113	0.392136	-0.513155	9.26433	0.51719
22	0.86629	-0.023226	-0.204702	0.861745	-0.034365	-0.113855	0.501416	0.030692	0.27956	0.42018	0.018645	0.12865	-0.004688	0.083264	0.29746	-0.04947	0.044655	0.1448	-0.710938	9.37388	0.376346	-0.441755	9.10531	0.492565
