Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.0140573	-0.00385364	-0.156605	-0.077998	-0.001291	-0.196623	-0.0178282	0.000702727	-0.0870209	-0.033502	0.00138	-0.07021	-0.000207273	-0.00180455	-0.00777	-0.001138	-0.002905	-0.009963	0.0167609	0.495649	-0.0735345	0.077923	0.578891	-0.143421
1	0.00938818	0.000519091	-0.141972	-0.026856	0.006893	-0.190347	-0.00162182	0.00127182	-0.0675318	-0.003524	0.00649	-0.052091	-0.000443636	-0.00581364	-0.0202991	-0.005446	-0.002492	-0.016703	-0.0491836	1.43166	-0.183832	0.052851	1.55649	-0.31311
2	0.0541218	0.00312818	-0.118243	0.052057	0.014822	-0.171144	0.0290209	0.00176727	-0.0363236	0.043422	0.011371	-0.024953	-0.00127	-0.0127009	-0.0466755	-0.015151	-0.003504	-0.0328	-0.220038	2.65594	-0.303214	-0.104751	2.77758	-0.464331
3	0.0850609	0.000288182	-0.133701	0.088019	0.015571	-0.177245	0.0644164	-0.000959091	-0.0122218	0.085423	0.009775	-0.009246	0.000788182	-0.0232609	-0.0832782	-0.024636	-0.009889	-0.056321	-0.50017	3.80921	-0.342335	-0.415054	3.89718	-0.475608
4	0.0780327	-0.00682182	-0.200127	0.036221	0.007221	-0.225325	0.106592	-0.00598909	0.00179636	0.116674	0.001264	-0.004715	0.00886636	-0.0339836	-0.115143	-0.0288	-0.020346	-0.076023	-0.807181	4.76069	-0.243624	-0.770256	4.85316	-0.322109
5	0.0766018	-0.0150773	-0.253957	-0.018733	-0.003266	-0.276487	0.175349	-0.00960182	0.0387736	0.17155	-0.00811	0.025637	0.0198318	-0.0393882	-0.129816	-0.030143	-0.029147	-0.082907	-1.05475	5.5572	-0.0414864	-1.05406	5.69718	-0.095912
6	0.127118	-0.0270373	-0.272187	0.016457	-0.011811	-0.312508	0.275366	-0.01095	0.112368	0.268092	-0.01305	0.095524	0.0273873	-0.0379355	-0.126053	-0.033671	-0.032721	-0.07552	-1.2576	6.28117	0.182322	-1.26255	6.41835	0.10322
7	0.246968	-0.0466791	-0.291072	0.155515	-0.021606	-0.350652	0.39461	-0.00962636	0.198184	0.389643	-0.011043	0.177425	0.0275118	-0.0312373	-0.108908	-0.04117	-0.030579	-0.057084	-1.46275	7.01291	0.370187	-1.43832	7.03645	0.25292
8	0.405587	-0.0714445	-0.317765	0.323809	-0.035865	-0.383861	0.509959	-0.00665818	0.277675	0.501933	-0.005024	0.251503	0.0204082	-0.0237182	-0.08474	-0.051406	-0.026387	-0.032772	-1.65629	7.82892	0.500442	-1.58383	7.66069	0.371152
9	0.561633	-0.0947627	-0.31748	0.454924	-0.05054	-0.383907	0.60473	-0.00421182	0.352657	0.584697	-0.000822	0.31693	0.00946636	-0.0188818	-0.0575273	-0.062658	-0.024028	-0.006191	-1.79969	8.70568	0.575769	-1.68289	8.34412	0.460257
