Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	-1.52395	11.4458	9.08766	-1.58693	7.53538	8.72089	-9.34201	-7.71216	28.4077	-8.21793	-8.19572	29.4526	4.12411	-24.1101	-4.85409	4.38862	-22.1272	-2.43291	7.05377	13.3535	0.713885	4.54955	16.3462	3.23643	8.0457	9.20976	28.569	3.98562	8.17117	28.8747
1	-1.15083	11.5662	8.86663	-1.28874	7.65299	8.50392	-9.01472	-7.59844	28.9723	-7.86988	-7.9612	29.6574	4.43513	-24.41	-2.16034	4.59242	-23.108	-0.478307	6.47178	13.2135	0.606131	3.98651	16.3305	3.11728	7.94628	9.4215	26.2654	3.93324	8.8323	26.9822
2	-0.646087	11.4422	8.53189	-0.869397	7.53684	8.27211	-8.41887	-7.52027	29.4321	-7.2896	-7.73853	29.9011	4.75629	-24.015	0.940427	4.76519	-23.3367	1.99989	5.37974	12.5785	-0.0904169	2.83439	16.0276	2.43456	7.6028	9.55325	22.7286	3.60881	9.1697	23.8056
3	-0.0482359	11.1065	8.15105	-0.336304	7.17872	8.06205	-7.63772	-7.27768	29.797	-6.51395	-7.36677	30.1872	5.03912	-23.271	4.07094	4.88696	-22.9094	4.67596	4.18834	11.7255	-1.55788	1.42481	15.4543	1.02702	7.35011	9.44469	18.297	3.28591	9.07223	19.641
4	0.599497	10.6152	7.77648	0.294706	6.59786	7.88052	-6.77953	-6.77705	30.1327	-5.60075	-6.75881	30.5483	5.30354	-22.3149	7.08065	4.97406	-21.8602	7.40674	3.11404	10.8397	-3.44487	0.182681	14.5684	-0.842271	7.17177	8.94476	13.5649	3.12565	8.51186	15.0906
5	1.26108	10.0389	7.42766	1.00187	5.85059	7.69841	-5.94566	-6.09	30.4975	-4.62564	-5.98072	31.0011	5.65258	-20.9818	10.0614	5.10994	-20.1328	10.2709	1.95442	9.81929	-4.91788	-0.72484	13.282	-2.50425	6.60466	8.09199	9.22105	2.98242	7.59832	10.8231
6	1.91439	9.44541	7.10221	1.75466	5.02126	7.48135	-5.19123	-5.37224	30.8879	-3.66255	-5.18554	31.5025	6.1876	-19.1451	13.1424	5.39519	-17.8813	13.3695	0.388697	8.44657	-5.32293	-1.52087	11.6371	-3.39586	5.25724	7.17084	5.73357	2.55247	6.60424	7.21312
7	2.55254	8.88701	6.79329	2.51649	4.20161	7.21852	-4.50603	-4.75742	31.2174	-2.75238	-4.5166	31.9329	6.89677	-17.0532	16.2615	5.83809	-15.6164	16.5742	-1.48403	6.78676	-4.61338	-2.46394	9.94439	-3.38703	3.37747	6.48859	3.27447	1.7307	5.83353	4.37975
8	3.17552	8.40086	6.49998	3.24197	3.47241	6.92655	-3.84265	-4.30765	31.3442	-1.9131	-4.05664	32.1303	7.66119	-15.2903	19.1475	6.35363	-13.9549	19.5576	-3.28004	5.32	-3.14532	-3.56775	8.69583	-2.62733	1.54412	6.13817	1.75114	0.682921	5.42672	2.34063
9	3.77782	8.01607	6.22707	3.87723	2.89391	6.62932	-3.16428	-4.02905	31.1384	-1.17122	-3.82372	31.9676	8.34627	-14.4199	21.4916	6.84621	-13.2529	22.0334	-4.66623	4.61739	-1.30329	-4.61787	8.28939	-1.30772	0.157824	6.02934	0.930304	-0.310122	5.30846	1.03837
