Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-273.376	1007.35	-108.892	-278.657	1001.24	-342.52	-433.672	1044.68	-176.895	-433.046	1047.15	-271.478	-341.266	1064.95	-371.775	-335.572	1069.69	-75.6243	-349.916	892.467	-40.1784	-194.314	517.819	-83.1252	-187.442	473.261	-82.2016	-137.164	465.771	-134.572	-118.543	82.0222	-123.368	-133.282	41.9017	-171.588	67.6051	88.416	-158.285	32.9402	58.8737	-95.3136	-403.333	892.354	-394.547	-447.497	505.384	-338.496	-458.8	453.399	-336.391	-424.211	416.538	-290.123	-592.225	79.3488	-293.422	-637.345	49.4221	-246.839	-429.388	36.3779	-243.824	-473.394	20.8844	-314.895
0.007	-264.311	1006.2	-108.731	-270.318	1000.07	-342.581	-424.825	1043.92	-176.4	-424.375	1046.02	-271.07	-332.77	1063.82	-371.494	-326.341	1068.65	-75.5197	-341.035	891.473	-39.8315	-188.12	516.071	-82.0725	-181.107	471.704	-81.2444	-130.483	464.929	-133.448	-102.979	82.1122	-123.771	-116.454	41.8103	-172.651	82.9003	93.269	-159.66	49.6527	62.5062	-96.5113	-395.387	891.6	-394.219	-441.832	505.1	-338.871	-454.039	453.068	-336.533	-419.458	415.923	-290.283	-591.559	80.6581	-294.285	-637.025	50.9424	-247.295	-429.344	36.2973	-243.882	-473.292	20.8678	-314.947
0.013	-255.181	1005.1	-108.58	-261.936	999.034	-342.613	-415.907	1043	-175.866	-415.723	1045.06	-270.459	-324.31	1062.89	-371.656	-316.99	1067.7	-75.2709	-331.963	890.511	-39.381	-181.968	514.452	-81.2205	-174.839	470.086	-80.5847	-123.451	464.198	-132.422	-88.9915	81.9904	-124.105	-101.338	41.3253	-173.004	96.3835	97.6747	-161.049	64.528	65.3713	-97.4184	-387.337	890.838	-393.759	-435.992	504.828	-338.947	-448.796	452.7	-336.608	-414.412	415.325	-290.599	-590.789	81.9858	-294.859	-636.672	52.6187	-247.62	-429.298	36.2326	-243.956	-473.184	20.8661	-315.025
0.02	-245.781	1004.21	-109.254	-253.408	998.129	-342.706	-407.018	1042.37	-175.099	-407.108	1044.25	-269.888	-316.49	1062.05	-371.338	-307.723	1067.09	-75.0807	-322.892	889.679	-38.949	-175.45	513.021	-80.4295	-168.053	468.7	-79.807	-116.67	463.552	-131.226	-76.7809	81.5252	-124.573	-88.1173	40.8826	-173.286	108.46	101.406	-161.092	77.7421	67.4889	-98.5614	-379.461	890.256	-393.311	-430.273	504.844	-339.195	-443.312	452.541	-336.681	-409.254	414.66	-290.783	-590.237	83.8008	-294.605	-636.47	54.8216	-249.043	-429.295	36.1439	-244.039	-473.039	20.869	-315.126
0.027	-236.894	1003.35	-108.586	-244.979	997.117	-342.606	-398.111	1041.65	-174.668	-398.502	1043.61	-269.299	-308.382	1061.22	-371.328	-298.195	1066.42	-74.7023	-313.56	888.991	-38.4594	-168.363	511.769	-79.7156	-160.887	467.526	-79.4604	-108.344	462.893	-130.336	-66.4594	80.9417	-124.602	-77.1242	39.9282	-173.497	118.448	104.119	-161.987	88.4253	69.1656	-99.256	-371.574	889.685	-392.79	-423.577	504.463	-338.201	-437.481	452.503	-336.699	-403.8	414.108	-291.069	-589.11	85.3137	-295.35	-636.094	57.3239	-249.94	-429.253	36.0719	-244.148	-472.856	20.8564	-315.239
0.033	-227.474	1002.77	-109.072	-236.626	996.388	-342.748	-389.121	1040.97	-173.924	-389.663	1042.8	-268.465	-299.755	1060.34	-370.728	-288.658	1066.01	-74.5124	-304.326	888.465	-37.9724	-161	510.975	-79.2206	-153.047	466.573	-79.073	-100.474	462.157	-129.556	-58.1872	80.1106	-124.908	-68.4617	38.8676	-173.981	126.596	105.148	-161.98	96.8893	69.6057	-99.7028	-363.698	889.266	-392.292	-416.944	504.252	-338.176	-431.255	452.429	-336.755	-398.108	413.466	-291.225	-587.999	87.4864	-295.993	-635.468	60.1711	-250.784	-429.316	35.9585	-243.813	-472.689	20.8777	-315.382
0.04	-218.525	1002.23	-108.52	-227.885	995.617	-342.773	-380.148	1040.73	-173.118	-380.905	1042.24	-267.884	-291.403	1059.4	-370.52	-279.512	1065.49	-73.9778	-295.156	888.126	-37.5202	-151.941	510.476	-79.3283	-144.609	465.903	-78.9326	-91.6756	461.39	-128.981	-51.7572	78.9214	-125.139	-61.9313	37.5387	-173.982	133.022	104.238	-162.14	103.423	68.5369	-99.7831	-355.466	888.811	-391.409	-409.909	504.074	-338.173	-424.964	452.383	-336.805	-392.218	412.902	-291.315	-587.147	89.6492	-297.569	-634.87	62.9212	-251.478	-429.318	35.8536	-243.889	-472.485	20.9028	-315.498
0.047	-209.067	1001.88	-108.403	-219.081	994.928	-342.064	-370.955	1040.19	-172.167	-372.015	1041.6	-267.095	-282.872	1058.88	-370.074	-270.183	1065.07	-73.562	-286.007	887.945	-37.0117	-142.823	510.218	-79.4371	-135.749	465.613	-79.0166	-82.7309	460.726	-128.74	-46.9308	77.4909	-125.202	-57.4668	36.1923	-174.099	138.028	101.489	-162.046	107.99	66.0454	-99.6671	-347.179	888.482	-390.65	-402.645	503.921	-338.186	-418.219	452.351	-336.824	-385.988	412.35	-291.582	-585.777	91.537	-297.585	-634.029	66.0097	-252.36	-429.242	35.8558	-244.441	-472.29	20.933	-315.627
0.053	-200.165	1001.61	-107.113	-210.304	994.285	-341.666	-361.81	1039.79	-171.528	-363.03	1041.15	-266.276	-274.149	1058.01	-369.672	-261	1064.87	-72.9933	-276.756	887.932	-36.4275	-133.354	510.274	-79.542	-126.593	465.235	-79.2813	-73.9673	459.901	-128.97	-43.2544	75.9094	-124.356	-54.8238	35.2135	-174.142	141.771	97.1911	-161.828	111.022	62.5326	-99.1855	-338.888	888.142	-389.947	-394.969	503.75	-337.905	-411.086	452.366	-336.717	-379.389	411.766	-291.54	-584.507	94.4766	-298.244	-633.151	69.7421	-253.494	-429.189	35.7512	-244.431	-472.046	20.989	-315.687
0.06	-190.482	1001.56	-106.718	-201.665	993.918	-341.653	-352.568	1039.52	-170.924	-354.008	1040.75	-265.527	-265.547	1057.73	-369.24	-251.765	1064.73	-72.4411	-267.237	888.076	-35.7285	-124.308	510.199	-79.9856	-117.367	464.99	-79.6714	-65.1342	459.001	-129.475	-41.1725	74.367	-124.557	-53.8442	33.962	-173.879	144.405	91.9168	-161.529	112.412	58.1017	-98.5291	-330.299	887.677	-389.101	-386.946	503.592	-337.688	-403.582	452.429	-336.612	-372.399	411.135	-291.758	-582.786	97.5196	-299.272	-631.904	73.3928	-253.922	-429.117	35.6961	-244.475	-471.8	21.0904	-315.718
0.067	-180.574	1001.72	-106.84	-192.565	993.478	-340.87	-343.189	1039.35	-170.183	-344.869	1040.38	-264.87	-256.653	1057.38	-368.788	-242.307	1064.48	-71.9322	-257.677	888.358	-35.0819	-114.242	510.067	-80.3738	-108.236	464.631	-80.1007	-56.724	458.068	-130.282	-39.831	72.7704	-125.118	-53.5431	32.6529	-174.721	145.972	85.8304	-160.476	112.341	53.0489	-97.9023	-321.288	887.16	-387.975	-378.471	503.46	-337.36	-395.579	452.436	-336.535	-365.032	410.512	-291.885	-581.012	100.277	-299.762	-630.712	77.9032	-255.769	-428.979	35.6457	-244.474	-471.531	21.1587	-315.606
0.073	-170.876	1001.95	-106.156	-183.551	993.057	-340.331	-333.766	1039.32	-169.365	-335.571	1040.14	-263.896	-247.551	1057.12	-368.185	-232.915	1064.47	-71.5096	-248.259	888.557	-34.4391	-105.326	510.11	-80.4754	-99.5276	464.468	-80.4463	-49.0808	457.021	-131.188	-38.9625	71.4062	-126.849	-53.1098	32.3911	-176.732	147.365	79.2631	-159.173	111.705	46.653	-97.0768	-312.49	886.675	-387.311	-369.506	503.165	-337.042	-387.183	452.426	-335.904	-357.126	409.778	-291.959	-579.074	103.848	-301.039	-628.985	82.2648	-256.166	-428.791	35.6188	-244.593	-471.41	20.7926	-314.44
0.08	-161.041	1002.27	-105.697	-174.484	992.746	-339.861	-324.213	1039.49	-168.802	-326.339	1040.06	-263.123	-238.316	1056.85	-367.607	-223.299	1064.5	-71.2507	-238.389	888.936	-33.5873	-96.6987	510.372	-80.5036	-91.6676	464.574	-80.4843	-41.8873	456.428	-131.921	-38.0411	70.8984	-129.066	-52.2139	32.9194	-178.38	149.852	72.438	-157.631	110.043	40.4779	-95.8003	-303.421	886.145	-386.444	-360.099	503.098	-336.717	-378.173	452.424	-336.298	-348.623	409.056	-292.193	-577.636	107.675	-303.064	-626.844	86.8034	-256.791	-428.524	35.5469	-244.683	-470.375	21.4981	-314.361
0.087	-151.004	1002.89	-105.485	-165.288	992.468	-339.399	-314.61	1040.01	-168.143	-317.162	1040.17	-262.576	-229.417	1056.79	-367.501	-213.181	1064.82	-70.8251	-228.324	889.556	-32.7618	-88.6942	510.825	-80.396	-84.1	464.767	-80.3647	-34.1912	456.436	-131.929	-35.8374	71.2578	-129.338	-50.7615	33.9745	-178.484	152.986	67.1951	-156.676	110.768	35.8259	-95.4098	-294.305	885.517	-385.487	-350.002	502.825	-336.194	-368.731	452.311	-335.549	-339.516	408.317	-292.334	-574.924	111.592	-303.922	-624.456	92.4548	-257.683	-428.155	35.5109	-244.755	-469.274	22.7137	-313.966
0.093	-141.434	1003.7	-104.852	-156.169	992.387	-338.99	-305.165	1040.91	-167.776	-307.898	1040.43	-262.005	-220.103	1056.46	-367.054	-203.188	1065.49	-70.634	-218.195	890.566	-31.9019	-80.9306	511.455	-79.9979	-76.5059	465.283	-79.8883	-26.8121	457.028	-131.61	-32.4115	71.4537	-127.697	-48.8139	35.0388	-177.548	156.038	63.7128	-155.915	112.982	33.6672	-95.0728	-285.136	885.082	-384.471	-339.07	502.582	-335.513	-358.429	452.393	-335.821	-329.777	407.609	-292.28	-571.707	116.287	-304.665	-621.511	98.7264	-258.616	-427.678	35.5416	-244.792	-467.944	23.7344	-313.822
0.1	-131.87	1004.93	-103.874	-147.016	992.607	-338.461	-295.597	1041.86	-166.954	-298.581	1040.75	-261.449	-211.075	1056.53	-366.793	-193.105	1066.75	-70.3881	-208.349	891.817	-31.1361	-73.3293	512.264	-79.3136	-68.865	465.957	-79.1974	-19.3701	457.781	-131.31	-29.3819	71.7086	-126.581	-46.8598	35.8567	-176.682	158.775	61.4459	-156.214	115.87	32.2055	-94.7042	-275.694	884.835	-383.312	-327.947	502.798	-335.633	-347.283	452.345	-335.066	-319.098	406.921	-292.222	-567.414	121.142	-304.033	-618.015	105.134	-259.428	-427.059	35.5649	-244.72	-468.655	23.374	-314.385
0.107	-122.1	1006.45	-104.022	-137.866	993.057	-337.867	-286.146	1042.84	-166.5	-289.436	1041.36	-261.126	-201.886	1056.82	-366.449	-183.208	1068.28	-70.3384	-197.703	893.603	-30.1186	-65.3013	513.338	-78.3843	-61.1553	466.867	-78.1082	-11.8436	458.404	-130.605	-26.3955	71.8773	-124.856	-44.977	36.7137	-175.182	161.337	59.5376	-157.14	118.836	30.0885	-95.1315	-266.204	884.726	-382.271	-315.603	502.674	-335.302	-335.238	452.45	-335.647	-307.805	406.139	-292.29	-562.774	126.077	-303.999	-613.515	112.296	-259.158	-426.246	35.7268	-244.616	-468.07	24.2648	-313.93
0.113	-112.636	1008.11	-103.48	-128.83	993.592	-337.605	-276.773	1043.91	-165.97	-280.108	1041.84	-260.354	-192.684	1057.27	-366.145	-173.481	1070.04	-70.2434	-188.036	895.392	-29.2655	-56.909	514.485	-77.3114	-53.0651	467.885	-76.8124	-4.32346	458.864	-129.671	-23.7855	71.9677	-123.824	-43.6628	37.8974	-173.493	163.478	56.8188	-158.744	121.452	28.1574	-96.1486	-256.8	884.647	-381.435	-302.227	502.145	-334.924	-322.499	452.365	-335.362	-295.453	405.411	-292.624	-557.778	131.82	-304.594	-608.613	120.51	-259.763	-425.488	35.974	-243.691	-467.317	25.3428	-313.609
0.12	-103.23	1009.82	-102.982	-119.708	994.32	-336.369	-267.536	1044.99	-165.589	-270.96	1042.39	-259.938	-183.519	1057.85	-365.591	-163.702	1071.94	-70.13	-178.49	897.294	-28.3893	-48.0031	515.681	-76.3819	-44.8965	468.838	-75.6298	3.37549	459.173	-128.874	-21.2309	72.0869	-122.598	-43.0378	38.6334	-172.244	164.97	53.5739	-161.292	123.899	27.7149	-97.0252	-246.971	884.541	-380.365	-288.349	501.79	-335.057	-308.778	452.204	-335.542	-282.38	404.457	-293.294	-552.14	137.698	-305.361	-602.342	128.048	-259.087	-424.203	36.3395	-242.758	-466.249	26.665	-313.195
0.127	-94.0704	1011.56	-102.503	-110.836	995.12	-335.513	-258.345	1045.94	-164.905	-262.088	1043.37	-259.682	-174.437	1058.55	-365.11	-153.841	1073.86	-69.6788	-169.13	899.232	-27.3686	-39.0277	516.854	-75.69	-36.9199	469.697	-74.6758	10.6056	459.463	-127.912	-19.7047	72.2577	-122.023	-42.4202	38.7282	-171.448	165.916	51.0389	-162.928	125.118	27.0246	-96.7581	-237.243	884.733	-379.409	-273.575	501.347	-335.119	-294.292	451.963	-336.065	-268.498	403.492	-294.156	-545.409	144.283	-305.719	-595.564	136.624	-259.634	-423.379	36.169	-242.213	-464.848	28.2985	-312.783
0.133	-84.8814	1013.25	-101.922	-101.91	995.946	-334.444	-249.34	1047.03	-164.282	-252.932	1043.84	-258.777	-165.264	1059.46	-364.252	-144.448	1075.7	-69.4035	-159.75	900.992	-26.3338	-30.2692	517.631	-75.2569	-28.5195	470.313	-74.172	17.5708	459.499	-127.408	-18.8251	72.4912	-121.878	-42.117	38.8945	-171.053	166.67	49.7612	-163.004	125.765	26.701	-96.2939	-227.503	884.864	-378.5	-258.555	500.907	-335.697	-279.342	451.839	-336.741	-253.962	402.425	-295.234	-537.848	150.606	-306.221	-587.552	145.599	-259.05	-421.99	36.3495	-242.254	-463.051	30.0826	-312.568
0.14	-76.1732	1014.73	-100.555	-93.1551	996.741	-333.398	-240.376	1048.1	-163.37	-244.21	1044.62	-258.33	-156.368	1060.48	-363.612	-135.243	1077.24	-69.0955	-151.481	902.536	-25.4503	-22.3727	518.288	-75.0754	-21.1772	470.881	-73.9981	24.0434	459.449	-127.341	-18.5239	72.8302	-121.941	-42.0007	39.1048	-170.88	167.11	48.9107	-162.125	125.936	26.2917	-95.6299	-217.473	884.757	-377.362	-242.664	500.001	-335.79	-263.521	451.407	-337.147	-238.818	401.375	-296.348	-529.075	156.77	-306.623	-578.348	154.274	-259.294	-420.86	36.3856	-241.991	-460.779	32.2675	-312.519
0.147	-67.2272	1016.12	-100.185	-84.6224	997.502	-332.333	-231.609	1049.23	-162.87	-235.556	1045.27	-257.789	-146.965	1061.19	-362.411	-126.671	1078.71	-68.7683	-142.758	904.088	-24.4636	-15.2115	518.84	-74.9349	-14.4792	471.351	-74.0214	29.8792	459.312	-128.062	-18.1093	73.2536	-121.765	-41.9892	39.2827	-170.588	167.275	47.7415	-161.828	125.87	25.9404	-94.9961	-207.955	884.515	-376.736	-226.538	498.984	-336.278	-247.356	451.013	-337.397	-223.116	400.353	-297.04	-519.119	163.139	-306.918	-568.222	162.957	-259.293	-419.441	36.6278	-241.696	-457.857	34.8149	-312.469
0.153	-58.4122	1017.34	-99.3246	-76.1254	998.189	-331.329	-222.946	1050.31	-162.05	-226.929	1045.87	-256.808	-138.451	1061.96	-361.838	-117.635	1079.94	-68.0592	-134.202	905.452	-23.5421	-8.69461	519.309	-75.2009	-8.31362	471.744	-74.1255	34.9113	458.954	-129.017	-17.5292	73.6011	-121.673	-41.9914	39.3818	-170.353	167.469	46.56	-162.318	125.985	25.8353	-94.9094	-198.12	884.243	-375.543	-209.939	498.205	-336.185	-230.703	450.594	-337.616	-207.136	399.572	-297.527	-508.281	169.105	-307.723	-557.07	171.925	-259.412	-417.675	37.0691	-240.867	-454.358	37.8904	-312.446
0.16	-49.7988	1018.41	-98.5566	-67.86	998.78	-330.395	-214.514	1051.27	-161.582	-218.699	1046.58	-256.452	-129.928	1062.61	-361.216	-108.964	1080.9	-67.4505	-125.751	906.59	-22.6068	-2.39601	519.586	-75.2716	-2.45484	472.012	-74.1617	40.0838	458.731	-130.066	-16.9935	73.8215	-121.933	-41.8196	39.5055	-170.471	167.832	45.4406	-163.476	126.331	25.936	-95.4386	-188.68	883.94	-374.559	-193.249	497.718	-335.916	-213.744	450.191	-337.639	-190.918	399.05	-297.478	-496.254	174.725	-307.901	-545.321	180.465	-259.558	-414.516	38.6226	-241.16	-449.52	41.8038	-312.743
0.167	-41.1518	1019.28	-97.8489	-59.6184	999.417	-329.562	-206.068	1052.07	-160.933	-210.265	1046.84	-255.62	-121.948	1063.01	-360.834	-100.815	1081.8	-67.0622	-117.191	907.523	-21.6473	3.5356	519.596	-75.6257	2.39346	472.084	-74.2762	44.4532	458.225	-130.741	-16.5185	74.1477	-122.489	-41.6598	39.6342	-170.734	168.113	44.4959	-164.815	126.703	26.1057	-96.027	-179.458	883.552	-373.695	-176.102	496.751	-335.282	-196.519	449.898	-337.411	-174.429	398.829	-296.776	-483.427	180.392	-307.404	-533.279	188.65	-259.682	-409.203	40.9367	-241.645	-442.645	47.0887	-313.444
0.173	-32.5784	1019.99	-97.0583	-51.5778	1000.03	-328.987	-197.712	1052.75	-160.272	-202.16	1047.32	-254.959	-114.04	1063.29	-360.29	-92.1909	1082.52	-66.2335	-108.942	908.33	-20.8512	8.76412	519.419	-75.8571	7.47104	471.937	-74.7285	49.2775	457.779	-131.332	-16.1076	74.4768	-123.043	-41.4836	39.7309	-171.022	168.502	43.6867	-165.58	126.944	26.1954	-96.2986	-170.285	883.092	-372.811	-159.419	496.824	-335.259	-179.179	449.902	-337.216	-157.944	398.887	-295.785	-471.116	187.094	-307.646	-520.588	196.082	-259.281	-400.506	44.3789	-242.522	-433.742	53.186	-314.513
