Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-139.816	948.29	-162.662	-146.345	950.302	-428.124	-308.227	974.874	-249.251	-314.523	972.789	-335.855	-222.434	1004.34	-461.349	-220.294	1001.96	-131.652	-196.278	826.523	-121.605	-49.4852	493.757	-154.814	-63.8016	442.849	-153.812	-0.78485	428.161	-188.149	-170.984	106.669	-163.755	-220.671	94.3183	-216.241	-29.818	51.03	-201.693	-72.0647	41.8599	-139.26	-238.85	843.601	-459.588	-252.592	459.951	-387.567	-265.711	404.26	-384.555	-208.803	391.692	-340.055	-324.496	64.7267	-352.637	-378.778	41.3015	-301.639	-172.035	35.3555	-307.696	-205.247	23.0734	-371.516
0.007	-132.043	947.828	-162.764	-138.305	950.193	-428.462	-300.756	974.312	-249.122	-307.277	972.171	-335.711	-216.747	1004.33	-462.015	-212.578	1001.43	-131.714	-189.182	826.062	-121.773	-39.6648	493.562	-155.602	-52.5394	441.969	-154.861	10.7923	429.231	-189.298	-146.861	101.991	-163.9	-195.215	87.7751	-216.41	-4.08118	51.2907	-203.134	-45.6473	40.6709	-140.413	-232.724	843.502	-459.587	-249.784	459.839	-387.272	-263.573	404.274	-384.3	-206.685	391.202	-339.705	-324.362	65.1341	-352.403	-378.623	41.7414	-301.375	-170.885	35.2409	-307.438	-205.224	23.0857	-371.404
0.013	-124.331	947.21	-163.016	-119.273	947.115	-431.268	-293.178	973.649	-248.821	-299.931	971.55	-335.534	-209.076	1003.49	-461.675	-204.97	1000.93	-131.829	-180.966	825.602	-121.851	-30.2767	493.154	-156.487	-41.3213	440.885	-155.709	21.9814	430.32	-190.357	-122.929	97.3665	-165.03	-170.809	81.8238	-217.053	21.5904	51.8106	-204.488	-19.3964	39.5442	-141.532	-225.856	842.818	-459.457	-247.117	459.758	-387.018	-261.176	404.233	-383.973	-204.35	390.746	-339.472	-324.236	65.3577	-352.099	-378.473	42.3257	-301.091	-170.48	34.8961	-307.389	-205.19	23.0972	-371.298
0.02	-116.544	946.577	-163.121	-111.92	946.411	-431.372	-285.673	972.98	-248.867	-292.493	970.836	-335.137	-202.194	1002.83	-461.783	-197.137	1000.35	-131.944	-173.087	824.836	-121.825	-21.2684	492.52	-157.337	-30.5997	439.714	-156.693	32.7936	431.105	-191.394	-98.6898	93.1528	-165.373	-146.284	76.1469	-217.323	47.1623	52.7148	-205.884	6.88884	38.9741	-142.848	-218.78	842.023	-459.352	-244.193	459.643	-386.65	-258.776	404.203	-383.606	-202.119	390.32	-339.158	-323.466	65.7187	-351.333	-378.202	42.7475	-300.832	-169.914	34.6841	-307.547	-205.765	23.2701	-371.183
0.027	-108.808	945.751	-163.403	-104.71	945.545	-431.573	-278.137	972.263	-248.801	-285.024	970.114	-334.893	-194.954	1001.91	-461.81	-189.299	999.596	-132.049	-165.557	824.094	-121.868	-12.6577	491.651	-158.085	-20.2137	438.476	-157.321	43.2009	431.709	-192.273	-74.5572	89.305	-166.289	-121.653	70.8979	-218.017	73.3401	55.1365	-207.224	33.1041	38.6874	-144.099	-212.634	841.632	-459.563	-241.303	459.537	-386.295	-256.387	404.253	-383.32	-199.822	389.942	-338.848	-323.332	66.1638	-351.018	-377.96	43.1624	-300.482	-170.102	34.7768	-307.508	-205.755	23.2898	-371.051
0.033	-101.04	944.812	-163.475	-97.4995	944.645	-431.62	-270.455	971.453	-248.477	-277.605	969.334	-334.932	-187.398	1000.94	-461.649	-181.616	998.945	-132.189	-157.882	823.19	-121.899	-4.27461	490.654	-158.721	-10.312	436.972	-158.352	53.2633	432.208	-193.076	-50.222	85.6852	-166.614	-97.1843	65.4934	-218.086	97.8569	55.7307	-208.826	59.2214	39.0058	-145.145	-205.452	840.702	-459.468	-238.409	459.487	-386.083	-253.918	404.328	-382.987	-197.443	389.63	-338.641	-323.158	66.7023	-350.623	-377.627	43.8908	-299.667	-169.875	34.7458	-307.47	-205.733	23.2804	-370.917
0.04	-93.1928	943.754	-163.653	-90.1912	943.611	-431.738	-262.857	970.677	-248.398	-270.114	968.647	-334.696	-180.457	1000.13	-461.845	-173.796	997.962	-132.317	-150.347	822.108	-121.81	3.7105	489.373	-159.62	-0.78993	435.377	-159.179	62.8473	432.529	-193.818	-26.1093	82.6596	-167.568	-72.3778	60.8837	-219.279	122.588	56.9263	-209.791	85.0851	39.8832	-146.187	-198.476	839.883	-459.385	-235.352	459.468	-385.702	-251.413	404.395	-382.592	-195.084	389.23	-338.359	-322.818	66.954	-350.126	-377.276	44.4895	-299.086	-169.662	34.6568	-307.378	-205.753	23.3165	-370.742
0.047	-85.3643	943.102	-163.47	-82.8166	942.583	-431.556	-255.102	969.729	-248.204	-262.641	967.899	-334.655	-172.75	998.87	-461.805	-165.82	997.018	-132.255	-143.254	821.151	-121.749	11.3509	487.846	-160.27	8.5315	433.604	-159.985	71.9284	432.684	-194.563	-2.23049	80.21	-169.065	-47.4993	56.5018	-220.468	148.399	61.746	-210.932	110.643	41.315	-147.081	-191.898	839.004	-459.627	-232.303	459.406	-385.266	-248.998	404.493	-382.242	-192.573	388.808	-338.033	-322.645	67.5914	-349.655	-377.601	45.6412	-298.197	-169.42	34.625	-307.315	-205.78	23.3274	-370.56
0.053	-77.6646	941.894	-163.693	-75.3456	941.554	-431.694	-247.364	968.799	-248.033	-255.016	966.979	-334.551	-165.442	998.023	-461.893	-158.133	995.872	-132.299	-136.043	820.007	-122.017	18.6615	486.181	-161.055	17.468	431.67	-160.811	80.7326	432.653	-195.334	21.5731	77.993	-170.115	-22.8855	53.1883	-221.657	172.869	64.8018	-212.075	135.716	43.2056	-147.992	-184.906	838.115	-459.755	-229.331	459.404	-384.972	-246.452	404.584	-381.774	-190.025	388.449	-337.787	-322.584	68.1363	-349.044	-377.213	46.3581	-297.385	-169.293	34.6247	-307.185	-205.803	23.3652	-370.319
0.06	-69.5497	940.435	-163.899	-67.8416	940.463	-431.538	-239.645	967.937	-247.823	-247.32	966.099	-334.043	-157.812	996.88	-461.897	-150.424	994.681	-132.383	-128.711	818.78	-122.078	25.8249	484.1	-161.745	25.9485	429.704	-161.702	89.086	432.562	-196.07	45.0057	76.5059	-171.462	1.55908	50.1035	-223.04	196.897	68.3087	-213.291	160.348	45.7887	-149.298	-177.692	837.247	-459.527	-226.381	459.412	-384.607	-243.813	404.729	-381.25	-187.51	388.128	-337.457	-322.325	68.9167	-348.408	-376.664	47.0309	-295.88	-169.059	34.5292	-307.21	-205.828	23.412	-370.049
