Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-255.29	860.983	-91.9447	-258.818	872.274	-301.342	-425.611	884.081	-159.658	-430.097	878.744	-234.154	-334.638	923.526	-333.284	-320.512	925.726	-61.4141	-317.564	801.357	-38.7997	-381.584	432.855	-100.254	-398.302	387.572	-103.476	-349.913	373.053	-150.092	-468.601	60.4239	-153.617	-498.777	51.2206	-199.741	-316.439	33.7769	-162.565	-364.185	24.3116	-106.688	-315.401	800.667	-358.493	-178.736	457.719	-328.279	-182.377	409.373	-332.487	-125.489	398.54	-306.825	-235.355	83.7359	-313.79	-259.031	70.867	-260.48	-92.6963	53.2463	-328.65	-139.3	47.1231	-370.899
0.007	-245.02	859.311	-91.2235	-246.188	870.847	-300.743	-414.034	881.822	-159.848	-416.313	875.179	-235.293	-321.642	921.766	-333.181	-310.012	923.491	-61.5815	-308.535	799.857	-39.0676	-376.974	432.824	-100.59	-394.302	387.701	-103.935	-345.983	372.336	-149.98	-468.205	61.3478	-154.138	-498.419	52.3755	-200.195	-316.215	33.6935	-162.469	-364.177	24.342	-106.672	-301.962	799.191	-358.821	-164.803	455.894	-328.182	-166.282	407.229	-332.436	-109.502	399.039	-306.021	-199.509	78.4055	-315.395	-223.57	64.6223	-262.378	-55.2151	56.4845	-328.178	-100.629	47.2973	-370.838
0.013	-234.379	857.483	-90.6117	-233.903	869.391	-300.213	-402.773	879.4	-161.32	-404.246	873.346	-237.357	-309.509	919.842	-333.029	-300.036	921.327	-61.7085	-299.672	798.443	-39.2784	-372.178	432.694	-101.032	-390.184	387.926	-104.454	-341.803	371.706	-150.079	-467.855	62.2685	-154.674	-497.925	53.5846	-200.871	-316.021	33.5593	-162.535	-364.234	24.3082	-106.76	-288.526	797.517	-359.141	-151.144	453.748	-328.243	-150.49	404.975	-332.389	-93.8948	399.106	-305.434	-163.898	74.2326	-317.238	-188.117	59.2807	-264.558	-18.3535	60.723	-327.461	-62.294	48.5646	-370.582
0.02	-224.093	855.689	-89.9925	-221.222	867.805	-299.668	-391.953	878.057	-163.6	-392.468	871.42	-239.571	-297.058	918.088	-333.839	-290.209	919.192	-61.9004	-290.872	797.006	-39.2525	-367.2	432.771	-101.519	-385.833	388.177	-104.994	-337.444	371.011	-150.103	-467.442	63.245	-155.342	-497.312	54.9509	-201.607	-315.83	33.4149	-162.561	-364.364	24.3011	-106.889	-274.997	795.64	-359.439	-137.784	451.35	-328.184	-135.063	402.681	-332.428	-78.8079	399.161	-304.852	-128.667	71.1444	-319.168	-153.013	55.0532	-267.038	17.7513	66.3649	-325.801	-24.5174	50.9912	-370.124
0.027	-213.915	853.839	-89.3099	-209.075	865.886	-299.117	-380.965	876.489	-165.848	-380.068	868.709	-240.667	-284.427	916.132	-334.307	-280.34	916.974	-62.1444	-281.692	795.698	-39.6441	-362.071	432.545	-102.166	-381.385	388.413	-105.607	-332.617	370.419	-150.051	-467.025	64.4955	-155.861	-496.745	56.4235	-202.293	-315.623	33.2845	-162.566	-364.47	24.3574	-106.845	-261.541	793.633	-359.641	-124.999	448.962	-327.932	-120.012	400.36	-332.255	-64.207	398.881	-304.493	-94.0839	69.1867	-321.047	-118.723	51.8775	-269.565	52.6133	72.825	-324.284	12.4759	54.5323	-369.486
0.033	-203.557	852.056	-88.8466	-196.953	863.946	-298.613	-369.613	874.079	-167.748	-368.249	866.525	-241.861	-271.596	914.128	-334.909	-270.704	914.915	-62.5788	-272.746	794.448	-40.0197	-356.591	432.647	-102.693	-376.496	388.619	-106.327	-327.631	369.643	-150.217	-466.497	65.7265	-156.474	-496.075	57.9603	-203.011	-315.447	33.1705	-162.559	-364.699	24.3699	-107.103	-248.037	791.616	-359.887	-112.383	446.466	-327.573	-105.471	398.19	-332.076	-49.8829	398.543	-304.253	-60.3881	68.4384	-323.049	-85.4017	49.771	-272.159	86.0951	80.5024	-322.626	48.1595	59.4871	-368.609
0.04	-193.334	850.226	-88.3089	-184.748	862.055	-298.135	-358.47	872.84	-169.944	-355.963	864.796	-244.232	-258.797	912.188	-335.492	-261.033	912.825	-62.9272	-263.99	793.281	-41.0209	-350.823	432.51	-103.654	-371.316	388.813	-107.051	-322.242	368.992	-150.392	-465.984	67.0692	-156.872	-495.4	59.7464	-203.63	-315.274	33.0686	-162.516	-364.826	24.345	-107.265	-234.529	789.599	-360.091	-100.064	443.982	-327.411	-91.2974	396.109	-332.043	-35.9157	398.262	-303.939	-28.0211	68.8762	-324.809	-53.1237	48.5536	-274.668	117.799	89.0134	-320.659	82.3148	65.5683	-367.552
0.047	-182.928	848.466	-87.9624	-169.435	860.243	-297.731	-347.413	871.887	-172.425	-344.334	863.489	-246.664	-245.848	910.226	-336.023	-251.408	910.841	-63.4979	-254.619	792.081	-41.5483	-344.675	432.484	-104.339	-365.815	389.027	-107.671	-316.5	368.203	-150.509	-465.376	68.5243	-157.34	-494.63	61.6358	-204.219	-315.129	32.9784	-162.466	-364.93	24.3547	-107.401	-220.919	787.492	-360.526	-87.732	441.455	-327.552	-77.3652	394.068	-331.784	-22.0193	398.014	-303.575	2.82837	70.2132	-326.188	-22.3273	48.2496	-276.615	147.518	98.2023	-318.557	114.476	73.023	-366.409
0.053	-172.419	846.785	-87.7112	-156.443	858.539	-297.351	-336.249	869.928	-173.4	-331.382	861.271	-247.829	-232.727	908.397	-336.616	-241.739	908.894	-63.9512	-245.146	790.909	-41.8661	-338.055	432.14	-105.119	-359.762	389.114	-108.382	-310.404	367.334	-150.613	-464.724	70.1257	-157.545	-493.889	63.6777	-204.552	-315.03	32.9676	-162.344	-365.017	24.3345	-107.547	-207.443	785.762	-360.802	-75.4802	438.804	-327.675	-63.4376	392.14	-331.798	-8.0204	397.975	-303.214	31.8337	72.2014	-326.974	6.92454	48.6131	-277.978	175.057	107.458	-316.264	144.163	80.5424	-364.868
0.06	-161.511	845.245	-87.7781	-143.567	856.961	-297.081	-323.998	868.519	-175.842	-318.593	859.062	-249.573	-219.562	906.72	-337.181	-232.013	906.906	-64.6197	-235.424	789.834	-42.5517	-330.866	432.01	-105.339	-353.411	389.213	-108.903	-303.911	366.333	-150.767	-463.967	71.8793	-157.664	-492.972	65.8784	-204.747	-314.899	32.9023	-162.231	-365.049	24.3285	-107.628	-193.933	784.149	-361.261	-62.9624	436.311	-328.109	-49.4636	390.384	-331.892	6.17488	398.075	-303.201	58.6664	74.4931	-327.218	34.3009	49.4534	-278.462	200.278	116.267	-314.192	171.66	87.3621	-362.996
0.067	-150.812	843.48	-87.2219	-130.545	855.493	-296.792	-312.308	867.044	-177.841	-307.015	857.64	-251.626	-206.393	905.226	-337.795	-222.201	904.928	-65.4644	-225.438	788.716	-42.9495	-323.242	431.72	-105.922	-346.374	389.345	-109.796	-297.139	365.307	-150.643	-463.207	73.8795	-157.449	-492.091	68.4327	-204.716	-314.797	32.8553	-162.098	-365.063	24.3304	-107.659	-180.345	782.847	-361.772	-50.0903	434.159	-328.883	-35.1843	388.932	-332.216	19.7229	397.959	-302.282	83.4227	76.7948	-326.818	59.5465	50.6548	-278.251	223.431	123.925	-312.188	196.661	93.5415	-361.303
0.073	-139.707	841.865	-86.9519	-117.614	854.187	-296.478	-300.365	865.461	-179.614	-294.548	856.417	-253.934	-193.108	903.881	-338.389	-212.055	902.87	-66.1126	-215.109	787.544	-43.3306	-315.225	431.403	-106.543	-339.019	389.257	-110.149	-289.927	364.19	-150.54	-462.167	75.9576	-157.095	-491.167	71.3078	-204.518	-314.704	32.8093	-161.926	-365.002	24.2373	-107.682	-166.69	781.817	-362.345	-36.6938	432.546	-330.059	-20.6226	387.797	-332.543	33.4965	398.09	-301.734	106.003	78.6723	-325.808	82.4562	51.8458	-277.423	244.826	130.126	-310.227	219.237	98.2574	-359.029
