Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
0	-0.102504	-0.0154221	-0.754822	0.0389063	-0.0150017	-0.660075	0.0101431	-0.00591276	-0.406533	0.048933	-0.00200667	-0.34506	0.0154021	0.00663345	0.0193434	0.000210333	-0.00424033	-0.00288867	-0.0462824	0.590838	-0.0747452	0.0193623	0.59115	-0.0651623
1	-0.0784559	-0.00221517	-0.79639	0.0549823	-0.00913533	-0.630573	0.0200559	0.00716517	-0.4355	0.055709	0.000299667	-0.315941	0.0158866	0.0255293	0.0334569	-0.008396	-0.0110383	-0.0235957	-0.0608066	1.59626	-0.159131	0.0181643	1.54474	-0.129085
2	-0.0290097	0.0196372	-0.819651	0.0869123	-0.000272	-0.559049	0.0392624	0.0288914	-0.462736	0.0689777	0.005123	-0.259743	0.0103507	0.0557134	0.0559872	-0.020801	-0.019801	-0.0502383	-0.0658352	2.97558	-0.239082	-0.0151183	2.83578	-0.182433
3	0.0576003	0.0374724	-0.811248	0.135275	0.00651333	-0.458433	0.0737552	0.0476921	-0.459859	0.0919033	0.008825	-0.181816	0.00168621	0.0848397	0.0855869	-0.032306	-0.031516	-0.0789483	-0.115133	4.34798	-0.248565	-0.13439	4.11727	-0.17731
4	0.15031	0.043939	-0.815436	0.171955	0.00767467	-0.429933	0.119434	0.0572852	-0.425147	0.124717	0.00743033	-0.129058	-0.00507552	0.102854	0.11821	-0.0368107	-0.0451003	-0.103361	-0.281995	5.45156	-0.164754	-0.345257	5.17906	-0.0834843
5	0.206958	0.0425734	-0.881778	0.188301	0.003469	-0.499162	0.160899	0.0607372	-0.384915	0.167595	0.000713333	-0.114441	-0.0080331	0.111769	0.157847	-0.0331883	-0.0556857	-0.114718	-0.523836	6.27988	-0.0253952	-0.561455	6.00288	0.0895867
6	0.243597	0.0369962	-0.942842	0.20912	-0.00698467	-0.561302	0.192202	0.0619403	-0.327769	0.216758	-0.00818167	-0.083761	-0.00876621	0.115825	0.20408	-0.0253617	-0.0609367	-0.113119	-0.757977	6.89903	0.118358	-0.723817	6.61494	0.298655
7	0.293512	0.0303924	-0.956432	0.258096	-0.0146373	-0.557222	0.224587	0.0669569	-0.239466	0.267952	-0.016287	-0.00532433	-0.0125093	0.120484	0.249073	-0.0178643	-0.0626183	-0.104455	-0.953336	7.39874	0.244338	-0.840218	7.05621	0.497105
8	0.350801	0.021779	-0.971948	0.322431	-0.049955	-0.716346	0.264393	0.0759569	-0.141972	0.319757	-0.0205217	0.094942	-0.0193262	0.128397	0.290456	-0.0139313	-0.0613757	-0.092418	-1.10301	7.87462	0.365314	-0.919474	7.41224	0.652606
9	0.39442	0.0122617	-1.01539	0.444219	-0.075346	-0.699251	0.304781	0.0857817	-0.0642314	0.371007	-0.0205653	0.188138	-0.0265241	0.140279	0.332116	-0.0135567	-0.0572733	-0.0778773	-1.19872	8.38112	0.487221	-0.966227	7.77232	0.758222
