Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	-104.162	811.562	-82.0015	-94.8808	812.815	-328.672	-247.25	845.389	-163.908	-249.93	847.439	-241.966	-146.372	859.593	-350.543	-155.805	861.768	-62.8066	-159.352	730.2	-37.2435	-53.3994	414.375	-72.4995	-52.3627	366.624	-68.1941	1.2459	349.853	-113.068	-110.011	77.7201	-105.527	-139.499	63.0092	-156.412	31.7831	50.9821	-118.209	-18.767	32.806	-64.2405	-153.338	740.183	-378.84	-191.457	390.446	-320.713	-206.081	344.723	-320.09	-158.925	328.825	-278.853	-260.824	56.8611	-264.142	-301.634	38.3684	-220.871	-123.999	33.9877	-219.659	-168.406	22.9644	-289.828
0.007	-99.2202	811.379	-82.1251	-90.4028	812.325	-328.881	-241.826	844.633	-163.69	-243.325	846.328	-242.022	-141.964	859.026	-350.577	-150.885	861.524	-62.8181	-153.929	729.713	-36.6745	-46.7802	414.254	-72.5548	-44.57	366.405	-68.272	9.39019	350.745	-113.307	-93.1448	75.6221	-105.114	-122.286	60.093	-155.865	49.4986	52.667	-117.581	-0.59145	33.2483	-63.961	-149.207	739.604	-378.84	-189.38	390.15	-320.613	-204.304	344.513	-319.992	-157.53	328.204	-278.611	-260.717	57.1228	-264.457	-301.59	38.5053	-220.748	-123.874	33.7134	-219.582	-168.437	22.9636	-289.849
0.013	-93.9742	811.122	-82.3076	-85.8596	811.713	-329.089	-237.483	844.435	-163.358	-240.427	846.386	-241.297	-137.541	858.439	-350.586	-145.769	861.21	-62.8047	-148.89	729.868	-36.3531	-40.3088	413.922	-72.549	-36.6945	366.07	-68.3544	17.537	351.548	-113.115	-76.447	73.7747	-104.7	-105.265	57.4366	-155.357	67.093	54.3698	-117.38	17.3801	33.9236	-63.6129	-145.07	738.961	-378.762	-187.239	389.92	-320.466	-202.498	344.338	-319.903	-155.887	327.703	-278.417	-260.601	57.2505	-264.34	-301.547	38.6344	-220.606	-123.727	33.6959	-219.611	-168.564	22.8833	-289.784
0.02	-88.8611	810.807	-82.4782	-81.4351	811.054	-329.233	-232.057	843.617	-163.078	-233.801	845.246	-241.363	-133.238	857.855	-350.584	-140.546	860.822	-62.8037	-143.815	729.521	-36.3733	-34.0672	413.755	-72.4509	-29.1695	365.774	-68.3286	25.354	352.413	-113.323	-59.8476	72.2099	-104.25	-88.2858	55.0319	-154.809	84.2345	56.4541	-117.43	35.2903	34.842	-63.4437	-140.943	738.315	-378.628	-185.147	389.624	-320.302	-200.718	344.105	-319.728	-154.068	327.296	-278.31	-260.49	57.3571	-264.249	-301.506	38.8009	-220.476	-123.751	33.7349	-219.632	-168.564	22.8839	-289.783
0.027	-83.6005	810.411	-82.6402	-77.0171	810.379	-329.351	-227.583	843.422	-162.641	-230.76	845.294	-240.59	-128.808	857.221	-350.572	-135.305	860.37	-62.7957	-138.633	729.035	-36.2777	-27.9537	413.252	-72.2966	-21.6442	365.31	-68.3072	33.0631	353.196	-113.426	-43.5106	70.8841	-103.801	-71.3551	52.6536	-154.796	101.181	58.8317	-117.437	52.8371	36.0473	-63.4447	-136.9	737.619	-378.541	-183.054	389.297	-320.101	-198.879	343.916	-319.57	-152.352	326.737	-278.217	-260.367	57.3158	-263.709	-301.445	38.9485	-220.339	-123.687	33.723	-219.641	-168.588	22.8713	-289.778
0.033	-78.3471	809.991	-82.8245	-72.4804	809.621	-329.499	-222.564	842.895	-162.3	-225.923	844.64	-240.223	-124.313	856.574	-350.544	-130.212	859.927	-62.7214	-133.517	728.645	-36.2617	-21.608	412.877	-72.4922	-14.3318	364.819	-68.2133	40.3313	354.05	-113.807	-27.308	69.7624	-103.353	-55.0361	50.8992	-153.682	117.917	61.6803	-117.293	70.32	37.4004	-63.3618	-132.807	736.88	-378.481	-180.938	389.007	-319.94	-197.072	343.676	-319.432	-150.721	326.212	-278.064	-260.255	57.4547	-263.584	-301.395	39.1505	-220.171	-123.633	33.7162	-219.669	-168.564	22.8755	-289.835
0.04	-73.1212	809.594	-82.9485	-68.0508	808.803	-329.661	-217.505	842.314	-161.949	-220.983	844.104	-239.844	-119.909	855.883	-350.495	-124.841	859.393	-62.6602	-128.299	728.267	-36.1168	-15.6604	412.305	-72.3346	-7.18757	364.408	-68.0498	47.972	354.76	-113.639	-11.2927	68.8272	-102.899	-38.7118	49.2344	-153.107	134.209	64.4532	-117.652	87.4119	38.9218	-63.5208	-128.624	736.158	-378.399	-178.826	388.69	-319.782	-195.343	343.48	-319.291	-148.88	325.765	-278.07	-260.148	57.6196	-263.448	-301.33	39.377	-219.996	-123.579	33.7091	-219.682	-168.671	22.8788	-289.759
0.047	-67.6813	809.081	-83.0647	-63.459	808.016	-329.838	-212.385	841.808	-161.5	-216.129	843.431	-239.434	-115.38	855.135	-350.456	-119.194	859.031	-62.1155	-123.171	727.79	-36.0732	-9.80447	411.601	-72.1393	0.0768	364	-67.5559	55.1339	355.365	-113.735	4.46699	68.1847	-102.512	-22.6707	47.8652	-152.449	150.128	67.4479	-118.201	104.325	40.7457	-63.7013	-124.514	735.395	-378.239	-176.616	388.411	-319.61	-193.512	343.265	-319.126	-147.121	325.181	-277.965	-260.031	57.7713	-263.3	-301.28	39.5926	-219.814	-123.535	33.7122	-219.712	-168.707	22.8845	-289.748
0.053	-62.3303	808.543	-83.1618	-58.9145	807.213	-329.924	-207.213	841.204	-161.151	-211.184	842.79	-239.041	-110.953	854.414	-350.412	-113.808	858.425	-61.9904	-117.887	727.148	-36.1058	-4.08764	411.01	-71.8579	6.61004	363.401	-67.7154	62.2447	356.001	-113.834	19.9706	67.6064	-102.094	-6.92822	46.6814	-151.887	165.692	70.5661	-118.728	120.899	42.651	-64.0519	-120.434	734.599	-378.118	-174.427	388.051	-319.457	-191.727	343.086	-318.95	-145.34	324.614	-277.887	-259.921	57.9327	-263.139	-301.22	39.8367	-219.649	-123.471	33.7027	-219.722	-168.715	22.8708	-289.736
0.06	-56.9361	807.959	-83.2893	-54.4294	806.333	-330.053	-202.072	840.604	-160.7	-206.205	842.159	-238.603	-106.352	853.624	-350.319	-108.353	857.824	-61.94	-112.661	726.517	-36.2391	1.55122	410.344	-71.6665	13.4997	363.024	-67.2678	69.0941	356.458	-113.974	35.1405	67.3752	-101.706	8.51006	45.6897	-151.329	180.833	73.8258	-119.411	137.099	44.8267	-64.4122	-116.321	733.795	-377.966	-172.229	387.676	-319.22	-189.853	342.819	-318.751	-143.531	324.098	-277.878	-259.823	58.0702	-263.009	-301.162	40.0822	-219.453	-123.43	33.6946	-219.74	-168.756	22.8585	-289.713
