Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	2.36613	-0.633607	13.1067	-1.46234	-0.595179	11.7364	1.65388	-5.64126	33.0873	-1.76223	-8.61885	33.5884	2.87168	-20.9735	4.03319	2.79232	-9.6824	4.68412	4.35707	20.8817	0.518821	3.08661	15.7918	-0.924378	6.23537	5.16296	18.6162	5.88793	3.90981	17.8809
1	2.44771	-0.492162	13.061	-1.28064	-0.412626	11.6097	1.99252	-5.2998	33.0476	-1.36927	-8.6225	33.6329	2.6568	-21.4935	5.55942	2.19278	-9.12588	6.52938	3.15581	20.2894	0.932927	1.63109	15.0916	-0.336488	5.1855	5.71567	16.8828	4.36632	3.74446	16.1729
2	2.5536	-0.385907	13.036	-1.09365	-0.228961	11.4871	2.37796	-4.87441	33.0054	-0.942713	-8.53226	33.5909	2.3754	-21.6448	7.08745	1.59418	-8.37588	8.37791	1.54118	19.5379	0.648031	0.46486	13.7971	-0.259611	3.98381	5.94253	14.3	3.28257	3.84077	14.0063
3	2.68878	-0.316433	13.0359	-0.908742	-0.0576525	11.4097	2.75619	-4.379	32.9731	-0.529177	-8.34329	33.5137	2.07616	-21.4713	8.33582	1.09425	-7.66465	9.90223	0.290372	18.6097	-0.460253	-0.165312	12.2305	-0.930094	3.3143	5.94045	11.4113	2.90125	4.12245	11.5669
4	2.84865	-0.266468	13.0341	-0.730726	0.0866258	11.3825	3.05345	-3.90577	32.9605	-0.176773	-8.10465	33.4437	1.8525	-20.9645	9.36491	0.740499	-7.07898	11.0296	-0.15038	17.5425	-1.94187	-0.408806	10.814	-2.07454	3.40729	5.77411	8.7779	2.96773	4.34539	9.15836
5	3.02038	-0.210383	12.9985	-0.565888	0.196187	11.3695	3.22901	-3.57849	32.9746	0.0890658	-7.89737	33.3879	1.79173	-20.0965	10.4644	0.532543	-6.53937	12.0269	-0.168529	16.4695	-3.21449	-0.629616	9.81189	-3.13908	3.77896	5.41388	6.49528	3.0182	4.28222	6.98405
6	3.19157	-0.133853	12.9154	-0.41533	0.267766	11.3292	3.30755	-3.46367	32.9995	0.297733	-7.76219	33.3192	1.88826	-18.9282	11.8188	0.416565	-5.96337	13.1812	-0.393528	15.4863	-3.92567	-1.14316	9.18214	-3.71949	3.80195	4.88852	4.46264	2.69274	3.94213	5.08962
7	3.34957	-0.0380858	12.7931	-0.275688	0.30205	11.241	3.34913	-3.50528	32.977	0.506976	-7.66743	33.1796	2.06264	-17.7157	13.3708	0.322049	-5.43854	14.5121	-0.978411	14.6293	-3.92828	-1.9345	8.732	-3.68359	3.31591	4.37591	2.78685	1.98814	3.57244	3.55799
8	3.49079	0.0689562	12.6496	-0.143762	0.311235	11.1038	3.41169	-3.57874	32.8255	0.743845	-7.56084	32.8899	2.22644	-16.8329	14.8964	0.226028	-5.15466	15.8114	-1.61513	13.9645	-3.32133	-2.74214	8.33905	-3.16106	2.63763	4.07358	1.61824	1.18783	3.42302	2.44585
9	3.62155	0.187244	12.4965	-0.0210888	0.322477	10.925	3.52176	-3.57338	32.4805	0.990165	-7.41957	32.3863	2.33995	-16.4948	16.1848	0.150685	-5.20455	16.8574	-2.03767	13.5663	-2.3456	-3.34377	8.06355	-2.39532	2.06168	4.00206	0.928515	0.553657	3.48256	1.69642
10	3.74847	0.33342	12.3353	0.0844842	0.370507	10.7184	3.66942	-3.44246	31.9168	1.2104	-7.25738	31.6549	2.42407	-16.6377	17.1437	0.116406	-5.53175	17.5548	-2.24431	13.4492	-1.20256	-3.72909	8.03712	-1.55109	1.62559	4.00866	0.570402	0.117542	3.55205	1.20845
11	3.87837	0.531627	12.164	0.16584	0.484738	10.5073	3.83431	-3.23159	31.1456	1.38058	-7.11454	30.745	2.50404	-17.0609	17.7678	0.116648	-5.96295	17.9435	-2.33118	13.5395	-0.0340192	-3.97384	8.20675	-0.690108	1.27658	3.97735	0.393568	-0.19269	3.5251	0.893885
12	4.02203	0.795379	11.9813	0.228541	0.677602	10.3223	4.0082	-3.06439	30.2039	1.5052	-7.05666	29.7521	2.56974	-17.5502	18.0958	0.11757	-6.23376	18.1411	-2.35922	13.7063	1.06722	-4.12617	8.30717	0.172298	0.990189	3.91929	0.296054	-0.426791	3.44202	0.68725
13	4.18948	1.11712	11.7901	0.293172	0.942638	10.1874	4.19363	-3.07721	29.1475	1.60933	-7.16864	28.7705	2.59375	-17.9248	18.195	0.0782538	-6.08994	18.2595	-2.34955	13.8533	2.0609	-4.2078	8.09361	1.02732	0.767598	3.87777	0.227548	-0.600451	3.36011	0.547669
14	4.38112	1.47086	11.5993	0.383373	1.25987	10.1143	4.39285	-3.33782	28.0412	1.71541	-7.48707	27.8497	2.56458	-18.0971	18.1387	-0.00966708	-5.47941	18.3433	-2.32121	13.9722	2.94234	-4.23743	7.53236	1.85636	0.601686	3.8601	0.16638	-0.713689	3.29993	0.451165
15	4.5825	1.82392	11.4216	0.513144	1.60025	10.1024	4.59788	-3.80613	26.9398	1.83441	-7.94952	26.9872	2.49763	-18.1071	17.986	-0.107947	-4.63421	18.3679	-2.28692	14.117	3.72363	-4.23346	6.81951	2.63744	0.478989	3.85105	0.103357	-0.765142	3.26266	0.382187
16	4.76577	2.14779	11.2701	0.677612	1.93337	10.1397	4.78628	-4.3658	25.8756	1.9633	-8.42839	26.1475	2.42625	-18.0542	17.78	-0.155557	-3.92176	18.2872	-2.24587	14.3301	4.42837	-4.21094	6.24271	3.35938	0.38894	3.83652	0.0368329	-0.763658	3.24415	0.329807
17	4.90033	2.42237	11.1521	0.853041	2.23704	10.2083	4.93025	-4.87949	24.8563	2.08684	-8.80108	25.294	2.38677	-18.0054	17.5492	-0.105863	-3.61821	18.0736	-2.19741	14.5844	5.08478	-4.18125	6.00064	4.02104	0.321275	3.81215	-0.0313646	-0.728802	3.24049	0.28564
18	4.96338	2.63634	11.0672	1.00343	2.50213	10.2925	5.00997	-5.24425	23.873	2.1819	-8.99045	24.4088	2.40137	-17.9604	17.3065	0.0518204	-3.79495	17.7312	-2.14654	14.7954	5.7115	-4.15043	6.11517	4.62541	0.268943	3.78184	-0.100223	-0.680645	3.24918	0.244286
19	4.94339	2.78653	11.0104	1.09023	2.73123	10.3801	5.0186	-5.43361	22.914	2.2221	-8.97994	23.4917	2.46675	-17.865	17.0523	0.294143	-4.32918	17.2903	-2.10333	14.8817	6.31134	-4.12239	6.4577	5.18006	0.227972	3.75117	-0.170452	-0.633404	3.26586	0.20421
