Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	8.00097	984.479	-158.097	23.2119	986.934	-358.314	-165.594	1016.51	-237.37	-159.774	1011.66	-323.774	-63.0062	1058.06	-419.447	-67.4741	1046.31	-111.928	-96.0165	883.916	-92.9837	-59.3059	491.432	-127.58	-70.5523	435.664	-127.402	-13.8158	420.334	-165.948	-153.166	73.1686	-191.129	-190.399	57.0734	-234.684	6.71563	40.7458	-228.071	-33.304	27.4925	-159.216	-60.9447	872.903	-447.273	74.8877	516.876	-413.82	55.3171	461.709	-418.048	107.899	427.116	-376.517	-153.74	164.91	-350.666	-193.77	158.817	-305.426	-29.0171	59.4272	-331.474	-75.4447	68.2821	-389.116
0.007	16.7317	984.23	-157.273	32.3548	986.925	-357.431	-156.36	1016.49	-237.516	-150.101	1011.68	-323.912	-53.2721	1058.3	-419.299	-58.6365	1046.34	-111.636	-88.2622	884.227	-92.921	-56.611	491.127	-127.198	-68.6889	435.609	-127.218	-11.6776	419.535	-165.885	-153.031	73.456	-191.281	-190.265	57.3967	-234.958	6.72027	40.8443	-227.842	-33.3239	27.4275	-159.155	-49.6396	873.559	-446.833	89.3341	518.454	-413.292	71.2311	462.327	-417.227	124.576	429.538	-375.727	-126.887	157.51	-349.442	-166.957	149.719	-304.972	1.98202	57.0938	-331.191	-44.7853	64.5152	-388.781
0.013	25.5301	983.761	-156.491	42.0383	986.873	-356.635	-147.186	1016.33	-237.767	-140.468	1011.62	-324.065	-43.2573	1058.25	-419.028	-49.9193	1046.1	-111.259	-80.4275	884.401	-92.8139	-54.4279	491.073	-127.039	-66.6991	435.648	-127.025	-9.78196	419.039	-165.48	-152.885	73.7064	-191.462	-190.093	57.6446	-235.228	7.06688	40.6909	-227.716	-33.3388	27.3601	-159.106	-39.0705	873.988	-446.864	103.727	519.657	-412.415	86.81	462.683	-416.35	140.976	431.692	-374.669	-99.8078	149.994	-348.808	-139.837	140.979	-304.359	33.1145	55.1402	-331.247	-13.9027	60.8986	-388.541
0.02	34.3997	983.148	-155.809	51.8934	986.631	-355.919	-138.015	1016.11	-238.005	-130.855	1011.42	-324.105	-33.3049	1058.07	-418.783	-40.9135	1045.68	-110.837	-72.5493	884.424	-92.58	-51.9345	490.913	-126.689	-64.7123	435.545	-127.01	-7.90072	418.531	-165.164	-152.724	73.9161	-191.646	-190.004	58.0085	-235.594	7.20189	40.6624	-227.583	-33.3536	27.2811	-159.064	-28.5622	874.43	-446.646	117.578	520.724	-411.914	101.982	462.797	-415.423	157.063	433.901	-374.018	-72.3436	142.665	-348.306	-111.774	131.818	-303.436	64.6203	53.3867	-331.356	17.1312	57.5296	-388.444
0.027	43.4329	982.503	-155.077	61.7465	986.212	-355.163	-128.876	1015.7	-238.23	-121.297	1011.03	-324.175	-23.2607	1057.61	-418.389	-31.87	1044.98	-110.455	-64.752	884.382	-92.3723	-48.9731	490.454	-126.712	-62.6186	435.427	-126.833	-5.887	417.904	-164.811	-152.576	74.0714	-191.9	-189.83	58.3535	-236.238	7.34144	40.6085	-227.451	-33.3903	27.2115	-159.014	-19.1776	874.383	-446.241	131.191	521.41	-411.006	116.935	462.474	-414.257	173.195	435.365	-372.815	-44.1746	135.348	-347.727	-83.4256	122.819	-302.532	96.3104	52.1621	-331.74	48.4637	54.4443	-388.452
0.033	51.9249	981.788	-154.491	71.5483	985.612	-354.424	-119.67	1015.13	-238.423	-111.741	1010.29	-324.365	-13.3033	1056.99	-418.141	-23.3523	1044.33	-110.249	-56.7759	884.133	-92.1145	-46.3347	490.369	-126.441	-60.4483	435.241	-126.856	-3.74435	417.317	-164.369	-152.427	74.3053	-192.337	-189.593	58.6416	-236.838	7.43757	40.2953	-227.513	-33.1832	27.1533	-158.83	-7.45081	874.456	-446.339	144.504	521.811	-410.009	131.441	462.102	-413.406	188.108	437.232	-371.666	-15.8186	128.071	-346.901	-54.1285	113.575	-301.937	128.064	50.9851	-331.988	79.7582	51.5113	-388.747
0.04	60.7981	980.794	-153.937	81.4767	984.798	-353.685	-110.502	1014.38	-238.655	-102.181	1009.41	-324.571	-3.36381	1056.21	-417.899	-14.46	1043.34	-109.899	-48.7561	883.816	-91.8148	-43.555	490.055	-126.337	-58.3256	435.136	-126.895	-2.02337	416.965	-163.822	-152.263	74.547	-193.28	-189.333	59.1023	-237.534	7.62253	40.3894	-227.606	-33.4683	27.01	-159.04	3.49873	874.18	-445.892	157.292	521.909	-409.359	145.708	461.592	-412.633	203.025	438.505	-370.418	12.7959	120.89	-346.19	-25.0339	104.987	-301.443	159.947	50.2271	-332.232	111.564	48.9924	-388.35
0.047	69.477	979.621	-153.39	91.3264	983.808	-353.014	-101.252	1013.46	-238.837	-92.6443	1008.47	-324.673	6.5293	1055.08	-417.608	-5.79806	1042.36	-109.577	-40.7181	883.279	-91.6548	-40.4953	489.681	-126.171	-56.0082	434.941	-126.763	0.75412	415.909	-163.834	-152.093	74.8496	-193.501	-188.986	59.3964	-238.382	7.8809	40.1544	-227.148	-33.5532	26.9596	-158.984	13.5871	873.587	-445.672	169.713	521.844	-408.462	159.773	460.525	-411.608	218.036	439.43	-369.175	41.3929	114.299	-346.4	4.65666	96.5621	-301.212	191.784	49.9653	-332.414	143.253	46.8145	-388.601
0.053	78.4132	978.375	-152.828	101.135	982.664	-352.375	-92.0607	1012.47	-239.158	-83.5164	1007.53	-324.719	16.6273	1053.81	-417.407	2.09967	1041.16	-109.331	-33.0921	882.829	-90.9802	-37.239	489.205	-126.042	-53.5272	434.675	-126.89	2.83329	415.428	-163.272	-151.888	75.2405	-194.249	-188.552	59.7766	-239.294	8.10549	39.9351	-227.234	-33.7819	26.9927	-159.087	23.7156	872.701	-445.33	181.717	521.42	-407.904	173.498	459.417	-410.881	231.896	440.522	-368.036	70.1464	108.084	-346.267	34.524	88.5205	-301.084	223.707	50.3113	-332.436	175.152	44.9492	-388.406
0.06	87.3155	976.97	-152.334	110.958	981.404	-351.759	-82.7845	1011.34	-239.318	-74.014	1006.22	-324.954	26.5769	1052.33	-417.079	11.1494	1039.89	-109.097	-24.7943	882.154	-90.8279	-34.0427	488.834	-125.838	-51.0021	434.412	-127.035	5.51041	414.325	-163.516	-151.629	75.4148	-195.397	-188.099	60.0674	-240.405	8.50362	39.9281	-226.833	-33.7644	26.9308	-159.119	33.1345	871.688	-444.995	193.414	520.433	-406.968	186.9	458.053	-410.164	245.961	441.012	-366.863	99.4193	101.946	-346.329	64.7593	81.0358	-300.736	255.437	50.6341	-332.742	207.009	43.7358	-388.573
0.067	96.4033	975.49	-151.855	120.844	979.852	-351.23	-73.4486	1010.11	-239.721	-64.3844	1004.84	-325.253	36.5945	1050.82	-417.055	19.8962	1038.55	-108.859	-16.5102	881.431	-90.6393	-30.405	488.261	-125.84	-48.1889	434.134	-127.146	7.92994	413.694	-162.86	-151.499	75.8394	-196.236	-187.657	60.3745	-241.521	8.89212	39.8086	-226.653	-33.8698	26.877	-159.342	42.6831	870.242	-444.406	204.738	519.163	-406.084	200.193	456.33	-409.435	259.32	441.324	-365.469	128.998	96.2401	-345.989	95.2207	74.0175	-300.779	287.085	51.8863	-332.567	239.129	42.9954	-388.489
0.073	105.481	973.93	-151.418	130.744	978.26	-350.706	-64.09	1008.73	-240.088	-54.6238	1003.37	-325.394	46.6622	1049.08	-416.904	28.5639	1037.18	-108.657	-8.06785	880.443	-90.3413	-26.72	487.722	-125.964	-45.2294	433.709	-127.4	10.8134	412.837	-162.677	-151.17	76.2291	-197.659	-187.289	61.0796	-243.23	9.27137	39.6715	-226.535	-34.0952	26.8055	-159.684	54.6374	869.02	-444.604	215.718	517.959	-405.428	212.99	454.581	-408.904	272.412	441.706	-364.777	158.556	91.1212	-346.248	126.109	67.2499	-301.169	318.689	54.0112	-332.233	271.171	42.6707	-387.988
0.08	114.512	972.218	-151.079	140.765	976.431	-350.281	-54.5494	1007.14	-240.372	-44.7602	1001.86	-325.607	56.6531	1047.28	-416.777	37.515	1035.72	-108.533	0.35648	879.449	-90.0975	-22.7673	487.154	-126.091	-42.0993	433.344	-127.673	13.9687	411.629	-162.844	-150.987	76.8829	-198.123	-186.819	61.5605	-244.295	9.55974	39.5633	-226.487	-34.2614	26.8203	-159.906	64.7658	867.312	-444.287	226.338	515.913	-404.624	225.567	452.545	-408.38	285.254	441.673	-364.192	188.179	86.8357	-346.526	156.777	61.5112	-301.423	349.892	56.5359	-331.981	302.97	43.1453	-387.891
0.087	123.656	970.41	-150.736	150.754	974.56	-349.924	-45.0058	1005.57	-240.604	-34.8957	1000.12	-325.725	66.6761	1045.37	-416.888	45.9709	1033.89	-108.543	9.08005	878.343	-89.9814	-18.6364	486.565	-126.426	-38.4475	432.86	-127.938	17.3374	410.626	-162.99	-150.631	77.3083	-198.94	-186.45	62.2827	-245.325	9.80484	39.56	-226.306	-34.4227	26.8825	-160.096	74.8163	865.434	-444.132	236.688	513.812	-404.099	237.899	450.359	-407.887	297.709	441.136	-363.235	217.746	83.2154	-346.742	187.265	56.6067	-301.866	380.625	59.7456	-331.355	334.809	44.2235	-387.255
0.093	131.87	968.274	-150.841	160.728	972.52	-349.645	-35.3572	1003.86	-240.929	-24.987	998.379	-326.113	76.8726	1043.21	-416.86	55.5716	1032.23	-108.594	17.8203	877.111	-89.8719	-14.1264	485.819	-126.657	-34.7409	432.346	-128.298	20.9424	409.397	-163.344	-150.401	77.8594	-200.373	-185.93	63.0042	-246.089	9.99728	39.4046	-226.307	-34.6032	26.9314	-160.407	84.9141	863.219	-443.842	246.937	511.417	-403.537	249.816	448.182	-407.943	310.16	441.107	-363.067	246.987	80.2484	-347.106	217.523	52.4998	-302.327	410.825	63.5221	-330.749	365.98	45.8556	-386.825
0.1	141.629	966.51	-150.352	170.876	970.467	-349.223	-25.6941	1002.22	-241.347	-15.0338	996.698	-326.449	86.9631	1041.07	-416.763	64.3126	1030.49	-108.415	26.5716	875.821	-89.837	-9.42592	485.033	-126.973	-30.6027	431.725	-128.481	24.7681	408.229	-163.519	-150.062	78.4592	-200.854	-185.688	63.6918	-246.861	10.231	39.3593	-226.353	-34.7792	26.9356	-160.708	95.5492	860.961	-443.664	257.032	508.926	-403.107	262.052	445.72	-406.997	322.244	440.694	-362.646	275.941	77.9858	-347.556	247.399	49.237	-302.937	440.398	67.8393	-330.093	396.694	48.1591	-386.337
0.107	151.605	964.705	-150.311	181.034	968.268	-348.987	-15.8959	1000.44	-241.687	-4.90351	994.895	-326.62	97.1777	1038.98	-416.795	73.4594	1028.72	-108.408	35.2801	874.569	-89.8761	-4.32842	484.375	-127.039	-26.1405	431.093	-128.792	28.9035	406.97	-163.755	-149.609	79.2872	-201.132	-185.352	64.5639	-247.4	10.4112	39.2655	-226.466	-34.9118	26.9581	-160.978	105.004	858.551	-443.22	266.765	506.258	-402.836	273.981	443.284	-406.51	334.06	440.098	-361.773	304.833	76.4271	-347.695	276.677	46.8479	-303.476	469.119	72.6107	-329.289	426.735	51.0386	-385.647
