Time	RPelvisAngleX	RPelvisAngleY	RPelvisAngleZ	LPelvisAngleX	LPelvisAngleY	LPelvisAngleZ	RHipAngleX	RHipAngleY	RHipAngleZ	LHipAngleX	LHipAngleY	LHipAngleZ	RKneeAngleX	RKneeAngleY	RKneeAngleZ	LKneeAngleX	LKneeAngleY	LKneeAngleZ	RAnkleAngleX	RAnkleAngleY	RAnkleAngleZ	LAnkleAngleX	LAnkleAngleY	LAnkleAngleZ	RFootAngleX	RFootAngleY	RFootAngleZ	LFootAngleX	LFootAngleY	LFootAngleZ
0	0.859472	6.62405	14.2218	2.87278	13.5346	14.3291	-3.83223	-11.3756	36.5277	-6.73922	-6.62475	35.8454	2.64825	-17.6168	0.710532	2.90352	-33.1898	-1.40521	9.79415	10.2531	0.197148	10.0543	15.2167	-0.608583	11.0352	13.3981	26.1458	11.153	12.4679	27.297
1	1.19346	7.0349	14.1337	3.24803	13.8356	14.1484	-3.69836	-10.8856	36.304	-6.41827	-6.2423	35.7664	2.71324	-18.8163	1.73905	3.00992	-33.6732	-0.0734929	9.65655	10.3039	-0.060156	10.0154	15.3181	-0.882894	11.2165	13.536	24.6653	11.4007	12.0236	25.6248
2	1.58279	7.31805	14.0263	3.65986	13.9818	13.9374	-3.40915	-10.3017	36.0565	-5.9404	-5.83932	35.6682	2.75555	-19.9296	3.05369	3.15786	-34.0023	1.54388	8.96186	9.92806	-0.876666	9.46301	15.3006	-1.76309	11.1043	13.9229	22.1054	11.4528	11.5604	22.8452
3	2.01812	7.45417	13.9375	4.10376	13.9517	13.7349	-2.97031	-9.56674	35.8222	-5.30808	-5.32867	35.5668	2.78545	-20.8896	4.46543	3.32146	-34.2242	3.20929	7.72885	8.97013	-2.27126	8.32485	15.0376	-3.24494	10.6984	14.5933	18.6254	11.2123	11.1592	19.1466
4	2.49163	7.44191	13.9023	4.58245	13.7434	13.5783	-2.40446	-8.66991	35.6563	-4.53683	-4.67068	35.51	2.79343	-21.5158	5.90703	3.46837	-34.2369	4.84007	6.11952	7.45739	-3.944	6.75487	14.4613	-4.98894	9.96768	15.3485	14.6481	10.6058	10.7633	15.0047
5	2.99603	7.2988	13.9324	5.0979	13.3814	13.4816	-1.75145	-7.693	35.6084	-3.65852	-3.91338	35.5562	2.79792	-21.4953	7.47734	3.60926	-33.7764	6.56595	4.31825	5.53945	-5.37965	5.09322	13.5463	-6.41828	8.82382	15.8562	10.6894	9.63433	10.2421	11.0228
6	3.52247	7.04962	14.0102	5.64169	12.9089	13.4258	-1.04714	-6.78739	35.6852	-2.7094	-3.16925	35.7311	2.84591	-20.6252	9.29512	3.79187	-32.6299	8.57592	2.4342	3.41761	-6.20621	3.5902	12.2714	-7.07283	7.22891	15.9156	7.12283	8.33952	9.57188	7.62228
7	4.06067	6.71381	14.1041	6.19656	12.3717	13.3715	-0.298358	-6.103	35.8292	-1.71236	-2.55507	35.9859	2.94405	-19.0573	11.3165	4.02818	-30.8817	10.8819	0.535618	1.36285	-6.33507	2.28133	10.7088	-6.82737	5.29709	15.5782	4.18102	6.79857	8.87357	4.98138
8	4.5934	6.30369	14.19	6.73728	11.8082	13.2871	0.50602	-5.70572	35.932	-0.688024	-2.12994	36.1955	3.04036	-17.293	13.3369	4.27838	-28.9559	13.2676	-1.25777	-0.30151	-5.86141	1.08278	9.12618	-5.85751	3.30575	15.0735	1.99307	5.14441	8.3018	3.10218
9	5.09416	5.83038	14.2607	7.23174	11.2482	13.1644	1.36291	-5.55118	35.8861	0.325996	-1.86987	36.2141	3.08006	-15.8839	15.1348	4.50093	-27.408	15.4352	-2.72992	-1.32251	-4.93408	-0.0116614	7.9221	-4.46818	1.6136	14.6299	0.558348	3.58745	7.93463	1.87133
10	5.53461	5.31427	14.3246	7.65034	10.7182	13.0153	2.2395	-5.53507	35.6367	1.28068	-1.69455	35.9467	3.04811	-15.1035	16.5808	4.68603	-26.6204	17.1738	-3.7179	-1.65049	-3.6986	-0.887836	7.40347	-2.90822	0.438424	14.3463	-0.251954	2.33426	7.74536	1.13374
11	5.89151	4.78888	14.397	7.9754	10.2431	12.8656	3.0819	-5.55375	35.1854	2.1336	-1.52033	35.3848	2.96302	-14.8942	17.6361	4.84248	-26.6104	18.4154	-4.21879	-1.44939	-2.31636	-1.44577	7.57732	-1.32858	-0.229178	14.2067	-0.631878	1.46521	7.655	0.737529
12	6.14962	4.29397	14.4922	8.20417	9.84413	12.7485	3.83405	-5.53605	34.5613	2.85823	-1.30331	34.5876	2.85407	-15.0373	18.3106	4.97385	-27.0708	19.1952	-4.35085	-0.977162	-0.945828	-1.6794	8.14156	0.169171	-0.531452	14.1571	-0.765996	0.937671	7.60345	0.550707
13	6.3041	3.86664	14.6171	8.34524	9.53713	12.6943	4.45384	-5.45469	33.7957	3.44351	-1.0549	33.6416	2.74511	-15.3197	18.6351	5.07112	-27.5861	19.5961	-4.26609	-0.455138	0.304238	-1.65964	8.69057	1.51984	-0.626766	14.1524	-0.786636	0.660517	7.5712	0.474027
14	6.36175	3.53411	14.7694	8.41092	9.33029	12.7197	4.92199	-5.32465	32.9161	3.8916	-0.828007	32.6266	2.64751	-15.5937	18.6506	5.1169	-27.8599	19.7097	-4.08992	-0.01525	1.38636	-1.49205	8.95969	2.70143	-0.631282	14.165	-0.769462	0.539873	7.55657	0.444389
15	6.33681	3.30875	14.9378	8.40964	9.21905	12.8212	5.24112	-5.18742	31.944	4.21734	-0.6874	31.5942	2.5616	-15.7674	18.4081	5.09142	-27.8076	19.6123	-3.89939	0.282228	2.30025	-1.27174	8.91616	3.72315	-0.609042	14.1825	-0.747734	0.500451	7.56078	0.428426
16	6.24215	3.18585	15.104	8.34103	9.1839	12.9768	5.42735	-5.08503	30.8909	4.44233	-0.674301	30.5577	2.48229	-15.7882	17.9638	4.9819	-27.5179	19.3519	-3.7283	0.418654	3.07227	-1.05494	8.69725	4.60395	-0.584432	14.2046	-0.73023	0.49552	7.58419	0.41259
17	6.08287	3.14548	15.2469	8.19725	9.19351	13.1563	5.50038	-5.04373	29.7584	4.58565	-0.779071	29.4983	2.40371	-15.6452	17.3689	4.79282	-27.1613	18.9462	-3.58709	0.414122	3.73479	-0.858853	8.49519	5.35907	-0.563586	14.235	-0.717724	0.503213	7.62319	0.393436
18	5.85714	3.15915	15.3499	7.97237	9.21144	13.333	5.47632	-5.07216	28.5431	4.66259	-0.945624	28.3827	2.32271	-15.3811	16.6594	4.54569	-26.8915	18.3934	-3.47364	0.336558	4.31338	-0.676149	8.45021	5.99836	-0.54563	14.2769	-0.71074	0.518514	7.67262	0.370833
19	5.56344	3.19561	15.4034	7.67046	9.20387	13.4882	5.37099	-5.16161	27.2406	4.68902	-1.10328	27.1811	2.23937	-15.0873	15.8541	4.26837	-26.7762	17.6899	-3.37562	0.288672	4.82408	-0.495813	8.59677	6.53146	-0.5255	14.3334	-0.710036	0.542877	7.72813	0.344327
20	5.20787	3.22219	15.4034	7.30495	9.14682	13.6117	5.20736	-5.29305	25.8504	4.68182	-1.19916	25.879	2.15424	-14.8622	14.9632	3.98382	-26.7836	16.8444	-3.27545	0.367632	5.27681	-0.318299	8.87393	6.97293	-0.496334	14.407	-0.715482	0.57532	7.78581	0.312811
21	4.80399	3.20657	15.3494	6.89302	9.02821	13.6986	5.0139	-5.4511	24.3771	4.65562	-1.21458	24.48	2.06537	-14.7469	13.9985	3.70421	-26.8092	15.8824	-3.15743	0.615896	5.67959	-0.155189	9.16697	7.34252	-0.451782	14.4988	-0.725324	0.611826	7.84262	0.275509
22	4.36706	3.11911	15.2434	6.45232	8.84425	13.7502	4.81574	-5.63028	22.8336	4.6215	-1.16231	23.0043	1.96853	-14.6862	12.9806	3.43225	-26.7252	14.8405	-3.01761	0.992852	6.03918	-0.0205771	9.35781	7.66152	-0.390806	14.6054	-0.738418	0.648936	7.89748	0.232236
