Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	22.81	483.7	28.61	1866.24	0	1144.68	6514.01	-5.72	-32.2	4.43	2745.5	0	1578.68	5023.61
2	5.57	465.7	24.49	1826.11	0	1150.2	11569.9	-0	-0	-0	2149	0	1465.7	-0
3	14.8	471.04	27.01	1837.49	0	1152.93	7430.55	-0.23	-32.35	4.88	2634.01	0	1582.62	5208.02
4	18.16	482.18	27.01	1844	0	1147.36	8192.29	-0.84	-23.5	0.53	2600.19	0	1697	3519.4
5	7.55	468.44	26.47	1796.21	0	1153.11	11319	2.75	-30.52	2.29	2707.65	0	1625.08	6070.71
6	30.67	498.05	33.57	1854.58	0	1142.57	6262.96	-0	-0	-0	2149	0	1465.7	-0
7	8.39	471.5	26.86	1791.92	0	1153.24	13500.9	-4.35	-29.91	4.58	2761.39	0	1597.99	10164.8
8	28	494.54	31.43	1819.8	0	1147.57	5804.4	-0	-0	-0	2149	0	1465.7	-0
9	24.8	492.1	30.59	1820.3	0	1148.35	9210.84	0.23	-24.11	3.51	2565.31	0	1666.96	3164.34
10	18.01	487.37	32.81	1793.07	0	1151.98	11050.3	1.45	-29.45	5.26	2694.89	0	1620.53	8471.83
11	34.71	509.34	31.97	1823.54	0	1142.3	6501.84	-0	-20.75	4.58	3037.24	0	1617.16	10688.3
12	14.8	491.49	32.42	1772.27	0	1150.4	11898.1	-0.53	-30.67	4.12	2662.2	0	1620.86	6446.67
13	36.47	505.52	33.49	1799.43	0	1146.71	5937.4	3.13	-25.79	1.91	2601.03	0	1691.32	4403.18
14	22.66	505.37	34.64	1795.57	0	1149.21	10798.3	-0	-24.26	0.38	2733.28	0	1675.45	5510.05
15	28.53	495.45	32.2	1754.45	0	1149.06	11929.1	-2.21	-28.99	3.2	2829.09	0	1641.25	7111.2
16	42.88	527.34	37.08	1799.76	0	1141.8	6890.51	-0	-0	-0	2149	0	1465.7	-0
17	22.66	489.81	32.58	1739.91	0	1156.5	11783.3	-0.53	-27.62	2.37	2694.59	0	1653.55	5891.98
18	54.09	536.35	33.87	1796.74	0	1137.99	6817.34	-0	-24.11	1.91	2778.11	0	1669.54	4991.75
19	27.08	505.37	33.72	1735.31	0	1150.84	10655.6	3.36	-22.28	6.64	2786.47	0	1599.78	9411.02
20	53.56	527.34	35.48	1770.89	0	1144.21	9162.87	-0	-27.92	3.97	2643.54	0	1638.26	6997.36
21	49.13	528.72	34.48	1776.57	0	1143.19	6862.54	2.37	-23.04	2.44	2746.8	0	1621.02	5206.88
