Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-0	-0	-0	2149	0	976.7	-0	107.5	655.98	-54.7	2046.99	0	1285.2	42644.6
2	-0	-0	-0	2149	0	976.7	-0	114.14	676.88	-56.84	2018.71	0	1291.13	41629.9
3	-0	-0	-0	2149	0	976.7	-0	115.89	662.23	-55.85	2024.53	0	1283.7	41342.5
4	-0	-0	-0	2149	0	976.7	-0	117.34	675.2	-62.1	2023.22	0	1285.63	38488.1
5	-0	-0	-0	2149	0	976.7	-0	130.69	675.66	-56.53	2015.77	0	1286.21	41348.2
6	-0	-0	-0	2149	0	976.7	-0	123.83	664.06	-55.85	2007.13	0	1280.57	44182.8
7	-0	-0	-0	2149	0	976.7	-0	131.3	671.23	-57.98	2006.83	0	1283.79	38522.7
8	-0	-0	-0	2149	0	976.7	-0	137.79	662.84	-55.47	1998.16	0	1281.17	42929.5
9	-0	-0	-0	2149	0	976.7	-0	135.42	659.64	-52.8	1994.53	0	1281.98	43206.4
10	-0	-0	-0	2149	0	976.7	-0	141.98	658.11	-52.72	1986.02	0	1285.58	39593.1
11	-0	-0	-0	2149	0	976.7	-0	143.59	640.26	-52.8	1978.01	0	1279.44	42617.9
12	-4.96	-16.78	-11.83	2191.61	0	976.09	13370.5	149.84	637.05	-53.33	1978.76	0	1279.24	39166.2
13	-0	-0	-0	2149	0	976.7	-0	157.62	623.47	-43.95	1966.25	0	1282.17	42975.1
14	-0	-0	-0	2149	0	976.7	-0	153.58	610.96	-41.96	1965.46	0	1282.84	41625.6
15	-0	-0	-0	2149	0	976.7	-0	159.07	597.53	-43.33	1945.74	0	1279.69	37562.6
16	-0	-0	-0	2149	0	976.7	-0	162.66	583.19	-40.05	1958.57	0	1278.25	42144.6
17	2.52	70.95	2.82	2667.17	0	1205.8	10627.2	162.12	560.91	-41.05	1934.73	0	1275.68	41812.7
18	4.35	749.21	77.29	2540.49	0	1116.1	31012.3	167.01	534.82	-32.5	1918.56	0	1276.33	42939.5
19	-115.81	761.87	-138.85	2599.81	0	1065.63	-48355.5	166.63	541.08	-32.27	1950.74	0	1282.18	35238
20	37.54	518.95	-24.26	2514.18	0	1133.98	8478.7	150.6	507.05	-31.28	1916.47	0	1271.35	36382.5
