Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-66.22	520.63	2.67	2587.77	0	1169.96	3595.66	142.21	406.49	-6.87	2029.02	0	1275.36	16231.5
2	-78.43	548.25	38.38	2558.74	0	1176.79	7865.53	148.85	374.6	-5.95	2015.53	0	1274.35	15841.1
3	-80.41	553.13	14.34	2565.44	0	1176.09	10694	142.59	343.02	0.69	2019.65	0	1270.56	14359.6
4	-84.08	563.51	8.39	2564.06	0	1167.18	9761.59	127.03	307.31	-3.36	1995.22	0	1263.28	13000
5	-102.16	554.96	38.07	2559.85	0	1177.75	5789.96	130.92	272.37	1.91	1993.02	0	1266.09	15237.6
6	-98.11	563.66	32.04	2554.46	0	1174.18	8327.84	110.63	234.99	7.4	1986.45	0	1259.66	10089.2
7	-110.17	585.78	10.6	2553.81	0	1165.01	2760.15	107.65	202.33	6.71	1952	0	1245.96	15654.5
8	-114.59	590.21	31.89	2557.36	0	1172.14	2794.71	89.42	159.91	10.38	1899.37	0	1251.18	11708.3
9	-108.34	632.32	56.23	2537.36	0	1164.39	9605.26	77.67	134.58	12.36	1946.09	0	1246.93	12620.2
10	-122.99	632.63	33.87	2549.12	0	1168.42	10712.9	-0	-0	-0	2149	0	1465.7	-0
11	-117.57	653.84	32.88	2543.11	0	1166.43	5355.14	-0	-0	-0	2149	0	1465.7	-0
12	-120.7	671.69	50.74	2536.63	0	1164.41	10868.5	-0	-0	-0	2149	0	1465.7	-0
13	-122.99	667.57	39.29	2537.57	0	1172.24	6297.45	-0	-0	-0	2149	0	1465.7	-0
14	-113.45	700.53	27.01	2537.79	0	1165.39	5047.68	-0	-0	-0	2149	0	1465.7	-0
15	-133.06	704.65	44.33	2530.88	0	1168.16	11358.5	-0	-0	-0	2149	0	1465.7	-0
16	-115.36	726.47	50.05	2520.97	0	1169.04	6214.38	-0	-0	-0	2149	0	1465.7	-0
17	-118.03	731.51	40.05	2524.51	0	1168.87	11630.7	-0	-0	-0	2149	0	1465.7	-0
18	-128.33	748.29	41.81	2525.06	0	1166.38	10608.4	-0	-0	-0	2149	0	1465.7	-0
19	-113.68	750.89	50.28	2516.39	0	1167.14	6914.57	-0	-0	-0	2149	0	1465.7	-0
20	-116.2	760.5	44.56	2504.81	0	1165.66	13921.2	-0	-0	-0	2149	0	1465.7	-0
21	-115.13	766.75	40.97	2505.26	0	1166.69	10863.6	-0	-0	-0	2149	0	1465.7	-0
22	-110.32	760.96	42.8	2505.78	0	1165.71	7823.64	-0	-0	-0	2149	0	1465.7	-0
23	-112.76	775.15	45.47	2494.06	0	1163.42	11442.6	-0	-0	-0	2149	0	1465.7	-0
24	-103.53	762.48	35.48	2492.35	0	1168.26	7923.39	-3.66	-21.97	5.95	2640.39	0	1628.25	13844.8
25	-102.39	774.99	43.18	2492.93	0	1165.53	9855.4	5.26	-29.6	-2.75	2541.18	0	1688.18	4127.29
26	-110.7	769.96	46.92	2491.55	0	1167.04	10508.7	-5.87	-28.69	7.17	2813.77	0	1637.13	13731.2
27	-94.15	768.89	41.58	2480.58	0	1168.63	8293.92	-8.01	-30.98	12.28	2931.7	0	1511.87	17993.7
28	-96.05	773.01	45.93	2477.77	0	1166.1	12703.4	5.95	-31.74	-0.61	2642.34	0	1626.06	6294.21
29	-99.11	777.59	49.36	2482.88	0	1163.67	11539.1	-0	-28.08	-0	2501.17	0	1673.37	4943.85
30	-87.89	760.5	44.56	2465.56	0	1167.16	7463.33	-4.73	-30.82	6.18	2815.66	0	1544.8	9516.72
31	-81.02	778.81	47.07	2467.35	0	1160.79	12122.4	0.31	-24.87	0.15	2912.62	0	1582.84	10118.9
32	-91.09	755.46	46.62	2462.62	0	1165.5	12534.4	2.14	-31.43	2.59	2646.04	0	1593.38	8203.75
33	-71.56	755.46	48.22	2461.88	0	1163.61	6423.67	4.35	-17.24	9.31	2753.18	0	1667.42	11372.6
34	-79.27	742.8	47.61	2462.85	0	1164.66	10773.6	-7.25	-35.71	5.42	2807.6	0	1517.32	13830.5
35	-76.07	732.88	45.47	2446.86	0	1165.09	10255.5	1.07	-23.5	2.14	2926.24	0	1598.57	9865.15
36	-68.21	720.98	53.02	2455.12	0	1166.71	11822.5	4.96	-33.42	6.64	2444.95	0	1623.53	6895.72
37	-78.43	710.91	49.29	2454.3	0	1165.47	12640.3	0.46	-28.99	-0.15	2591.92	0	1617.99	8686.71
38	-61.57	697.02	47.53	2440.14	0	1166.48	8433.04	-8.47	-34.18	2.67	2931.29	0	1547.93	8868
39	-63.1	692.75	47.84	2438.82	0	1162.49	10423.9	5.65	-27.16	5.19	2607.68	0	1615.95	8121.79
40	-65.69	680.39	48.9	2440.82	0	1163.13	13190.8	-0.31	-31.59	3.13	2478.13	0	1627.5	8458.68
41	-53.02	660.1	46.08	2433.56	0	1166.55	6676.16	-3.2	-30.06	2.21	2716.59	0	1594.65	8313.75
42	-56.99	665.28	45.39	2430.1	0	1160.24	12129.2	-2.44	-27.47	7.86	2943.67	0	1561.35	14727.4
43	-52.41	641.63	44.02	2431.13	0	1164.1	10022.9	-0.23	-24.11	2.52	2909.9	0	1607.45	7271.27
44	-48.68	636.6	43.95	2420.62	0	1161.75	6710.09	3.89	-25.79	4.58	2505.91	0	1626.16	12483.5
45	-53.63	623.32	45.47	2428.81	0	1166.31	12885.6	-4.88	-30.98	4.12	2938.06	0	1557.69	7930.36
46	-43.87	609.59	38.15	2419.79	0	1164.74	7785.04	2.21	-23.5	5.95	2717.72	0	1605.88	12507.8
47	-45.24	605.32	43.26	2412.08	0	1164.76	8169.94	-1.98	-31.28	0.84	2643.12	0	1622.93	7408.55
48	-46.46	590.21	45.17	2432.51	0	1166.66	12963.3	5.87	-25.48	2.06	2701.83	0	1647.61	4633.37
49	-38.91	581.97	35.63	2407.72	0	1166.06	7692.38	-8.54	-41.2	9.16	2644.7	0	1521.11	13189.2
50	-37.92	571.59	38.76	2404.44	0	1167.04	7380.31	2.75	-24.41	-1.3	2807.31	0	1637.62	4033.47
51	-40.97	571.59	40.82	2407.78	0	1161.96	11560.1	7.1	-27.01	0.92	2271.05	0	1657.34	5267.39
52	-33.95	555.73	35.25	2401.52	0	1164.57	6728.96	-9	-26.55	4.88	3028.8	0	1589.56	13172.1
53	-33.26	564.12	37.31	2405.59	0	1160.04	11006	4.88	-27.47	9.16	2944.11	0	1496.76	15760.6
54	-35.71	541.99	38.22	2387.88	0	1167.47	7750.13	-2.29	-30.21	4.43	2623.87	0	1571.4	11690
55	-24.26	542.91	33.95	2399.31	0	1162.62	4965.6	-0	-0	-0	2149	0	1465.7	-0
56	-39.44	540.31	34.56	2396.06	0	1162.79	11463.5	-2.52	-36.32	6.33	2749.2	0	1523.31	9948.63
57	-23.12	523.38	33.95	2388.4	0	1169.15	6147.15	-6.48	-27.31	1.83	2964.29	0	1621.1	10385.2
58	-25.48	525.97	36.09	2384.8	0	1166.84	9056.27	2.14	-33.72	1.98	2478.82	0	1622.98	6101.65
59	-34.87	523.38	32.58	2399.25	0	1164.74	12156.8	5.65	-30.67	1.68	2583.55	0	1628.28	7393.76
60	-19.23	519.26	28	2381.33	0	1162.15	5518.54	-11.75	-32.65	3.36	2906.73	0	1577.49	11103.3
61	-27.31	520.63	37.23	2380.22	0	1165.02	11050.9	6.26	-33.72	4.96	2592.82	0	1577.53	7423.71
62	-31.13	518.04	31.05	2382.24	0	1161.26	13341.5	3.05	-24.72	0.31	2664.43	0	1674.56	5663.08
63	-21.9	514.53	27.77	2372.44	0	1159.92	6718.41	-1.75	-30.36	7.71	2644.84	0	1596.85	12634.9
64	-27.08	513.76	32.2	2384.18	0	1161.8	10728.5	1.37	-26.25	6.94	2987.75	0	1515.78	12336.6
65	-24.72	508.58	29.3	2361.74	0	1161.06	8678.94	0.15	-26.25	2.06	2686.12	0	1617.41	9138.86
66	-21.82	509.95	29.68	2368.41	0	1164.63	7957.07	5.04	-27.92	0.99	2461.6	0	1687.68	6496.53
67	-27.92	502.62	32.2	2383.81	0	1166.58	12063.9	-1.07	-28.69	5.11	2845.3	0	1545.12	10487.5
68	-16.48	505.68	30.52	2358.95	0	1165.96	6084.31	-3.66	-29.6	6.48	2789	0	1572.68	14493.7
69	-24.03	509.64	32.81	2371.89	0	1166.25	9269.32	6.71	-31.59	1.68	2617.79	0	1612.49	5323.77
70	-27.77	503.85	28.61	2361.2	0	1166.56	12469.1	-0.76	-26.7	2.9	2726	0	1635.64	8010.52
71	-13.96	505.68	33.04	2362.89	0	1168.22	6243.2	-7.71	-32.04	3.2	2669.75	0	1610.77	9840.45
72	-26.32	511.78	29.75	2361.88	0	1161.6	12577.1	1.22	-31.28	7.93	2891.34	0	1519.53	13262.2
73	-20.29	515.14	26.86	2348.17	0	1160.36	8697.43	2.37	-20.75	4.2	2641.41	0	1628.46	9877.77
74	-16.94	515.44	27.16	2352.12	0	1160.48	7465.81	-5.49	-29.3	-0.38	2768.48	0	1628.17	7034.62
75	-24.34	517.43	29.53	2356.64	0	1164.15	10831.5	-0	-0	-0	2149	0	1465.7	-0
76	-13.35	517.12	22.96	2345.1	0	1163.55	5702.98	-5.19	-27.31	7.32	2655.2	0	1574.79	14914.7
77	-23.96	523.68	24.95	2345.28	0	1162.15	8012.32	4.73	-21.82	0.46	2823.37	0	1680.41	6774.9
78	-22.51	522.92	28.99	2345.99	0	1166.98	10671.5	-1.83	-32.65	3.59	2760.12	0	1590.23	9046.89
79	-12.97	521.09	26.7	2345.43	0	1169.24	6362.48	-7.02	-28.99	5.26	2760	0	1588.87	11690.9
80	-23.57	532.38	27.24	2348.48	0	1165.18	8563.29	7.93	-32.81	2.29	2488.16	0	1601.84	5881.38
81	-17.17	533.6	25.33	2324.64	0	1161.35	8402.52	-1.53	-24.57	-2.21	2601.48	0	1677.44	4284.12
82	-13.58	543.06	30.52	2332.97	0	1163.03	9064.58	-3.81	-35.55	5.34	2795.67	0	1569.11	13159.8
83	-19	540.92	24.49	2338.23	0	1159.34	9065.95	4.81	-30.52	6.1	2610.64	0	1563.2	9193.23
84	-9.23	549.32	24.57	2317.64	0	1159.86	4796.3	-0.31	-23.19	-0.69	2433.41	0	1692.7	7787.81
