Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT2X	R.MT2Y	R.MT2Z	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT2X	L.MT2Y	L.MT2Z
0	824.747	958.47	1360.06	839.158	958.15	1093.28	663.759	983.644	1260.01	664.563	981.9	1172.22	764.083	1010.53	1054.16	742.991	1011.32	1387.06	746.901	842.472	1391.68	752.202	473.164	1372.16	739.168	421.359	1380.27	790.7	407.449	1329.96	694.804	73.8993	1410.81	636.14	48.2502	1376.25	839.432	42.0343	1342.03	810.671	32.5984	1421.03	755.581	856.429	1053.94	727.049	473.747	1073.25	716.568	419.159	1065.62	767.007	401.28	1114.8	694.32	73.6158	1040.04	634.048	42.063	1077.13	842.543	40.3473	1102.41	817.953	29.4775	1032.69	752.038	466.773	1256.91	703.284	88.5412	1324.12	842.448	37.6837	1375.52	734.189	465.209	1187.34	703.757	84.5451	1125.52	843.771	35.584	1076.8
0.007	824.766	958.467	1360.06	839.179	958.137	1093.29	663.778	983.647	1260.02	664.576	981.903	1172.21	764.089	1010.52	1054.16	742.996	1011.31	1387.06	746.915	842.473	1391.69	752.212	473.169	1372.15	739.172	421.369	1380.27	790.703	407.444	1329.94	694.809	73.9082	1410.81	636.148	48.2484	1376.24	839.432	42.0394	1342.03	810.667	32.5916	1421.04	755.594	856.428	1053.95	727.057	473.744	1073.26	716.58	419.163	1065.62	767.024	401.275	1114.81	694.319	73.614	1040.05	634.043	42.0621	1077.13	842.551	40.3418	1102.4	817.954	29.4794	1032.68	752.06	466.77	1256.91	703.292	88.5383	1324.11	842.455	37.68	1375.52	734.196	465.205	1187.34	703.759	84.5437	1125.52	843.775	35.5911	1076.8
0.013	824.777	958.473	1360.07	839.204	958.143	1093.29	663.792	983.644	1260.02	664.596	981.897	1172.22	764.118	1010.52	1054.17	743.018	1011.32	1387.05	746.933	842.473	1391.68	752.255	473.749	1372.71	739.17	421.36	1380.27	790.706	407.449	1329.95	694.803	73.9131	1410.82	636.144	48.2563	1376.25	839.44	42.0359	1342.04	810.677	32.5894	1421.03	755.608	856.428	1053.95	727.078	473.766	1073.26	716.584	419.156	1065.62	767.025	401.277	1114.79	694.322	73.6182	1040.04	634.048	42.059	1077.13	842.556	40.3424	1102.4	817.962	29.4829	1032.69	752.08	466.77	1256.91	703.293	88.5405	1324.12	842.461	37.6866	1375.51	734.217	465.207	1187.33	703.761	84.5439	1125.51	843.774	35.58	1076.79
0.02	824.798	958.464	1360.06	839.22	958.128	1093.3	663.818	983.639	1260.02	664.62	981.908	1172.2	764.138	1010.52	1054.16	743.038	1011.33	1387.04	746.952	842.465	1391.68	752.27	473.744	1372.72	739.183	421.36	1380.26	790.714	407.448	1329.95	694.805	73.8982	1410.82	636.148	48.2559	1376.25	839.437	42.033	1342.03	810.677	32.5882	1421.03	755.643	856.424	1053.95	727.093	473.753	1073.26	716.599	419.163	1065.62	767.043	401.263	1114.8	694.322	73.6093	1040.05	634.055	42.0596	1077.13	842.558	40.3397	1102.41	817.961	29.4793	1032.69	752.065	466.777	1256.91	703.3	88.5351	1324.13	842.456	37.6806	1375.52	734.243	465.202	1187.33	703.763	84.5449	1125.51	843.784	35.5736	1076.8
0.027	824.806	958.469	1360.06	839.248	958.136	1093.3	663.834	983.648	1260.01	664.642	981.893	1172.2	764.159	1010.51	1054.16	743.058	1011.33	1387.04	746.972	842.473	1391.68	752.221	473.144	1372.16	739.18	421.365	1380.26	790.717	407.447	1329.96	694.804	73.8961	1410.81	636.151	48.2594	1376.25	839.439	42.0302	1342.04	810.672	32.5838	1421.03	755.672	856.412	1053.95	727.092	473.757	1073.26	716.606	419.156	1065.62	767.036	401.266	1114.8	694.326	73.6095	1040.05	634.036	42.0703	1077.13	842.552	40.3399	1102.41	817.962	29.482	1032.69	752.093	466.763	1256.91	703.301	88.5311	1324.13	842.455	37.6751	1375.51	734.247	465.193	1187.33	703.759	84.5465	1125.52	843.783	35.5721	1076.79
0.033	824.829	958.469	1360.05	839.284	958.134	1093.29	663.865	983.644	1260.01	664.667	981.895	1172.21	764.179	1010.51	1054.16	743.077	1011.34	1387.04	746.984	842.477	1391.68	752.219	473.159	1372.15	739.172	421.363	1380.27	790.723	407.437	1329.95	694.796	73.9099	1410.81	636.15	48.2526	1376.25	839.442	42.0309	1342.04	810.675	32.5835	1421.03	755.693	856.408	1053.95	727.106	473.801	1073.26	716.617	419.153	1065.62	767.059	401.264	1114.81	694.321	73.6134	1040.05	634.046	42.0643	1077.13	842.558	40.3408	1102.41	817.971	29.4877	1032.68	752.094	466.76	1256.92	703.311	88.5311	1324.12	842.457	37.6732	1375.52	734.252	465.198	1187.33	703.759	84.5461	1125.53	843.784	35.5729	1076.8
0.04	824.849	958.479	1360.06	839.298	958.135	1093.29	663.893	983.648	1260	664.695	981.9	1172.2	764.216	1010.51	1054.17	743.101	1011.35	1387.03	747.005	842.475	1391.68	752.223	473.172	1372.16	739.182	421.365	1380.25	790.726	407.445	1329.95	694.799	73.9126	1410.82	636.137	48.2625	1376.25	839.442	42.0268	1342.03	810.666	32.5846	1421.03	755.728	856.403	1053.95	727.119	473.732	1073.26	716.62	419.155	1065.63	767.06	401.258	1114.8	694.329	73.6231	1040.05	634.055	42.0569	1077.13	842.554	40.3347	1102.41	817.963	29.4795	1032.69	752.089	466.775	1256.92	703.307	88.5312	1324.13	842.457	37.6735	1375.52	734.258	465.192	1187.33	703.765	84.5525	1125.52	843.782	35.5737	1076.79
0.047	824.862	958.49	1360.07	839.326	958.128	1093.29	663.922	983.651	1260	664.724	981.899	1172.18	764.255	1010.51	1054.17	743.115	1011.36	1387.01	747.019	842.473	1391.68	752.265	473.756	1372.72	739.177	421.373	1380.26	790.724	407.431	1329.96	694.8	73.9148	1410.81	636.14	48.2589	1376.25	839.435	42.026	1342.03	810.667	32.5826	1421.03	755.744	856.403	1053.95	727.123	473.733	1073.26	716.641	419.15	1065.63	767.062	401.256	1114.81	694.331	73.6095	1040.04	634.065	42.0705	1077.13	842.556	40.3405	1102.41	817.972	29.481	1032.69	752.087	466.779	1256.91	703.31	88.5272	1324.13	842.458	37.671	1375.5	734.253	465.205	1187.34	703.76	84.5506	1125.52	843.779	35.5752	1076.8
0.053	824.885	958.489	1360.06	839.354	958.123	1093.29	663.95	983.648	1260	664.753	981.891	1172.18	764.278	1010.51	1054.17	743.145	1011.37	1387	747.04	842.479	1391.68	752.225	473.175	1372.17	739.182	421.358	1380.26	790.732	407.442	1329.96	694.793	73.9177	1410.82	636.147	48.2502	1376.24	839.436	42.0303	1342.03	810.676	32.5817	1421.03	755.767	856.403	1053.95	727.132	473.731	1073.26	716.64	419.158	1065.62	767.074	401.266	1114.81	694.318	73.6171	1040.04	634.055	42.0642	1077.13	842.557	40.3381	1102.4	817.967	29.4857	1032.69	752.114	466.767	1256.92	703.306	88.5356	1324.12	842.445	37.6719	1375.52	734.258	465.207	1187.34	703.766	84.5443	1125.52	843.778	35.5741	1076.8
0.06	824.906	958.499	1360.07	839.391	958.116	1093.3	663.971	983.643	1260	664.772	981.903	1172.17	764.314	1010.49	1054.16	743.159	1011.39	1386.99	747.055	842.485	1391.69	752.277	473.749	1372.72	739.187	421.369	1380.27	790.755	407.44	1329.96	694.796	73.9067	1410.81	636.154	48.2602	1376.25	839.456	42.0217	1342.03	810.674	32.5794	1421.04	755.786	856.4	1053.95	727.15	473.737	1073.25	716.651	419.152	1065.62	767.092	401.263	1114.82	694.326	73.6125	1040.04	634.053	42.0654	1077.13	842.564	40.335	1102.4	817.968	29.4752	1032.7	752.1	466.777	1256.92	703.316	88.5206	1324.12	842.456	37.6624	1375.51	734.266	465.197	1187.34	703.763	84.5395	1125.51	843.785	35.5705	1076.79
