Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.HeelX	R.HeelY	R.HeelZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.HeelX	L.HeelY	L.HeelZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT2X	R.MT2Y	R.MT2Z	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT2X	L.MT2Y	L.MT2Z
0	809.216	953.659	1364.7	804.986	955.01	1084.99	617.288	1000.79	1264.59	615.36	1002.86	1194.64	717.207	1032.8	1046.92	726.913	1031.11	1406.16	705.549	888.235	1405.4	727.024	495.994	1395.33	710.056	440.389	1404.09	766.802	423.708	1348.01	689.138	72.9004	1399.37	637.043	49.7946	1349.47	842.375	43.0153	1341.61	810.142	31.4214	1416.38	715.642	880.057	1040.61	718.76	495.165	1052.98	699.119	432.69	1043.86	758.7	419.981	1087.28	691.019	75.7655	1043.26	635.914	47.6275	1083.8	841.581	40.7575	1101.99	814.764	28.8587	1021.7	729.118	481.9	1270.54	705.852	91.8428	1314.4	842.602	37.4869	1365.09	723.574	486.526	1179.57	709.846	86.886	1127.92	841.971	35.2305	1073.19
0.007	809.178	953.696	1364.73	804.961	955.018	1085.01	617.258	1000.78	1264.58	615.325	1002.84	1194.64	717.171	1032.8	1046.91	726.894	1031.12	1406.16	705.54	888.239	1405.41	727.037	495.994	1395.34	710.071	440.387	1404.09	766.808	423.698	1347.99	689.135	72.8933	1399.39	637.045	49.7895	1349.48	842.382	43.0246	1341.62	810.143	31.4151	1416.39	715.624	880.062	1040.61	718.732	495.163	1052.97	699.112	432.69	1043.86	758.686	419.986	1087.28	691.028	75.7663	1043.25	635.916	47.6248	1083.8	841.579	40.76	1101.97	814.764	28.8459	1021.69	729.101	481.909	1270.54	705.86	91.8411	1314.41	842.59	37.4994	1365.08	723.547	486.508	1179.56	709.849	86.8879	1127.92	841.975	35.2282	1073.2
0.013	809.162	953.712	1364.71	804.937	955.028	1085.02	617.227	1000.77	1264.59	615.301	1002.84	1194.64	717.149	1032.8	1046.92	726.878	1031.11	1406.16	705.519	888.235	1405.4	727.053	495.986	1395.33	710.086	440.393	1404.1	766.82	423.704	1347.98	689.14	72.8957	1399.39	637.037	49.7866	1349.48	842.378	43.0311	1341.61	810.142	31.4182	1416.37	715.603	880.065	1040.61	718.717	495.169	1052.98	699.081	432.698	1043.86	758.674	419.998	1087.29	691.025	75.7672	1043.26	635.913	47.6247	1083.79	841.59	40.752	1101.98	814.757	28.8595	1021.7	729.116	481.9	1270.54	705.853	91.8337	1314.4	842.592	37.5157	1365.06	723.534	486.517	1179.56	709.848	86.8878	1127.92	841.974	35.233	1073.2
0.02	809.124	953.714	1364.71	804.914	955.03	1085.05	617.207	1000.75	1264.58	615.279	1002.83	1194.64	717.126	1032.8	1046.92	726.851	1031.12	1406.15	705.506	888.235	1405.39	727.07	495.992	1395.33	710.101	440.381	1404.1	766.833	423.708	1347.98	689.147	72.8924	1399.38	637.035	49.7787	1349.49	842.371	43.0428	1341.63	810.136	31.4289	1416.38	715.571	880.068	1040.6	718.692	495.166	1052.98	699.078	432.694	1043.86	758.642	419.986	1087.28	691.035	75.7666	1043.25	635.912	47.6232	1083.8	841.584	40.7619	1101.98	814.765	28.8576	1021.7	729.128	481.895	1270.54	705.84	91.8363	1314.4	842.588	37.525	1365.08	723.512	486.516	1179.55	709.845	86.8876	1127.92	841.968	35.2315	1073.19
0.027	809.091	953.719	1364.7	804.889	955.037	1085.04	617.174	1000.76	1264.59	615.244	1002.82	1194.64	717.088	1032.8	1046.91	726.836	1031.13	1406.15	705.485	888.23	1405.4	727.09	495.98	1395.33	710.127	440.378	1404.1	766.859	423.702	1347.96	689.152	72.8905	1399.38	637.03	49.7741	1349.49	842.369	43.0464	1341.66	810.133	31.4282	1416.38	715.554	880.064	1040.6	718.668	495.163	1052.98	699.059	432.692	1043.86	758.63	419.993	1087.29	691.032	75.761	1043.26	635.904	47.6259	1083.8	841.573	40.7659	1101.99	814.761	28.8515	1021.7	729.128	481.908	1270.53	705.826	91.8329	1314.39	842.574	37.5362	1365.1	723.471	486.529	1179.56	709.846	86.8905	1127.92	841.965	35.2352	1073.2
0.033	809.064	953.729	1364.7	804.85	955.041	1085.04	617.142	1000.75	1264.58	615.213	1002.82	1194.63	717.07	1032.8	1046.92	726.818	1031.14	1406.15	705.472	888.233	1405.42	727.125	495.981	1395.33	710.163	440.374	1404.11	766.885	423.699	1347.95	689.145	72.8931	1399.37	637.029	49.7668	1349.49	842.371	43.0483	1341.64	810.138	31.4321	1416.36	715.512	880.07	1040.6	718.652	495.16	1052.99	699.029	432.692	1043.86	758.605	420.002	1087.28	691.031	75.7661	1043.24	635.913	47.6187	1083.79	841.573	40.7701	1101.97	814.758	28.8527	1021.7	729.135	481.909	1270.53	705.84	91.822	1314.39	842.581	37.5427	1365.07	723.462	486.519	1179.54	709.841	86.8892	1127.92	841.975	35.2276	1073.19
0.04	809.028	953.728	1364.69	804.824	955.037	1085.05	617.107	1000.74	1264.6	615.176	1002.8	1194.63	717.035	1032.82	1046.9	726.808	1031.14	1406.14	705.455	888.227	1405.4	727.162	495.968	1395.31	710.21	440.36	1404.1	766.921	423.692	1347.93	689.158	72.8951	1399.37	637.02	49.7613	1349.47	842.369	43.0555	1341.65	810.456	31.5557	1416.2	715.489	880.066	1040.59	718.62	495.165	1052.99	699.014	432.68	1043.85	758.586	420.01	1087.28	691.018	75.7591	1043.25	635.905	47.6181	1083.8	841.573	40.7733	1101.98	814.754	28.8575	1021.7	729.133	481.905	1270.52	705.835	91.8286	1314.37	842.574	37.5539	1365.07	723.426	486.539	1179.55	709.841	86.8908	1127.92	841.962	35.2368	1073.19
0.047	809.004	953.745	1364.68	804.784	955.04	1085.05	617.069	1000.72	1264.58	615.144	1002.81	1194.62	717.016	1032.83	1046.92	726.779	1031.15	1406.14	705.443	888.225	1405.4	727.21	495.974	1395.31	710.276	440.356	1404.11	766.953	423.687	1347.92	689.163	72.8944	1399.37	637.02	49.7558	1349.48	842.369	43.0654	1341.68	810.114	31.441	1416.35	715.451	880.073	1040.6	718.594	495.16	1052.98	698.991	432.691	1043.85	758.559	420.013	1087.28	691.033	75.7676	1043.25	635.902	47.6159	1083.79	841.57	40.7682	1101.97	814.756	28.8532	1021.7	729.162	481.9	1270.52	705.832	91.8129	1314.36	842.572	37.5762	1365.09	723.394	486.552	1179.56	709.847	86.8986	1127.91	841.972	35.2341	1073.18
0.053	808.967	953.756	1364.66	804.753	955.039	1085.04	617.037	1000.71	1264.57	615.111	1002.78	1194.63	717.008	1032.83	1046.93	726.762	1031.15	1406.13	705.419	888.213	1405.41	727.273	495.956	1395.31	710.333	440.343	1404.11	766.99	423.684	1347.9	689.167	72.8874	1399.36	637.009	49.75	1349.48	842.364	43.0728	1341.67	810.115	31.4477	1416.35	715.424	880.075	1040.59	718.587	495.153	1052.97	698.983	432.689	1043.85	758.537	420.017	1087.27	691.024	75.7644	1043.24	635.904	47.6127	1083.79	841.568	40.7779	1101.96	814.758	28.856	1021.7	729.177	481.887	1270.52	705.833	91.808	1314.35	842.573	37.5734	1365.06	723.388	486.542	1179.55	709.85	86.8876	1127.91	841.961	35.2352	1073.18
0.06	808.928	953.764	1364.65	804.707	955.042	1085.04	617.004	1000.7	1264.61	615.077	1002.78	1194.63	716.994	1032.83	1046.95	726.752	1031.15	1406.12	705.399	888.204	1405.42	727.333	495.941	1395.3	710.405	440.332	1404.11	767.029	423.672	1347.87	689.183	72.8817	1399.35	637.017	49.7403	1349.47	842.317	43.1158	1341.64	810.114	31.4461	1416.34	715.379	880.071	1040.59	718.553	495.148	1052.96	698.958	432.679	1043.84	758.512	420.022	1087.27	691.029	75.7651	1043.23	635.901	47.6076	1083.78	841.571	40.7783	1101.95	814.754	28.8558	1021.69	729.194	481.878	1270.51	705.824	91.8039	1314.35	842.577	37.5911	1365.06	723.333	486.51	1179.53	709.859	86.9017	1127.9	841.966	35.2434	1073.17
