Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
18	0.694565	-0.095185	-0.54851	0.95653	-0.124423	-0.512423	0.422898	-0.0012	0.606685	0.550223	0.00400857	0.476261	-0.0008175	0.055605	0.272443	-0.0169943	0.0343914	0.133299	-0.97355	9.71218	0.317387	-0.717197	9.60461	0.433793
19	0.712423	-0.09098	-0.520575	0.952791	-0.120357	-0.480679	0.418745	0.0043075	0.58819	0.546121	0.00873571	0.454403	0.0043675	0.0714825	0.317845	-0.0162843	0.0476843	0.163686	-0.931998	9.67213	0.348988	-0.640459	9.40068	0.478807
20	0.713295	-0.0809675	-0.485318	0.933439	-0.112227	-0.454916	0.40759	0.00972	0.562505	0.535089	0.0129386	0.426371	0.00809	0.0870525	0.361833	-0.0161086	0.0611114	0.19397	-0.88342	9.59737	0.36557	-0.565383	9.2074	0.504369
21	0.701417	-0.067535	-0.445185	0.902426	-0.100873	-0.432106	0.39003	0.0145725	0.531637	0.517497	0.01685	0.395669	0.01066	0.10175	0.403265	-0.0165129	0.0742129	0.222899	-0.829643	9.48288	0.36738	-0.491477	9.03017	0.507373
22	0.685335	-0.053965	-0.401087	0.866994	-0.0876814	-0.403041	0.368775	0.01856	0.49744	0.495261	0.02096	0.367187	0.012595	0.115145	0.441595	-0.0175129	0.0866657	0.250004	-0.77368	9.33176	0.359625	-0.421484	8.86962	0.491379
23	0.671105	-0.042385	-0.353687	0.83338	-0.0739886	-0.360546	0.347105	0.0214475	0.461035	0.470937	0.0253329	0.343757	0.01463	0.127075	0.476807	-0.01897	0.0983714	0.27555	-0.71757	9.15588	0.350165	-0.358586	8.72366	0.464273
24	0.66067	-0.0339025	-0.31066	0.805089	-0.0614786	-0.31119	0.327358	0.0231225	0.422665	0.447149	0.0293429	0.32389	0.017415	0.137738	0.509125	-0.0204543	0.109424	0.30011	-0.66176	8.97102	0.345637	-0.304199	8.58974	0.434914
25	0.652147	-0.028175	-0.2787	0.784296	-0.0517057	-0.268163	0.310173	0.0238925	0.382613	0.426264	0.0323829	0.304096	0.0210675	0.147523	0.538795	-0.0214743	0.120053	0.32435	-0.605803	8.79085	0.347973	-0.257396	8.46727	0.410397
26	0.641375	-0.023225	-0.255745	0.771153	-0.0445371	-0.235199	0.294443	0.0246125	0.342325	0.409457	0.03463	0.28313	0.02498	0.156862	0.566257	-0.0219214	0.130576	0.34891	-0.549792	8.62394	0.353555	-0.215883	8.35829	0.394521
27	0.625795	-0.017015	-0.236562	0.762873	-0.0383357	-0.207814	0.27822	0.0262725	0.304118	0.396219	0.0369143	0.262031	0.0282975	0.166068	0.59219	-0.0222329	0.141321	0.374316	-0.494848	8.47491	0.356123	-0.177246	8.26591	0.387394
